session,maze,unit,direction,location,peak_rate,spatial_info,field_start,field_stop,field_peak,field_width,n_spikes_field,pref_phase,mrl,mrl_jitter,p_rayleigh,slope,phi0,rho,p_circlin,p_shuffle
Buddy-06272013,1.6mLinearMazeLinearizedPosition,7,1,lCA1,3.564015775592633,1.2073681006652848,94.0,146.0,106.0,52.0,57,196.53468485974474,0.17386828373985566,0.11310553547978455,0.1788845960815131,2.87,-1.3721441506838392,0.08719908434832033,0.4984656888898351,0.7632367632367633
Buddy-06272013,1.6mLinearMazeLinearizedPosition,8,1,lCA1,11.919049508666127,0.6076199047822088,26.0,106.0,66.0,80.0,282,289.20115152088135,0.23145463406414724,0.05824097296601832,2.2954528651316923e-07,-0.6699999999999999,0.9225366622974484,-0.5989732373305684,0.0,0.000999000999000999
Buddy-06272013,1.6mLinearMazeLinearizedPosition,10,1,lCA1,1.4342122022859984,0.6329672900732632,6.0,38.0,22.0,32.0,17,41.522946005055694,0.22305850459404877,0.1698994995450098,0.4353747812896468,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,12,1,lCA1,14.962146750084315,0.9170751028113757,14.0,74.0,58.0,60.0,281,350.4422255171644,0.22926910411998241,0.040877937396316844,3.2396317451042234e-07,-0.69,1.5903302054692403,-0.5353556761757948,0.0,0.000999000999000999
Buddy-06272013,1.6mLinearMazeLinearizedPosition,15,1,lCA1,1.8064854496155145,0.6037788913520756,118.0,158.0,158.0,40.0,15,60.742686226033925,0.6960847187870722,0.20985016052791833,0.000306933585833456,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,18,1,lCA1,7.385862081764848,0.8423726161638858,58.0,114.0,90.0,56.0,108,19.061464099689445,0.5036875208286158,0.07996630747033681,1.9929575031606954e-13,-0.4299999999999997,1.628427390843061,-0.6066378421484376,1.2905399415785723e-08,0.000999000999000999
Buddy-06272013,1.6mLinearMazeLinearizedPosition,19,1,lCA1,1.0686987209940724,0.4975506025975868,54.0,90.0,66.0,36.0,9,272.704649307815,0.273236677879249,0.2753667877768954,0.5233020565256195,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,28,1,lCA1,2.1540841637909716,0.33081672342273905,2.0,94.0,66.0,92.0,50,16.651254801323297,0.49377573203781644,0.15115334051470541,2.5157667049636974e-06,-0.14000000000000012,0.7550142750216389,-0.1796538894422595,0.2077679031945685,0.21978021978021978
Buddy-06272013,1.6mLinearMazeLinearizedPosition,30,1,lCA1,4.0906212692942345,0.5090420818069686,138.0,158.0,150.0,20.0,16,307.68430766313304,0.2691513706635708,0.2057113991211214,0.31861322769005435,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,36,1,lCA1,5.942155207687742,0.8793394061269322,106.0,158.0,158.0,52.0,67,19.7577572216835,0.3703813469765699,0.09787469942798327,7.836162404778704e-05,-0.46999999999999975,1.7310739086951479,-0.4455054732156971,0.0003397566369649496,0.001998001998001998
Buddy-06272013,1.6mLinearMazeLinearizedPosition,38,1,lCA1,1.3634254210748173,0.5196054187978969,94.0,138.0,126.0,44.0,14,34.29312713191178,0.5581954936301061,0.2729573549016164,0.01033564896012607,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,43,1,lCA1,1.332782690909211,1.972879314754544,122.0,158.0,158.0,36.0,11,336.29613155520997,0.6878950059385831,0.2862113137914323,0.0034124768921059787,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,44,1,lCA1,1.09177193321829,0.6654772149917927,2.0,26.0,10.0,24.0,14,171.1936162718382,0.5795755117441906,0.24446395790148406,0.006973173582717769,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,48,1,lCA1,2.8245948440386472,0.32688574511633334,26.0,90.0,62.0,64.0,46,2.174300263370467,0.13772258242877494,0.11653794403092979,0.42014030695048166,-0.73,2.358842892627596,-0.33340900588861544,0.026534390516970596,0.0989010989010989
Buddy-06272013,1.6mLinearMazeLinearizedPosition,49,1,lCA1,1.2369802242175207,0.4417747088484124,2.0,38.0,18.0,36.0,17,326.1732334316797,0.2947302685482569,0.23277162836237517,0.23103237468545587,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,55,1,lCA1,4.649880528953387,1.28392201597523,130.0,142.0,138.0,12.0,8,155.27500720488652,0.7436928079795007,0.3093304736870547,0.007760761727819662,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,56,1,lCA1,22.110001664547536,1.0782022643277034,2.0,46.0,18.0,44.0,406,298.55219994782107,0.3025732882036942,0.04530011176183435,3.100216882412591e-17,-0.41999999999999993,-0.037904807044659664,-0.4307048982672377,0.0,0.000999000999000999
Buddy-06272013,1.6mLinearMazeLinearizedPosition,62,1,rCA1,4.234960193734997,0.8906646480954195,2.0,70.0,18.0,68.0,100,195.12273120712993,0.23950395695130938,0.09200024208725513,0.0030546166853394553,-0.04999999999999982,-2.7601349398284967,-0.02292333398183701,0.8227430020713216,0.8361638361638362
Buddy-06272013,1.6mLinearMazeLinearizedPosition,2,-1,lCA1,16.622786477553692,0.30064947286041005,22.0,130.0,74.0,108.0,418,318.6568724178537,0.17252482137197545,0.043751633007542576,3.6511333661719005e-06,-0.6699999999999999,0.7844891119222279,-0.1995966032350865,5.2799259965485845e-05,0.000999000999000999
Buddy-06272013,1.6mLinearMazeLinearizedPosition,5,-1,lCA1,2.486859999078948,2.5120271629365294,22.0,50.0,34.0,28.0,13,221.6576581741404,0.5973668008806333,0.20523308094310472,0.0073397279105930965,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,8,-1,lCA1,3.9412643798412255,0.7004317530958251,34.0,102.0,66.0,68.0,52,48.256985756710066,0.7322130510255836,0.11281139678284027,6.239603549358299e-15,-0.31000000000000005,1.7131241641898585,-0.5580886555311221,0.00038621421432960545,0.000999000999000999
Buddy-06272013,1.6mLinearMazeLinearizedPosition,11,-1,lCA1,1.0682074818710816,2.260127187663087,22.0,58.0,34.0,36.0,7,208.4982965950299,0.6202011206365864,0.3070648103257364,0.06275380943262389,,,,,
Buddy-06272013,1.6mLinearMazeLinearizedPosition,12,-1,lCA1,34.634934987037774,0.755995071771745,14.0,86.0,46.0,72.0,529,250.51847301180368,0.13895437697174368,0.038760187412460366,3.521283487335511e-05,-0.6400000000000001,0.43835051318185597,-0.482193655649422,0.0,0.000999000999000999
