path,subject,session,unit,layer,n_spikes,mean_rate,peak_rate,gridness,spacing_cm,orientation_deg,ellipticity,spatial_info,stability,hd_mvl,hd_pref_deg,duration_s,arena_cm,include
sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,10704,19070402,t2c1,MEC LVI,348,0.6748632820075244,1.4853612338891717,-0.31281200041478496,90.24965373894794,20.837652954278283,1.1087950369275703,0.06451045814656906,-0.17643528697784402,,,600.0799999999999,102.0,True
sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,10704,19070402,t2c5,MEC LVI,385,0.7466159872784394,5.886808076872306,0.9775872173408988,42.42640687119285,18.012787504183343,1.0642352583347692,0.676439011834729,0.6987247424352577,,,600.0799999999999,102.0,True
sub-10704/sub-10704_ses-06070402_behavior+ecephys.nwb,10704,06070402,t2c1,MEC LVI,1489,2.8454041658704377,8.348011484403692,0.0790288870873702,82.54089895318563,7.125016348901795,1.8027756377319948,0.19349379016817747,0.43120926030359413,,,599.9800000000002,102.0,True
sub-10704/sub-10704_ses-06070402_behavior+ecephys.nwb,10704,06070402,t2c2,MEC LVI,1375,2.6275558952799543,13.182177042580927,1.0088785749419074,40.24922359499622,25.007979801441337,1.1498467945803525,0.3489818903158577,0.57548993783509,,,599.9800000000002,102.0,True
sub-10704/sub-10704_ses-06070402_behavior+ecephys.nwb,10704,06070402,t2c3,MEC LVI,1492,2.851137015096503,7.612953475726704,-0.3415800241244445,74.21590126111789,15.963756532073518,1.7415605166152088,0.20859843041361004,0.2839303765180611,,,599.9800000000002,102.0,True
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,10704,07070407,t2c1,MEC LVI,1895,3.2929033154931533,9.94024703457587,1.090821101774305,80.49844718999243,32.00538320808349,1.5758001356186422,0.10798513549846979,0.27438171818744966,,,599.98,102.0,True
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,10704,07070407,t2c2,MEC LVI,1265,2.1981650100785433,11.886664360775105,1.6057572141488534,62.6418390534633,46.69924423399361,1.1046705525644152,0.5772019485858467,0.897010689794679,,,599.98,102.0,True
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,10704,07070407,t2c3,MEC LVI,2273,3.94974629874192,21.675468978317003,1.3093425513191055,48.46648326421053,48.690067525979785,1.0721812577976961,0.3874848883023191,0.5788798883848462,,,599.98,102.0,True
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,10704,07070407,t2c4,MEC LVI,2870,4.987141169111003,17.387275229707846,1.1211115370430444,48.83646178829912,47.48955292199915,1.1238020441709289,0.24427376408595694,0.8676928767816962,,,599.98,102.0,True
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,10704,07070407,t2c5,MEC LVI,1260,2.189476610829221,4.953260685976091,0.11077476432601642,61.554853586049575,29.74488129694222,1.5811388300841898,0.10548923497805746,0.3153637262035508,,,599.98,102.0,True
