path,subject,session,dur,n_units,ext_x,ext_y,fill,histology,shape
sub-11084/sub-11084_ses-23020502_behavior+ecephys.nwb,11084,23020502,599.98,7,93.40205282318779,91.56511714839078,0.9525,MEC LV,square
sub-11084/sub-11084_ses-24020502_behavior+ecephys.nwb,11084,24020502,599.98,2,95.4568617213537,94.13881179253977,0.95,MEC LV,square
sub-11084/sub-11084_ses-28020501_behavior+ecephys.nwb,11084,28020501,599.98,3,97.08154225163781,94.90202988630136,0.995,MEC LV,square
sub-11138/sub-11138_ses-05040502_behavior+ecephys.nwb,11138,05040502,599.9799999999959,1,95.03019649305841,94.89011704186427,0.93,MEC LIII,square
sub-11138/sub-11138_ses-06040501_behavior+ecephys.nwb,11138,06040501,599.98,3,93.8926299082053,97.63858836029402,0.9625,MEC LIII,square
sub-11138/sub-11138_ses-06040507_behavior+ecephys.nwb,11138,06040507,599.9799999999996,5,95.11261093019338,96.87127382278004,0.9775,MEC LIII,square
sub-11138/sub-11138_ses-07040501_behavior+ecephys.nwb,11138,07040501,599.9799999999996,3,93.78494992671156,96.40424602358047,0.95,MEC LIII,square
sub-11138/sub-11138_ses-08040501_behavior+ecephys.nwb,11138,08040501,599.98,1,95.05351541229871,90.96958077342343,0.9675,MEC LIII,square
sub-11138/sub-11138_ses-11040501_behavior+ecephys.nwb,11138,11040501,599.9799999999999,3,94.71866478656335,96.60746235897554,0.9725,MEC LIII,square
sub-11138/sub-11138_ses-11040504_behavior+ecephys.nwb,11138,11040504,1199.979999999999,4,92.64833225384947,90.12759592380161,0.775,MEC LIII,circle
sub-11138/sub-11138_ses-11040509_behavior+ecephys.nwb,11138,11040509,599.9799999999996,5,96.26223238554428,97.91581606455503,0.9725,MEC LIII,square
sub-11138/sub-11138_ses-12110501_behavior+ecephys.nwb,11138,12110501,599.98,4,94.5379071178285,94.70313039873491,0.945,MEC LIII,square
sub-11138/sub-11138_ses-13040502_behavior+ecephys.nwb,11138,13040502,599.9799999999996,3,95.22620034551221,95.74798109697403,0.9875,MEC LIII,square
sub-11138/sub-11138_ses-15040504_behavior+ecephys.nwb,11138,15040504,1199.979999999999,2,183.71991884356228,188.98735867685895,0.815,MEC LIII,circle
sub-11138/sub-11138_ses-19040502_behavior+ecephys.nwb,11138,19040502,599.98,1,97.3704852810608,96.96241813926419,0.9925,MEC LIII,square
sub-11138/sub-11138_ses-20040502_behavior+ecephys.nwb,11138,20040502,599.98,7,97.47767354162144,96.37519574591792,0.985,MEC LIII,square
sub-11138/sub-11138_ses-25040501_behavior+ecephys.nwb,11138,25040501,599.9800000000001,1,94.84352848241059,96.79852420097079,1.0,MEC LIII,square
sub-11138/sub-11138_ses-26040501_behavior+ecephys.nwb,11138,26040501,599.9799999999999,3,95.87032702597556,97.47827042778555,0.9925,MEC LIII,square
sub-11207/sub-11207_ses-03060501_behavior+ecephys.nwb,11207,03060501,1199.98,7,181.97833057386495,191.85770068542507,0.85,MEC LVI,circle
sub-11207/sub-11207_ses-04070501_behavior+ecephys.nwb,11207,04070501,1199.980000000021,8,188.73061956807243,188.76801741654813,0.82,MEC LVI,circle
sub-11207/sub-11207_ses-05070501_behavior+ecephys.nwb,11207,05070501,599.9799999999999,3,95.85887135746493,94.6034130698053,0.96,MEC LVI,square
sub-11207/sub-11207_ses-06070501_behavior+ecephys.nwb,11207,06070501,1199.98,7,188.01807480220327,185.2684053736084,0.83,MEC LVI,circle
sub-11207/sub-11207_ses-07070501_behavior+ecephys.nwb,11207,07070501,1199.9799999999918,8,188.69493236992048,185.15646152378554,0.8575,MEC LVI,circle
sub-11207/sub-11207_ses-08060501_behavior+ecephys.nwb,11207,08060501,599.9799999999959,3,95.71007880863496,96.37197096027289,0.945,MEC LVI,square
sub-11207/sub-11207_ses-08070504_behavior+ecephys.nwb,11207,08070504,1199.98,11,192.44757556014952,185.65333843000428,0.8475,MEC LVI,circle
sub-11207/sub-11207_ses-09060501_behavior+ecephys.nwb,11207,09060501,1199.98,10,185.7876159443826,189.0422038110948,0.83,MEC LV,circle
sub-11207/sub-11207_ses-09070501_behavior+ecephys.nwb,11207,09070501,599.98,1,94.38287036545809,94.99031007912814,0.9575,MEC LV,square
sub-11207/sub-11207_ses-09070505_behavior+ecephys.nwb,11207,09070505,1199.98,2,188.65424023950533,185.91679711047158,0.82,MEC LV,circle
sub-11207/sub-11207_ses-10070501_behavior+ecephys.nwb,11207,10070501,599.98,4,96.37154065240861,93.09982045228222,0.9575,MEC LV,square
sub-11207/sub-11207_ses-10070503_behavior+ecephys.nwb,11207,10070503,1199.98,3,184.88335860897394,180.5185545132613,0.8125,MEC LV,circle
sub-11207/sub-11207_ses-11060501_behavior+ecephys.nwb,11207,11060501,599.98,12,96.0513512977518,97.39257736124743,0.9825,MEC LVI,square
sub-11207/sub-11207_ses-11060502_behavior+ecephys.nwb,11207,11060502,599.9799999999998,1,96.33569160105917,96.00868185468072,0.995,MEC LVI,square
sub-11207/sub-11207_ses-11060503_behavior+ecephys.nwb,11207,11060503,1199.98,4,185.99376058475414,190.1739668259317,0.8325,MEC LV,circle
sub-11207/sub-11207_ses-14060501_behavior+ecephys.nwb,11207,14060501,599.98,9,94.756223888961,96.07402096749217,0.995,MEC LVI,square
sub-11207/sub-11207_ses-16060501_behavior+ecephys.nwb,11207,16060501,599.98,10,94.96667586796086,95.48340399167745,0.97,MEC LVI,square
sub-11207/sub-11207_ses-17060501_behavior+ecephys.nwb,11207,17060501,1199.9799999999918,8,190.82469287298989,187.04299047000097,0.825,MEC LV,circle
sub-11207/sub-11207_ses-18060501_behavior+ecephys.nwb,11207,18060501,1199.98,18,192.02511046242546,190.16901213325355,0.8475,MEC LV,circle
sub-11207/sub-11207_ses-20060501_behavior+ecephys.nwb,11207,20060501,599.9799999999996,7,90.95868378676502,87.71586557695943,0.9025,MEC LVI,square
sub-11207/sub-11207_ses-21060501_behavior+ecephys.nwb,11207,21060501,1199.9799999999918,5,187.344929654324,187.1421000743767,0.8475,MEC LV,circle
sub-11207/sub-11207_ses-21060503_behavior+ecephys.nwb,11207,21060503,599.98,13,90.03411277735933,90.66172761152626,0.925,MEC LVI,square
sub-11207/sub-11207_ses-23060501_behavior+ecephys.nwb,11207,23060501,599.98,9,93.29746582090641,93.99012361604007,0.9575,MEC LVI,square
sub-11207/sub-11207_ses-24060501_behavior+ecephys.nwb,11207,24060501,1199.9799999999918,9,189.01074938318078,183.5746083153889,0.8375,MEC LVI,circle
sub-11207/sub-11207_ses-27060501_behavior+ecephys.nwb,11207,27060501,599.98,14,92.88602119309252,96.01382834225402,0.97,MEC LVI,square
sub-11207/sub-11207_ses-27060504_behavior+ecephys.nwb,11207,27060504,1199.9800000000002,3,185.5026491053573,181.06356255777294,0.8375,MEC LV,circle
sub-11207/sub-11207_ses-30060501_behavior+ecephys.nwb,11207,30060501,599.9799999999996,10,89.03352267252573,89.6974277531084,0.8725,MEC LVI,circle
sub-11207/sub-11207_ses-30060503_behavior+ecephys.nwb,11207,30060503,1199.98,1,185.8342661735967,183.97846846614465,0.8425,MEC LV,circle
sub-11265/sub-11265_ses-01020602_behavior+ecephys.nwb,11265,01020602,599.9799999999996,9,98.7765011935356,99.28182301101558,1.0,MEC LIII,square
sub-11265/sub-11265_ses-02020601_behavior+ecephys.nwb,11265,02020601,599.98,11,98.78742908395729,99.06138578571937,0.995,MEC LIII,square
sub-11265/sub-11265_ses-03020601_behavior+ecephys.nwb,11265,03020601,599.9800000000032,12,98.89331398805908,99.20041883025476,0.995,MEC LIII,square
sub-11265/sub-11265_ses-06020601_behavior+ecephys.nwb,11265,06020601,599.98,19,99.32093148199402,99.32512030419332,1.0,MEC LIII,square
sub-11265/sub-11265_ses-07020602_behavior+ecephys.nwb,11265,07020602,599.98,8,99.0294803903775,99.28312775992099,0.9975,MEC LIII,square
sub-11265/sub-11265_ses-09020601_behavior+ecephys.nwb,11265,09020601,599.98,13,99.8346844835753,98.74169292438711,0.9925,MEC LIII,square
sub-11265/sub-11265_ses-13020601_behavior+ecephys.nwb,11265,13020601,599.98,5,99.13071323117039,99.31132758859232,1.0,MEC LIII,square
sub-11265/sub-11265_ses-16030601_behavior+ecephys.nwb,11265,16030601,1199.98,12,141.44043298623365,143.99944958471832,0.975,MEC LII,square
sub-11265/sub-11265_ses-16030604_behavior+ecephys.nwb,11265,16030604,1199.98,14,139.63684241817072,143.3486076607729,0.97,MEC LII,square
sub-11265/sub-11265_ses-31010601_behavior+ecephys.nwb,11265,31010601,599.98,8,99.42006178956919,98.7235886030145,1.0,MEC LIII,square
sub-11278/sub-11278_ses-30080505_behavior+ecephys.nwb,11278,30080505,599.9799999999996,6,92.57900973109913,97.53097484304847,0.925,MEC LII,square
sub-11278/sub-11278_ses-31080502_behavior+ecephys.nwb,11278,31080502,599.98,11,93.33731449981735,92.98331735537764,0.9325,MEC LII,square
sub-11340/sub-11340_ses-01120501_behavior+ecephys.nwb,11340,01120501,599.9800000000005,2,95.21047775223508,98.9234391315479,0.9825,MEC LIII,square
sub-11340/sub-11340_ses-22110501_behavior+ecephys.nwb,11340,22110501,599.98,5,98.40980914538017,93.4247846034443,0.9725,MEC LIII,square
sub-11340/sub-11340_ses-25110501_behavior+ecephys.nwb,11340,25110501,599.98,3,96.15295182372702,96.60459732164404,0.99,MEC LIII,square
sub-11343/sub-11343_ses-08120502_behavior+ecephys.nwb,11343,08120502,599.9799999999996,3,96.61452628684495,96.6385851452746,1.0,MEC LIII,square
