session,direction,n_cells,median_err,mean_err,chance_err,track,n_bins
Achilles_10252013,right,34,0.06765213285947089,0.103493121717763,0.4598240623714295,1.6,278
Achilles_10252013,left,40,0.061234603397554654,0.11232564819841863,0.4724529145345622,1.6,245
Cicero_09012014,right,13,0.11795774298613093,0.1945708979912334,0.4300066058882306,1.6,349
Cicero_09012014,left,14,0.09538179523340748,0.18524046488285614,0.437458179826214,1.6,384
Cicero_09172014,right,6,0.1597760187833137,0.2909362234421632,0.5089351991014052,2.0,252
Gatsby_08022013,right,12,0.071566511229294,0.1469411652472504,0.4472883885192108,1.6,310
Gatsby_08022013,left,17,0.09181191800178334,0.17140943390496013,0.4407686886710172,1.6,307
