session,subject,track_m,exc_units,analysed,place_cells,pct_place,median_si,median_width_m,median_peak_hz,median_spikes,pct_place_testable,run_s,decode_err_m,chance_err_m,pp_fields,pp_median_rho
Achilles_10252013,Achilles,1.6,120,97,57,58.76288659793815,1.2025503643189883,0.19999999999999996,6.066627088079057,107.5,56.38297872340425,201.010499911,0.06444336812851277,0.4661384884529958,18,-0.2419184097989686
Buddy_06272013,Buddy,1.6,48,25,2,8.0,3.079837049905186,0.13999999999999999,2.6643861015774415,58.5,5.0,126.514373955,,,0,
Cicero_09012014,Cicero,1.6,55,31,17,54.83870967741935,0.6235701899596142,0.27999999999999997,7.981496597055987,205.0,54.83870967741935,293.400755817,0.1066697691097692,0.4337323928572223,6,-0.28091588103313825
Cicero_09172014,Cicero,2.0,59,39,7,17.94871794871795,0.901648245722749,0.3500000000000001,14.665716514993585,124.5,17.94871794871795,176.792956601,0.1597760187833137,0.5089351991014052,5,-0.025490224751805898
Gatsby_08022013,Gatsby,1.6,66,39,21,53.84615384615385,1.170401326234337,0.19999999999999996,8.725375722767225,138.0,51.28205128205128,253.439565855,0.08168921461553867,0.44402853859511404,2,-0.20697511333433402
