session,subject,unit,direction,maze,track,mean_rate,si,si_null,p,sparsity,peak_rate,peak_loc,field_width,stability,n_spikes,is_place,testable
Achilles_10252013,Achilles,6,right,linear,1.6,0.2451432626637881,1.1631838537608987,2.1242115966513393,0.998,0.4176467060039403,0.5124147182394412,0.8200000000000001,0.11999999999999998,-0.10840133212197518,26,False,False
Achilles_10252013,Achilles,7,right,linear,1.6,6.35486765520743,0.216541801529293,0.17199366465025384,0.178,0.7847983406200983,12.05972932161896,0.38,0.6399999999999999,0.8464323016440797,674,False,True
Achilles_10252013,Achilles,9,right,linear,1.6,1.50857392408485,1.394634072325677,0.7023346260540301,0.008,0.2289058851764829,12.08816235357669,1.58,0.15999999999999998,0.9807372786303639,160,True,True
Achilles_10252013,Achilles,11,right,linear,1.6,2.215717950999623,0.8702534436828017,0.5806256110009106,0.052,0.4196168015462185,8.116832280005353,0.22,0.23999999999999996,0.9103501024330805,235,False,True
Achilles_10252013,Achilles,12,right,linear,1.6,8.759157346717659,0.36861765818076464,0.2534778170933983,0.08,0.6743605273585558,18.665504281770463,0.5800000000000001,0.7999999999999998,0.9591351770828018,929,False,True
Achilles_10252013,Achilles,13,right,linear,1.6,0.6505725047615915,0.7839860022333973,0.47449145458203296,0.04,0.487445581007193,2.161606646918381,0.02,0.15999999999999998,0.7947977607941876,69,False,True
Achilles_10252013,Achilles,16,right,linear,1.6,1.8574316440294714,1.145256733458702,0.33169491834399173,0.0,0.347011045003022,7.628304669850271,0.1,0.27999999999999997,0.9592936504318105,197,True,True
Achilles_10252013,Achilles,21,right,linear,1.6,0.8014298971700765,0.5219552381367031,0.18644207881169825,0.01,0.6359700523776551,1.3427634653191887,0.5,0.7199999999999999,0.24364444575264488,85,False,True
Achilles_10252013,Achilles,23,right,linear,1.6,5.487437648858641,1.5319922352212907,0.7823197615947417,0.012,0.28912052924139064,26.16390534018012,1.3800000000000001,0.43999999999999995,0.9851601344374991,582,False,True
Achilles_10252013,Achilles,27,right,linear,1.6,5.034865471633187,0.9237163720994511,0.3189887435542316,0.0,0.43647949661278035,15.501637225057552,0.33999999999999997,0.35999999999999993,0.9783326812073598,534,True,True
