unit_id,baseline_Hz,anova_p,best_freq_Hz,freq_selectivity_index,driven,rate_2000Hz,rate_4000Hz,rate_8000Hz,rate_16000Hz,rate_32000Hz
0,6.420482520925653,1.8859037048744224e-08,8000.0,0.18304869540809776,True,7.464363872952031,6.313823163138231,8.764695020619191,6.642652176567557,6.052438127909826
1,14.344926368560047,4.630158629280341e-06,8000.0,0.08685841680493477,True,15.946057845862661,13.972602739726028,16.630762602326588,14.5918554246291,14.346973780936045
2,4.664070542947943,0.04280650009144412,8000.0,0.11174991880104557,False,4.980185721890342,4.968866749688668,5.367144703637595,4.5668233713901945,4.288164665523157
3,1.5702072422899602,2.567023295156328e-35,8000.0,0.5205540351412762,True,3.241261016147158,1.8057285180572853,4.468517264725795,2.320043958727639,1.4089683901004657
4,9.795443355266102,7.580171547731355e-142,8000.0,0.4217571614014955,True,17.081682143490866,9.377334993773351,23.056564288791776,12.992246168874777,9.752511639304092
5,0.45476925831431003,2.0999528697236417e-06,8000.0,0.48258480503560286,True,0.7452534453185071,0.36114570361145704,0.9478672985781991,0.549484095488125,0.3308012741975006
6,0.4243319457499664,0.160625926330876,32000.0,0.3538658962067521,False,0.4140296918436151,0.4483188044831881,0.2338893334153998,0.3052689419378472,0.49007596177407503
7,5.197618727899378,0.009847669224167398,32000.0,0.13916929427218694,False,4.731767906784173,5.342465753424658,4.406967440142796,4.811038524940472,5.831903945111494
8,1.432344120674992,0.00010913462515060106,4000.0,0.40245240063629767,False,1.0764771987933992,1.4445828144458281,0.6154982458299995,1.0379144025886808,1.2496937025238912
9,2.4009668322814557,0.00010013638390529336,32000.0,0.32272453276736135,False,1.9518542615484713,2.4782067247820674,1.3048562811595987,2.1735148665974724,2.5483950012251904
10,2.750100711695985,0.00016000009225854844,4000.0,0.2479469923264073,False,2.4250310522268883,2.8393524283935245,1.7110851234073985,2.1002503205323895,2.523891203136486
11,0.32585828745356077,0.1425610125865563,16000.0,0.5455516542916148,False,0.2365883953392086,0.273972602739726,0.08616975441619992,0.29305818426033337,0.2450379808870375
12,15.034241976634886,0.0868123199237558,4000.0,0.05937891168536549,False,14.893239486603186,15.541718555417189,13.799470671508587,15.043653458697115,14.849301641754474
13,8.846515375318921,0.0002538854684800628,32000.0,0.10229501938108451,False,8.20961731827054,9.04109589041096,7.373668985043393,8.730691739422431,9.054153393776035
14,1.614967996061054,0.17168646505975635,4000.0,0.1583200678839399,False,1.7507541255101438,1.8804483188044832,1.3664061057425985,1.6484522864643754,1.5192354814996325
15,2.941676737836265,0.6564597768725589,8000.0,0.06451393682646285,False,3.1702844975453957,3.038605230386052,3.2375207730657967,2.845106538860737,3.234501347708895
16,0.331229577906092,0.3350684438945762,4000.0,0.3667225718076682,False,0.28390607440705035,0.3985056039850561,0.18464947374899984,0.29305818426033337,0.3308012741975006
17,13.732599256971486,1.017276472688332e-06,4000.0,0.15688061635077155,False,11.450878334417697,13.698630136986301,9.983381547362592,12.406129800354114,12.778730703259006
18,5.231636900765409,3.2317210798825735e-108,8000.0,0.5240071527983852,True,10.752942568167033,5.1058530510585305,16.347633409244786,7.973624763416571,5.525606469002695
19,8.193008370260957,0.20148988962347372,8000.0,0.06268900014930688,False,8.174129058969658,7.79576587795766,8.838554810118792,8.425422797484584,8.257779955893165
20,1.3284991719260553,0.5716115178693388,4000.0,0.1669227054536366,False,1.2539184952978057,1.344956413449564,0.960177263494799,1.0867574332987362,1.0536633178142611
21,31.90904614833714,0.49461558894136326,32000.0,0.02454907579320557,False,30.969420949902407,31.805728518057286,30.87339201083277,30.783320105012525,32.3327615780446
22,8.121391164227205,5.414760961650894e-09,4000.0,0.2564117151250571,False,6.56532797066304,7.820672478206726,4.6285468086415955,6.251907930887112,7.25312423425631
23,0.778837115617027,0.07531366931889644,4000.0,0.4030891695808299,False,0.6742769267167444,0.9838107098381071,0.4185388071643996,0.9768606142011111,0.686106346483705
24,10.47938767288841,0.7181978430741459,32000.0,0.03942911692727574,False,10.71745430886615,10.16189290161893,10.02031144211239,10.501251602661945,10.84293065425141
25,1.0867911015621503,0.14735810311772535,32000.0,0.23394746216500645,False,0.9936712604246764,1.0709838107098382,0.9355573336615992,0.9646498565235974,1.5069835824552806
26,12.903630097130835,0.4048982176083293,8000.0,0.04251904345519614,False,13.10699710179216,13.262764632627649,13.454791653843786,12.357286769644057,12.876745895613823
27,4.477865807260195,0.00012017580777896604,32000.0,0.2507570341583588,False,3.4778494114863667,4.209215442092154,2.708192281651997,3.5289089688015136,4.520950747365842
28,4.146636229354102,0.0009340249386168056,32000.0,0.2277248938564977,False,3.2530904359141184,3.9352428393524286,2.7205022465685977,3.5655412418340564,4.324920362656211
29,6.914641242558525,0.01588654801590466,16000.0,0.12113862369022932,False,6.257763056722069,6.886674968866751,5.465624422970395,6.972342633860432,6.4935064935064934
30,0.24170807036390493,0.6839667650891952,4000.0,0.31505421086469204,False,0.11829419766960432,0.21170610211706103,0.14771957899919985,0.20758288051773616,0.11026709139916686
31,45.72758605254912,4.212548353326925e-37,8000.0,0.12556607889732224,True,52.43981782693559,45.81569115815691,57.89376500276975,49.45356859393126,44.976721391815744
32,3.688286110738105,0.3006641242808321,2000.0,0.12364216988229292,False,3.8800496835630214,3.02615193026152,3.422170246814797,3.687648818609195,3.8348444008821367
33,4.336421825343539,0.014955359853133194,4000.0,0.18015758514996424,False,4.1757851777370325,4.483188044831881,3.1144211238997968,3.8463886684168758,3.957363391325656
34,32.17940110111454,8.199917028133663e-217,8000.0,0.2599985186631741,True,45.69704855976815,32.179327521793276,54.79165384378655,36.9985957628671,32.6145552560647
35,28.7310326305895,4.489214645895819e-15,8000.0,0.11361612901875794,True,32.36529248240374,28.77957658779577,35.588108573890565,30.978692227852743,28.326390590541536
36,5.5700281992748755,3.0407931212639733e-05,8000.0,0.1525403055309223,True,6.932039983438814,5.716064757160648,7.681418107958394,6.606019903535016,5.648125459446215
37,0.7233337809408711,0.3327004873043047,8000.0,0.14927522310787888,False,1.0055006801916366,0.7471980074719802,1.009417123161199,0.8425422797484584,0.8208772359715755
38,1.1852647598585562,0.08609696939054579,2000.0,0.19277565422800394,False,1.4905068906370142,1.0087173100871731,1.1940665969101987,1.0623359179437084,1.2251899044351875
39,2.9040777046685466,0.1614487054357906,8000.0,0.13799164863690946,False,2.661619447566097,3.0261519302615194,3.3852403520649967,2.5642591122779166,2.952707669688802
40,30.460588156304553,1.0752766503589854e-07,8000.0,0.10591831191815623,True,34.87312947299935,30.32378580323786,37.508463100880164,32.016606630441416,31.132075471698112
41,3.557584709726512,4.117752734961335e-39,8000.0,0.37306157874469426,True,5.500680191636601,3.3374844333748444,7.164399581461193,4.127236094999695,3.271257044841951
42,3.7634841770735417,1.8195855373670012e-16,8000.0,0.33401233288919885,True,5.4533625125687575,4.0224159402241595,7.681418107958392,4.737773978875389,3.8348444008821367
43,0.5263864643480596,0.8369550588589887,8000.0,0.11248284376100623,False,0.5204944697462589,0.572851805728518,0.6524281405797994,0.6227486415532084,0.5390835579514824
44,0.5192247437446847,0.0002897081586366234,4000.0,0.5425587458962253,False,0.22475897557224822,0.4981320049813201,0.14771957899919985,0.19537212284022226,0.2572898799313894
45,1.9784253166823327,1.0905995348279787e-35,8000.0,0.33181546810977924,True,7.582658070621637,4.557907845579079,9.084754108450792,7.888149459673975,5.280568488115659
46,1.985587037285708,4.024400545783781e-09,4000.0,0.5381056262806496,False,0.6979357662506654,0.9838107098381071,0.2954391579983997,0.3541119726479028,0.5390835579514824
47,1.2157020724228997,3.222986706550439e-11,4000.0,0.6226640151669992,False,0.6506180871828237,0.6849315068493151,0.2338893334153998,0.2320043958727639,0.15927468757657437
48,0.5353386151022783,1.0887885283462764e-31,16000.0,0.5289542435591458,True,0.7334240255515467,0.7222914072229141,2.1665538253215977,2.344465474082667,1.0659152168586132
49,7.514435343091177,1.144835364702978e-25,32000.0,0.5346135082574945,False,2.1174661382859172,2.9638854296388546,1.2186865267433988,2.271200928017584,4.018622886547415
50,0.9650418513047762,8.337462077364404e-39,8000.0,0.46816236378344034,True,5.7017803276749275,3.7733499377334994,6.832030528712993,4.334818975517432,2.4748836069590787
51,1.8351909046148338,2.965737716900407e-199,2000.0,0.8278931750116586,True,12.10149642160052,5.853051058530511,8.272296423955193,2.0758288051773617,1.1394266111247244
52,0.331229577906092,0.0,32000.0,0.9190325971755015,True,0.5559827290471402,0.410958904109589,2.979011509817197,2.881738811893278,9.740259740259742
53,0.8880533548184952,0.0010323144709591136,2000.0,0.4599627555452874,False,0.6624475069497842,0.48567870485678705,0.4677786668307995,0.32969045729287505,0.2450379808870375
54,10.735419184459065,0.0,4000.0,0.8772851438958188,False,3.347725794049802,19.61394769613948,1.6987751584907982,1.2821295561389583,1.5682430776770402
55,0.6427644241529028,3.276169755543818e-12,2000.0,0.7456771727227139,False,0.5914709883480216,0.5603985056039851,0.08616975441619992,0.17095060748519447,0.13477088948787064
56,0.4493979678617788,1.3430413010911047e-308,8000.0,0.9555147673349813,True,0.44951795114449644,0.21170610211706103,9.306333476949591,6.606019903535014,3.222249448664543
