session,direction,unit,mean_rate,peak_rate,peak_pos_cm,field_width_cm,info_bits_per_spike,info_bits_per_sec,shuffle_p,info_z,stability,is_place_cell
Achilles_10252013,rightward,1,0.13046700272548992,0.3828123020659497,62.0,16.0,0.5893978993221498,0.07912833783227777,0.32,0.4218376365302496,-0.34912683794327487,False
Achilles_10252013,rightward,6,0.2120088794289211,0.6820906450383107,82.0,12.0,0.5341986403476271,0.1156801336026265,0.026,2.058953596577749,0.09096728924547441,False
Achilles_10252013,rightward,7,6.441808259571064,11.426360373580321,38.0,60.0,0.15863350890981087,1.0303940243151435,0.0,23.96154541191479,0.8741554687408453,True
Achilles_10252013,rightward,9,1.3454409656066146,9.240008326051079,154.0,16.0,0.9719255948841545,1.3249246996830237,0.0,24.3269904518685,0.9760829936844726,True
Achilles_10252013,rightward,11,2.1608597326409265,7.875482094911097,22.0,24.0,0.6554258086971606,1.4332993126524196,0.0,31.59363675290753,0.9438011491553778,True
Achilles_10252013,rightward,12,7.934024603243855,16.071934394774853,86.0,80.0,0.33452451780354914,2.6813679577602336,0.0,26.853902968054598,0.9496464790556991,True
Achilles_10252013,rightward,13,0.684951764308822,2.0068889469640534,6.0,16.0,0.5296549477291109,0.36448802944462677,0.0,9.303032196010216,0.5851595084474617,True
Achilles_10252013,rightward,16,2.0140843545747504,6.6330764565311116,10.0,28.0,0.7658018128042594,1.5583862402107624,0.0,26.936550028751906,0.9610467205211044,True
Achilles_10252013,rightward,21,0.7991103916936256,1.5518730081270626,22.0,72.0,0.2588212238628827,0.20893512157197713,0.0,4.345385335496988,0.7275323571493696,True
Achilles_10252013,rightward,23,4.729428848799009,25.614940603136514,138.0,44.0,1.548222658580223,7.422587023703585,0.0,49.86977698087026,0.9944638213627114,True
Achilles_10252013,rightward,27,5.512230865151949,14.970179734078643,34.0,48.0,0.6693178558665102,3.7270038324916186,0.0,37.835046304625045,0.9703132857903312,True
Achilles_10252013,rightward,29,11.619717430238945,19.64908186404204,30.0,44.0,0.10444835977209962,1.2288455245573942,0.0,17.547056275725126,0.878784628858881,True
Achilles_10252013,rightward,33,3.8080056420502366,12.2912550748449,90.0,52.0,0.601102039180036,2.322656119529718,0.0,27.502118019667275,0.9393191037294712,True
Achilles_10252013,rightward,39,5.047442167942391,23.458828844114898,26.0,20.0,0.9614379797207477,4.923695433717156,0.0,29.679172777820064,0.9698207336975392,True
Achilles_10252013,rightward,41,0.8072645793639688,1.3619998239269795,114.0,36.0,0.13933249532855937,0.11323084207494986,0.034,2.0850196700106447,0.27400180859979745,False
Achilles_10252013,rightward,50,1.3291325902659283,5.661219413377993,42.0,24.0,0.8230380579625072,1.1043367693333548,0.0,9.859026285148554,0.8721587199706977,True
Achilles_10252013,rightward,51,5.153446607656852,16.130435216229476,22.0,36.0,0.9763229507580202,5.082941568984795,0.0,39.38976564562297,0.9878960722624757,True
Achilles_10252013,rightward,52,3.0333578133676404,10.922155523182898,86.0,40.0,0.7687254083577278,2.356928207140535,0.0,28.980748216534117,0.9126259796374885,True
Achilles_10252013,rightward,53,0.4566345095392147,1.4072398975057667,30.0,28.0,0.47919572900270174,0.2245033114669066,0.0,3.9819796718171157,0.696104400675285,True
Achilles_10252013,rightward,54,2.9681243120048952,7.7738654303982555,6.0,24.0,0.4263334411754336,1.2713884842783365,0.0,18.4744187898427,0.9245916979796067,True
Achilles_10252013,rightward,55,11.203853859051446,24.890574953933758,22.0,44.0,0.24461823057974594,2.7733216679581627,0.0,40.10626636063338,0.9421488756548329,True
