path,subject,session,unit,layer,depth_mm,n_spikes,box_half_cm,run_time_s,included,gridness,spacing_cm,orientation_deg,peak_rate,mean_rate,spatial_info,r_in,r_out,hd_mvl,hd_pref,gridness_p,gridness_shuf_95,hd_mvl_shuf_95,hd_p
sub-10884/sub-10884_ses-02080405_behavior+ecephys.nwb,10884,02080405,t3c3,MEC LIII,2.9499999999999997,983,52.15598371326509,571.2,True,0.17291716261598664,76.03453162872775,13.667780146130355,13.308638216214428,1.7151132358601633,0.9958797344094539,15.0,40.0,,,0.4,0.6670353508503912,,
sub-10884/sub-10884_ses-02080405_behavior+ecephys.nwb,10884,02080405,t3c5,MEC LIII,2.9499999999999997,436,52.15598371326509,571.2,True,0.3525507491074176,35.0,0.0,1.216590940290678,0.760721638692809,0.042918200815466524,8.0,23.0,,,0.17,0.5688258878467937,,
sub-10884/sub-10884_ses-03080402_behavior+ecephys.nwb,10884,03080402,t1c2,MEC LIII,3.0,1141,52.05294118701356,564.8,True,0.12289915244875647,60.878978309429606,19.69515353123397,6.428875840748449,2.0127006526742597,0.2273382636137506,13.0,26.0,,,0.465,0.5609186997719593,,
sub-10884/sub-10884_ses-03080402_behavior+ecephys.nwb,10884,03080402,t3c2,MEC LIII,3.0,500,52.05294118701356,564.8,True,-0.012883908979049355,83.10385069297331,20.837652954278283,9.914614048570579,0.8819897689194827,0.9967506775213045,30.0,38.0,,,0.645,0.8223440267160564,,
sub-10884/sub-10884_ses-03080402_behavior+ecephys.nwb,10884,03080402,t3c3,MEC LIII,3.0,453,52.05294118701356,564.8,True,0.7901813917852324,92.63503656824453,7.696051722016563,8.963677422676607,0.7990827306410513,1.532178246195682,15.0,32.0,,,0.04,0.730886922334934,,
sub-10884/sub-10884_ses-03080402_behavior+ecephys.nwb,10884,03080402,t4c1,MEC LIII,3.0,728,52.05294118701356,564.8,True,0.8389236957757538,59.42432162002356,22.249023657212348,10.031173871221409,1.2841771035467668,1.1978356346846173,12.0,30.0,,,0.05,0.8380681147009262,,
sub-10884/sub-10884_ses-03080402_behavior+ecephys.nwb,10884,03080402,t4c2,MEC LIII,3.0,488,52.05294118701356,564.8,True,0.5316845856965665,78.46177413237608,16.636577041616704,5.172434197855171,0.8608220144654152,0.7515588687706609,15.0,21.0,,,0.095,0.6364102890088816,,
sub-10884/sub-10884_ses-03080402_behavior+ecephys.nwb,10884,03080402,t4c3,MEC LIII,3.0,526,52.05294118701356,564.8,True,0.9445608057862209,54.886246000250374,30.0,3.850234153733246,0.9278532369032958,0.4108049171150595,11.0,23.0,,,0.0,0.649581766255521,,
sub-10884/sub-10884_ses-03080405_behavior+ecephys.nwb,10884,03080405,t1c1,MEC LIII,3.0,690,51.896979425346046,565.16,True,-0.25718446522836497,68.28250141873832,6.250505507133241,5.168153078935062,1.2153878672319784,0.322078943440976,16.0,39.0,,,0.93,0.6985359626354899,,
sub-10884/sub-10884_ses-03080405_behavior+ecephys.nwb,10884,03080405,t3c2,MEC LIII,3.0,432,51.896979425346046,565.16,True,0.3906732286251106,82.00609733428364,52.43140797117251,5.89494342491141,0.7609384907887169,0.8244093148838183,26.0,33.0,,,0.165,0.6162760229521191,,
