path,subject,session,unit,layer,depth_mm,n_spikes,box_half_cm,run_time_s,included,gridness,spacing_cm,orientation_deg,peak_rate,mean_rate,spatial_info,r_in,r_out,hd_mvl,hd_pref,gridness_p,gridness_shuf_95,hd_mvl_shuf_95,hd_p,stability_r,is_grid,is_hd,is_conj
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,10073,17010302,t1c1,MEC LII,2.4,1748,51.191623365822274,595.64,True,0.4111494164123757,53.15072906367325,11.185925165709648,19.438382545920874,2.931213737132491,0.7130685167160846,11.0,26.0,,,0.155,0.742574531246897,,,0.7054802650591349,False,False,False
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,10073,17010302,t2c1,MEC LII,2.4,898,51.191623365822274,595.64,True,0.3818021895324627,48.541219597369,4.5085229876684,9.467449976136896,1.5058523661012455,0.7956713441129493,10.0,23.0,,,0.195,0.740164411521614,,,0.6683667013502006,False,False,False
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,10073,17010302,t2c3,MEC LII,2.4,1535,51.191623365822274,595.64,True,0.6288107199111694,54.82928049865328,13.152389734005396,9.625284945840123,2.5740349465093675,0.4110030792056321,11.0,26.0,,,0.06,0.7447763399381628,,,0.8972044702618861,False,False,False
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,10073,17010302,t3c1,MEC LII,2.4,678,51.191623365822274,595.64,True,1.1855507396672564,52.974050251042726,14.05460409907714,8.757993149071279,1.1369353053637463,0.9847789407052112,11.0,25.0,,,0.005,0.7322516718208807,,,0.2997079762084692,True,False,False
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,10073,17010302,t3c2,MEC LII,2.4,773,51.191623365822274,595.64,True,0.3031038530772303,50.62114182829147,2.9052429229878953,11.345838230350775,1.296240399773121,1.048868795678401,10.0,26.0,,,0.265,0.621856064705708,,,0.8740976321364891,False,False,False
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,10073,17010302,t3c3,MEC LII,2.4,809,51.191623365822274,595.64,True,1.031659089610843,55.33985905294664,7.405356631408552,9.144534128455325,1.3566086460756208,0.8525421221257546,12.0,26.0,,,0.0,0.7218775642295078,,,0.6480811881878583,True,False,False
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,10073,17010302,t3c4,MEC LII,2.4,1726,51.191623365822274,595.64,True,-0.3303153781039059,58.14851674806504,24.289406862500357,13.781151097501793,2.894322031058741,0.8018015922371213,15.0,23.0,,,0.975,0.6102997943956868,,,0.937173366335978,False,False,False
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,10073,17010302,t4c1,MEC LII,2.4,874,51.191623365822274,595.64,True,0.3064323240289211,50.62114182829147,2.9052429229878953,14.242648461706676,1.4656068685662456,1.0680187091147924,11.0,26.0,,,0.235,0.6003162472577267,,,0.894788891514129,False,False,False
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,10697,2030402,t1c1,MEC LII,2.55,348,52.10192643381785,519.54,True,0.9830267970605148,43.66062299143245,26.56505117707799,4.198917394051991,0.6668199586117814,0.5792437813974658,8.0,18.0,,,0.0,0.6369507051984536,,,0.7016164018326834,True,False,False
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,10697,2030402,t1c2,MEC LII,2.55,3567,52.10192643381785,519.54,True,0.0253784463180797,47.434164902525694,41.565051177077976,17.16774748882314,6.83490457577076,0.1087849676577179,12.0,28.0,,,0.565,0.6730747002542578,,,0.5146748005123212,False,False,False
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,10697,2030402,t1c3,MEC LII,2.55,1575,52.10192643381785,519.54,True,1.3400297754285384,37.5,31.699244233993625,14.497199301579768,3.017935157510218,0.4349956579004705,8.0,18.0,,,0.0,0.6266202188272747,,,0.5702339176839024,True,False,False
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,10697,2030402,t2c1,MEC LII,2.55,2513,52.10192643381785,519.54,True,1.122314572236836,42.573465914816005,34.98310652189997,31.989357653345035,4.815283206871858,0.5789254999161398,10.0,20.0,,,0.0,0.5868199817472233,,,0.5708191882545806,True,False,False
