path,unit,stability_r,gridness_h1,gridness_h2
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,t1c1,0.41499760642682,0.9199850793544533,0.35953894226684335
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,t1c2,0.849903974099709,-0.26747058100227095,0.3582528553178214
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,t1c3,0.8251678926393893,1.1797274825067117,0.45271060963461607
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,t2c1,0.9393568982059792,0.43421395161018167,0.8433368116429416
sub-10697/sub-10697_ses-24020402_behavior+ecephys.nwb,t2c2,0.7713985475445094,0.9545912000151316,-0.0831559992935357
sub-10704/sub-10704_ses-06070402_behavior+ecephys.nwb,t2c1,0.1745902283138598,-0.08056185767167194,0.44974739756383497
sub-10704/sub-10704_ses-06070402_behavior+ecephys.nwb,t2c2,0.6684964840723372,-0.027222049909793183,0.4433766542831366
sub-10704/sub-10704_ses-06070402_behavior+ecephys.nwb,t2c3,0.10910017234311532,-0.4935623049766703,0.19580853469041665
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,t1c1,0.7054802650591349,0.36902214412688294,0.41370670506114654
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,t2c1,0.6683667013502006,0.0023786570492678183,0.6451752446063261
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,t2c3,0.8972044702618861,0.21480638843930283,0.3673943443410741
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,t3c1,0.29970797620846923,0.7092526425607846,0.25865557626595503
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,t3c2,0.8740976321364891,-0.1906807299525475,0.9088816604280552
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,t3c3,0.6480811881878583,-0.04616123024198285,0.6162992534672691
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,t3c4,0.9371733663359779,0.045174240618643835,0.37610044669936404
sub-10073/sub-10073_ses-17010302_behavior+ecephys.nwb,t4c1,0.894788891514129,-0.11101792196823433,0.7329022299846005
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,t1c1,0.7016164018326834,0.9354364499314237,0.3634289721371104
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,t1c2,0.5146748005123212,-0.09733909538877586,-0.36013639510591877
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,t1c3,0.5702339176839024,1.1980707080268804,1.0723678536687309
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,t2c1,0.5708191882545806,0.7999220290437854,-0.10863484501521609
sub-10697/sub-10697_ses-02030402_behavior+ecephys.nwb,t2c3,0.5108891509012102,0.3853756587931767,-0.005263483485198339
sub-10704/sub-10704_ses-07070402_behavior+ecephys.nwb,t1c1,0.22453418033303013,0.10752757502831614,0.24200645929265507
sub-10704/sub-10704_ses-07070402_behavior+ecephys.nwb,t2c3,0.760223990879565,0.7944745428920978,1.4515909060687409
sub-10704/sub-10704_ses-07070402_behavior+ecephys.nwb,t2c4,0.5627373588665231,0.09218055645407784,-0.13791221257081954
sub-10704/sub-10704_ses-07070402_behavior+ecephys.nwb,t4c1,0.7906597262928002,-0.08904960627056738,-0.27705257966770785
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,t2c1,0.42518886940711315,0.09277788816655755,-0.0875118077558618
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,t2c2,0.9307950710393934,0.9574252101025165,0.22852012335220087
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,t2c3,0.5792978442069161,1.475613074369845,0.8815575785493419
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,t2c4,0.8705366239179061,1.0392546787429922,0.7639002677051765
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,t2c5,0.32716515854789296,-0.31887353154265213,-0.3509726028608029
sub-10704/sub-10704_ses-07070407_behavior+ecephys.nwb,t2c6,0.4799387687699441,0.08067624202779353,0.20280286385096596
sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,t2c1,-0.47918387985481387,-0.24450195546434816,0.37869626519678173
sub-10704/sub-10704_ses-19070402_behavior+ecephys.nwb,t2c5,0.6080773450013947,0.44772062477180585,0.5364018168938556
