session,n_units,n_hd,dur_wake,dur_REM,dur_non-REM,wake_decode_err_med_deg,wake_decode_err_aligned_med_deg,block_rotation_deg,block_resid_deg,revisit_rotation_deg,revisit_resid_deg,revisit_gap_h,corrmatch_wake,coh_wake,cohctl_wake,cohperm_wake,shape_wake,step_wake_degs,stepnull_wake_degs,vs_wake,tau_wake_s,xcorr_hw_wake_s,circcorr_wake,circcorrshuf_wake,radcv_wake,radcvshuf_wake,resvar1_wake,resvar2_wake,pca2_wake,pca2shuf_wake,corrmatch_REM,coh_REM,cohctl_REM,cohperm_REM,shape_REM,step_REM_degs,stepnull_REM_degs,vs_REM,tau_REM_s,xcorr_hw_REM_s,circcorr_REM,circcorrshuf_REM,radcv_REM,radcvshuf_REM,resvar1_REM,resvar2_REM,pca2_REM,pca2shuf_REM,corrmatch_non-REM,coh_non-REM,cohctl_non-REM,cohperm_non-REM,shape_non-REM,step_non-REM_degs,stepnull_non-REM_degs,vs_non-REM,tau_non-REM_s,xcorr_hw_non-REM_s,circcorr_non-REM,circcorrshuf_non-REM,radcv_non-REM,radcvshuf_non-REM,resvar1_non-REM,resvar2_non-REM,pca2_non-REM,pca2shuf_non-REM
Mouse28-140313,71,31,2275.0768,802.999969482,10283.004669189,11.814776309773947,9.300948870619965,10.001226994563835,1.6622029581177253,47.96324886410767,20.143734930405575,5.216666666666667,0.9999999999999999,0.607370276459581,0.004510245861603227,-0.060175313433991066,0.971107974326824,30.000000000000167,419.99999999999983,0.9963426607435554,2.9694221601431994,1.7309651606379644,0.9249982860929926,0.047578082742241186,0.2028099777333179,0.42466748230070234,0.4450702926489257,0.06897332314194071,0.39326687327319987,0.0988827549719867,0.9366814859304544,0.5133818066963411,-0.0041865930030414765,-0.0388982634235841,0.8996053052049465,30.000000000000167,420.00000000000034,0.9963790122468547,5.046911839450316,2.4397677553949637,0.9333256059621176,0.052500047049197945,0.18267350279167924,0.46712068170943133,0.45455321494847156,0.1155689866801699,0.3752349327130011,0.12346402600905522,0.893910704080987,0.3937294487152409,0.001946933462930501,-0.01846895394032537,0.8737348142617513,180.0,450.0,0.9956450845401524,0.17287694442236815,0.11751315439801503,0.7989536261498907,0.0608336078711877,0.2621512323180871,0.49981271275226413,0.6943825038446784,0.4581506538024356,0.2771428839626028,0.10399156010944723
Mouse28-140312,72,26,1620.0,1227.000030518,12968.996765137,10.204373750765292,10.14136407008775,1.524811287132906,4.388108011239476,,,,1.0,0.4856760890807004,0.0007331481859808807,-0.03320161046609788,0.9300186277894105,30.000000000000167,419.9999999999999,0.9948874543247426,2.450758205064119,1.7708720679049592,0.946751525266107,0.08822347086128712,0.2870890026322279,0.516253340584134,0.4141792328552274,0.09477831879353427,0.4035945935040405,0.11647403371083263,0.9114366604596656,0.46045724958837064,0.016085484864059106,-0.013932013484146818,0.8606852437960887,30.000000000000167,420.00000000000006,0.995408463293775,3.8628025356387314,1.879526954814426,0.9409260667983589,0.06989043752958692,0.17041376396810504,0.5076001018493168,0.6057157296552627,0.21334098838822835,0.37194048676712244,0.11741060037652225,0.9038930283714705,0.33905487670806067,-0.002708497056979925,0.0024884646161766268,0.828529227915727,180.0,450.0,0.994460263117745,0.17197911200547802,0.11705741586758156,0.8064212161715449,0.05745113428060988,0.2767770162395752,0.5614758975490514,0.7427697497143017,0.4945373233192253,0.28539692608121114,0.1137108352414309
Mouse28-140317,54,18,1320.0,193.001953125,8859.997802734,13.457538607522801,13.419513876845937,358.97260128709837,2.968772420869809,,,,1.0,0.6351684938536861,0.012126079606698077,0.04898630596363452,0.9394756311825828,30.000000000000167,390.0000000000001,0.9940334784785934,2.4280415227733925,1.6543854286684148,0.9291432593041409,0.09696585476360191,0.24848368932561268,0.5583268507974265,0.2824291561126714,0.05575465546144409,0.4677320014435871,0.1682122442692469,0.9374474014676211,0.5100278896914509,0.017428690254628624,0.051840351307698845,0.7535137271693384,30.000000000000167,479.9999999999998,0.9940101982724425,4.758187285555589,2.939009611218127,0.9522028280389562,0.1292189813003888,0.22755428169311923,0.46251937587919617,0.3347788783605208,0.12095016605576969,0.4841405091862299,0.23421051825214123,0.971006373658452,0.45851197467039423,0.0017273488398015435,0.0544528595916979,0.9211183156846242,150.00000000000034,390.0000000000001,0.9925765826230706,0.18751606639501214,0.09037729071444679,0.7321497668469008,0.06858114863253842,0.30784842335749196,0.5370255880912835,0.6351519844322502,0.46677714979586427,0.3388480969555958,0.15448707287137914
Mouse25-140130,30,15,2109.1536,1191.999511719,11914.999267578,7.025031754309029,6.987485473160715,359.2850521844508,0.8801736397609595,,,3.0000000000000004,0.9999999999999999,0.5554225286860763,-0.0030466191483076205,-0.10753138892740191,0.9347738515860778,30.000000000000043,419.99999999999983,0.9959986927212211,2.2634601277686874,1.4871314983464092,0.926645013808182,0.10669741714227399,0.2654400295714788,0.5452549869989768,0.38990409216023514,0.06808958206331306,0.4785718975244908,0.20056869831621038,0.9231732203726629,0.4523492741367667,-0.01372512909106457,-0.08681276852218664,0.829131572449526,30.000000000000167,419.99999999999983,0.994866848466528,2.6759761527484,1.878473846520691,0.7360013551462077,0.0626318705939108,0.3059990424601516,0.5182006601457093,0.24930557728108038,0.12490959814028746,0.44711987478975224,0.1942190406386267,0.9359477409354091,0.33911805442859483,0.004563351020175218,-0.07674893714997741,0.8677034714386497,180.0,390.0000000000001,0.9931062546747852,0.16782770925262236,0.09334269517496373,0.5910220210745872,0.0770520131796086,0.28721222892729614,0.5304241254449706,0.7035754552475525,0.5619212928464943,0.36007776637427436,0.18818039497440542
Mouse24-131216,33,7,2870.9232,1120.999755859,10335.000473022,84.54981658983165,40.97419316065,269.8508271960562,9.564855443438026,123.76574202771143,20.447191480526204,-4.214145333333334,1.0,0.24526703374927164,0.0047919841575498655,0.03266544159975103,0.3182614463025936,60.000000000000334,420.00000000000006,0.6678443167756789,0.2076786202356556,0.7665619931561264,0.5098527688061282,0.023592033138095627,0.39364873287581187,0.5651852517134933,0.518258961649984,0.33812883223654744,0.5054347264173901,0.33819741393832364,0.9594845732406374,0.23465855475545144,-0.0047917911326884706,0.057427194019297224,0.3332205117603844,59.99999999999995,420.00000000000006,0.6112781396007797,0.18789270986133857,1.226447651936519,0.5802083307807528,0.07632452102047683,0.3954306503964952,0.5668522920444337,0.585776305346057,0.29319841470590646,0.4809771669763168,0.35371172182062893,0.948084993469734,0.2355760580126319,-0.0009775692051465727,0.030903928310812425,0.49285477173734765,389.9999999999999,419.9999999999999,0.5525519206901284,0.12715640417907767,0.08386566412244299,0.4623514364074555,0.058203959689384924,0.35930141674237426,0.5690421292101743,0.722641561704113,0.5520777148961711,0.4552407391502712,0.3366747747266013
Mouse17-130204,43,7,2340.0,1578.001953125,12615.001464844,10.51624576401915,10.695171236635748,358.15343076749593,1.920564345333863,350.90041849043183,10.3073877057349,-4.546958666666667,0.9999999999999999,0.3603536301117846,-0.004732999085946277,-0.08988958083446519,0.7997055528096516,59.99999999999995,450.0,0.9868669104096744,1.5563557177136995,1.6928766635689032,0.9485838631707983,0.07737062272054718,0.3236243187505106,0.6029376849902099,0.5620996955483861,0.13513199679716115,0.5531150558791467,0.3449743578041595,0.9791269041296395,0.2613314393543634,0.002776656397699934,-0.04847131290062688,0.6480979192385072,59.99999999999995,480.0000000000001,0.9749609707305201,2.6284612113703782,2.8961466666244884,0.7902275421737697,0.03564228537575969,0.28887887312410737,0.563141358640603,0.5603884156477488,0.2988901407470351,0.5454706146359696,0.39157792836320593,0.962472372744397,0.2441867356319806,0.00358428171942446,-0.050838581640078935,0.5770835480000239,210.00000000000017,480.0000000000001,0.9658091626783688,0.14496491270159406,0.12396951432731272,0.6546611796929173,0.02073457236692747,0.31533855115727366,0.5151890207891852,0.7102881185796004,0.483568166910617,0.5115868156459474,0.3470993138715964
