session,unit_id,area,firing_rate,peak_rate,blank_rate,responsive,gOSI,gOSI_null,gOSI_corrected,p_OSI,gDSI,gDSI_null,gDSI_corrected,p_DSI,OSI,DSI,pref_ori,pref_dir,pref_tf,half1_ori,half2_ori,sg_pref_ori,sg_gOSI,sg_peak_rate,group,ll_constant,ll_orientation,ll_direction,glm_label,glm_label_shuffled
715093703,950911873,VISam,2.9237582784943,1.5098191377217496,1.6567140570663086,False,0.509488740743713,0.0922680594199357,0.4172206813237772,0.0019960079840319,0.1052316699458091,0.0921679141428659,0.0130637558029431,0.3992015968063872,0.6492560293550356,0.0820052960062727,177.7576406558162,180.0,1.0,1.4553306723754358,175.55948078809172,173.7221618037653,0.1976421697229354,2.005623242737306,higher visual,-2.2325345085942905,-1.8611189378456223,-1.9034298117791957,orientation,untuned
715093703,950911880,VISam,10.1062369221047,12.4841278985957,5.397084480755355,True,0.2024006656642766,0.0289152663866559,0.1734853992776207,0.0019960079840319,0.0400186838516868,0.0278643157097325,0.0121543681419543,0.2195608782435129,0.3688836567326694,0.0808443354728227,163.91439907167313,0.0,1.0,162.89653766067872,165.1975139926073,1.808035013867863,0.0740122102353279,11.902530459237187,higher visual,-7.670617895486063,-7.009127549711683,-7.041105221065959,orientation,orientation
715093703,950911932,VISam,5.17606935578316,3.72331965024048,4.269839218970483,False,0.2795486097786791,0.0478534889207597,0.2316951208579194,0.0019960079840319,0.06735513659686,0.0490994327169995,0.0182557038798604,0.279441117764471,0.5159970504507467,0.0866243163544897,179.80867541140972,180.0,1.0,176.32743421739062,2.060168403083312,2.75941714741843,0.1233782078307546,8.238050609187884,higher visual,-4.1376610760155925,-3.846755916875723,-3.863344467679012,orientation,untuned
715093703,950911986,VISam,3.91716417937434,0.4916116368386187,2.3227949576719658,False,0.3922624447592208,0.1312223592816361,0.2610400854775846,0.0039920159680638,0.1053039442507765,0.1267556195522737,-0.0214516753014971,0.6087824351297405,0.6939729818875092,0.0138028097782397,168.86810423445883,0.0,15.0,168.27053215168894,169.35223373594675,171.6729802816825,0.0525022703025327,0.9372071227754684,higher visual,-1.4460892519498867,-1.399461045021024,-1.444156476595997,orientation,orientation
715093703,950912018,VISam,16.8135931802895,13.943553195580302,14.022161182341582,False,0.0800218864960648,0.0172194010524623,0.0628024854436025,0.0019960079840319,0.043060181865742,0.0178798927542637,0.0251802891114782,0.0239520958083832,0.1495255984231104,0.0450583533207319,71.99507298078332,270.0,4.0,72.2803638911466,71.78064865442678,88.7128439558768,0.0570082483254758,18.71602624180499,higher visual,-6.7789229863477845,-6.670026480607905,-6.6667476812309685,direction,untuned
715093703,950912065,VISam,5.48437980623242,11.730135013069876,2.8522538637797457,True,0.0523083418839568,0.0264431038288262,0.0258652380551305,0.0518962075848303,0.0348392090935195,0.023843591305421,0.0109956177880985,0.24750499001996,0.053861265685692,0.0285672349656817,148.74567943523493,180.0,4.0,156.11513301384673,128.32637566377707,96.88361831243589,0.0704321321377646,6.1668228678562675,higher visual,-7.548090362316538,-7.146298511860019,-7.193008047409816,orientation,orientation
715093703,950912109,VISam,3.91938056172718,6.551620414933862,2.698536464678161,True,0.2479742870211396,0.0382076177064888,0.2097666693146507,0.0019960079840319,0.0139662082549113,0.0381653860093788,-0.0241991777544675,0.9221556886227544,0.4194519717836896,0.0068228715909801,85.98670259530415,270.0,1.0,89.24135859839667,82.33961194239463,89.14678274017697,0.1413314854697878,6.480787253984475,higher visual,-5.700155900220207,-5.200664405467781,-5.226398099974846,orientation,untuned
715093703,950912164,VISam,6.75425024270262,5.533690618486166,1.2809556600667824,True,0.5670698576656642,0.0712873751915712,0.4957824824740929,0.0019960079840319,0.1537064122813457,0.0739455845063511,0.0797608277749945,0.0538922155688622,0.7222022836778879,0.1841502244520384,44.24949178304356,225.0,1.0,44.855313206167715,43.58219157518637,4.2730385105957955,0.1029768120500742,12.539831302723291,higher visual,-5.347203260341114,-3.9697069600663,-3.9562882810957936,direction,untuned
715093703,950912190,VISam,6.12643077833714,8.553320458026954,3.7233074859219553,True,0.3029663213946774,0.0293845402271468,0.2735817811675305,0.0019960079840319,0.0298554405905029,0.0263122223244278,0.0035432182660751,0.4131736526946107,0.5682232024212063,0.0407306119493982,98.91493153856196,270.0,15.0,98.6337707497798,99.17656490926416,108.54292405413882,0.1067193160106651,7.932446264077232,higher visual,-5.669183061234103,-4.729371955746199,-4.745729614640935,orientation,untuned
715093703,950912214,VISam,3.66706292861262,6.681438972059246,0.8198130015819424,True,0.3179857307292852,0.0485573818442289,0.2694283488850563,0.0019960079840319,0.1001749451142277,0.0484931891724548,0.0516817559417729,0.0339321357285429,0.4334742336247931,0.1201188703686841,157.62197813768984,315.0,15.0,160.5951718904249,155.38959490963467,173.26648320384234,0.1990970963999313,7.828544512488716,higher visual,-7.314151942921555,-6.501399915497221,-6.464509033897555,direction,untuned
715093703,950912226,VISam,7.36317213121763,22.46870615399673,3.450034005993312,True,0.4209808653313363,0.0316942216741047,0.3892866436572315,0.0019960079840319,0.0411536904443039,0.0297644264469683,0.0113892639973356,0.279441117764471,0.7628219173532892,0.0353951369688524,9.81040475629319,0.0,15.0,9.453112880612048,10.152754854979106,4.806410391123064,0.1657943130326661,9.953139643865748,higher visual,-11.85332482953494,-7.512171946742319,-7.472055454942462,direction,untuned
715093703,950912249,VISam,14.5895118150735,12.093756542666965,14.141709562136636,False,0.2676779987669008,0.0247833341259906,0.2428946646409102,0.0019960079840319,0.0351822821204222,0.0246035282423935,0.0105787538780287,0.24750499001996,0.397115304863323,0.0397139705105138,26.597949293988897,45.0,1.0,26.91592478996617,26.304229826934016,19.75366316463018,0.1268379210179227,18.477038425496676,higher visual,-6.241032641232826,-5.112444928787626,-5.103486423019541,direction,untuned
715093703,950912283,VISam,9.82230667753658,10.030212468631992,8.420129533071234,False,0.0782775839259905,0.0216802457368904,0.0565973381891001,0.0019960079840319,0.0216726900919848,0.0213243176028069,0.0003483724891778,0.4950099800399201,0.1568326165945517,0.041566105948554,44.123492719127334,45.0,1.0,43.64110040763091,44.47807530897308,45.70857722914578,0.0528492464629141,10.9252061806819,higher visual,-5.364106350443869,-5.169190956359973,-5.199122412456666,orientation,untuned
715093703,950912293,VISam,11.8144844576246,5.157986040894099,6.8659043311569485,False,0.316188623680579,0.0386835827921513,0.2775050408884276,0.0019960079840319,0.037522774718139,0.0363243880489834,0.0011983866691556,0.4770459081836327,0.4906244354657146,0.0067116420234153,172.50982009740778,180.0,1.0,174.2778554803781,171.2595321268148,6.770970303608917,0.201420649938826,20.777881911913965,higher visual,-4.564645659649649,-3.965115502044969,-3.96843926772294,orientation,untuned
715093703,950912326,VISam,7.66763307547513,12.913448208231518,7.37829198580165,True,0.0414848235902839,0.0246762826313206,0.0168085409589632,0.1477045908183632,0.0180308926131255,0.0254910942860972,-0.0074602016729717,0.7245508982035929,0.045699911717273,0.0477263704637393,143.4475463429591,0.0,8.0,142.2270353352215,144.10984772401554,107.34927786146434,0.133786477544307,7.966260543580741,higher visual,-8.480749170757495,-8.45741739465116,-8.528693724797208,orientation,untuned
715093703,950912361,VISam,4.19351206326171,7.111826336702669,3.945337457362588,True,0.0344273467518147,0.0410521005606837,-0.006624753808869,0.6007984031936128,0.0333738866439871,0.0379886512110925,-0.0046147645671054,0.5888223552894212,0.113008204739082,0.1139629566221409,96.74427532380297,270.0,15.0,133.52359115705198,76.20621248660822,95.43794260509723,0.1397608466410711,3.303655107782232,higher visual,-9.051960109587498,-8.994216766416276,-9.020737728880231,orientation,untuned
715093703,950912384,VISam,8.13843934789785,4.864182095925151,3.3817134701228597,False,0.1036615392067499,0.0270422530312942,0.0766192861754557,0.0019960079840319,0.0303435514488315,0.02611617954553,0.0042273719033014,0.4191616766467065,0.2356725011311965,0.1030196425789542,83.49528111639754,270.0,1.0,79.3147066393104,86.44773867393712,85.51322569568485,0.1421707150107912,11.204311152768378,higher visual,-3.825012458372039,-3.766125368733268,-3.768470545086085,orientation,untuned
715093703,950912396,VISam,2.96598619490089,10.281737796902265,3.0913704012593604,True,0.5547494133542137,0.0557380490867607,0.4990113642674529,0.0019960079840319,0.0759625952262116,0.0536023758889549,0.0223602193372566,0.2415169660678642,0.6656551567975098,0.0688914109822552,87.0560311162688,270.0,1.0,86.82988708167902,87.24718011738979,85.24535757498876,0.178528934757035,8.186504217437673,higher visual,-7.423632567100808,-4.2468295662458715,-4.244688351658647,direction,untuned
715093703,950912406,VISam,3.71174053077761,7.9453525917654995,3.1255272564338075,True,0.304291574886112,0.0370758534641662,0.2672157214219457,0.0019960079840319,0.0479561043040078,0.0373311396730103,0.0106249646309975,0.3153692614770459,0.3865897163544271,0.0090103335648909,12.388794830851287,180.0,1.0,12.929223518915894,11.965220693222552,58.73713233378156,0.0444766236236585,4.906279287723949,higher visual,-5.958058660716332,-4.541079080060302,-4.551448344643894,orientation,untuned
715093703,950912417,VISam,4.00978563138218,1.6133116980542035,1.5029835311135775,False,0.1506129699706414,0.0437395722355455,0.1068733977350958,0.0039920159680638,0.1082311599116875,0.0444483207674797,0.0637828391442077,0.0139720558882235,0.2811610886670305,0.0754831465846224,16.806159318082862,0.0,1.0,21.412478243127737,11.506290560259425,95.90789579253445,0.1852535800088589,14.227226202667062,higher visual,-2.6408684069068378,-2.602565161710306,-2.6142756320712595,orientation,untuned
715093703,950912427,VISam,4.85714360038085,13.513164465006382,6.387686308054887,True,0.655686283333851,0.0483878298160433,0.6072984535178076,0.0019960079840319,0.0637098613692296,0.0467228642814167,0.0169869970878129,0.3013972055888224,0.9114724130064652,0.0874111569146694,78.90599457418884,90.0,1.0,78.68623540563551,79.09359747047964,82.63494131875775,0.3095681475975023,14.498594189320478,higher visual,-9.431676633711822,-4.690602342542649,-4.674841417765762,direction,untuned
715093703,950912448,VISam,5.55017136660071,4.242531149987479,4.013642416378831,False,0.1447964833401835,0.0305261447168504,0.114270338623333,0.0019960079840319,0.0941835733272982,0.0312591373581297,0.0629244359691685,0.0039920159680638,0.2641253938688914,0.0983392693845615,18.569847968985076,180.0,4.0,14.134908316722106,22.93143052112257,174.32257994184548,0.1157601288497519,4.784442361765529,higher visual,-4.245768754674172,-4.125686781732837,-4.090945387148942,direction,untuned
715093703,950912460,VISam,2.02344043643322,1.2502620950764398,1.4346716588703396,False,0.2583835793844486,0.0732766751087417,0.1851069042757069,0.0019960079840319,0.1726738875184614,0.0673703022696844,0.105303585248777,0.0079840319361277,0.3162777619152466,0.3213190573236384,12.0533150059578,45.0,1.0,11.914583839370003,12.276592348654622,10.418605776711804,0.0970593021747371,2.717900656046573,higher visual,-2.258117200918796,-2.1739944078170588,-2.17822267871015,orientation,untuned
715093703,950912473,VISam,1.53525306029618,3.4569699674473333,0.2732678792955115,True,0.1248361925010254,0.0339073636908046,0.0909288288102207,0.0019960079840319,0.1354486092677514,0.0357572944425787,0.0996913148251727,0.0019960079840319,0.3240010569881203,0.209095923899378,46.21960217846708,45.0,4.0,38.97276427913805,56.59450289643793,10.761693289346198,0.1514449284828631,3.163074039363176,higher visual,-3.391451609448314,-3.338703422113794,-3.2599578701560077,direction,untuned
715093703,950912511,VISam,0.941029286331531,0.7270266388423396,0.6490178751092873,False,0.0933939347005841,0.0447910117383563,0.0486029229622277,0.0518962075848303,0.0489610900072876,0.0471196174384894,0.0018414725687981,0.4650698602794411,0.1763438199326392,0.016325759896574,140.23636535143754,135.0,4.0,139.84485044462912,141.26491081672089,122.05619950255031,0.0618067126051975,1.0049316088218434,higher visual,-1.5957982897929397,-1.5929273859059376,-1.5902832569972531,direction,untuned
