unit_id,area,session_id,firing_rate,snr,waveform_duration,dg_osi,dg_dsi,dg_osi_ratio,dg_pref_ori,dg_pref_dir,dg_mean_rate,dg_max_rate,dg_p_anova,dg_p_perm,dg_osi_null_median,dg_reliability,sg_osi,sg_dsi,sg_osi_ratio,sg_pref_ori,sg_pref_dir,sg_mean_rate,sg_max_rate,sg_p_anova,sg_p_perm,sg_osi_null_median,sg_reliability,ori_agreement_deg
950907205,MB,721123822,14.7395772224503,2.83805171078468,0.15108877721943,0.007417510734425342,0.024556886750624746,0.011627430982443364,63.92654428856692,151.5633323998219,15.142021607822786,15.920016508259478,0.3069103735463667,0.7112887112887113,0.010880684122934012,0.1445264990301524,0.005820719167357368,,0.010227091090192451,167.72469728188105,,14.024811432735753,14.181038542683353,0.813605193474604,0.4925074925074925,0.005773618666978909,-0.2561207731583997,76.20184700668588
950907209,MB,721123822,0.0402625999479121,3.34369401826003,0.343383584589615,0.0631051966233204,0.10528495200183752,0.051278700090713905,121.27543031916412,332.5330191111551,0.030910627769443512,0.04050671743653954,0.91558250728711,0.8301698301698301,0.13643176452994094,-0.43014372742784657,0.052116575848439685,,0.04052214348823609,36.03456986838899,,0.0482021277698205,0.05395286030376327,0.9762679657178072,0.7972027972027972,0.09765531329241318,-0.6644189700506944,85.24086045077513
950907216,MB,721123822,8.27717510422849,2.38797740787644,0.206030150753769,0.02058114071435499,0.025561261239345923,0.031281880268526276,154.66185861662206,190.57525613048242,7.8404359562646935,8.526240468177939,0.4971115220693718,0.45254745254745254,0.01946572688532969,0.005474129552130228,0.0016662026829493768,,0.0028941877029898455,28.771268658969163,,8.451935705711811,8.528129371479611,0.9974293363964674,0.987012987012987,0.010345034806761126,-0.8290846822158394,54.10941004234711
950907220,SCig,721123822,12.024960610266,2.73856381660633,0.164824120603015,0.04382720639784986,0.04592543533629994,0.06913815978875272,117.75217268765243,304.93065808483226,24.633264211109328,28.835916849585406,0.5429132065523405,0.8921078921078921,0.0558243911525156,-0.04439016264705588,0.007779635951154015,,0.009247395376532838,79.87744333591333,,4.980633773505608,5.1709340254379,0.41968604384861596,0.6013986013986014,0.009438281391747258,0.09683972058362585,37.874729351739106
950907222,SCig,721123822,0.318940949967131,3.49289029953314,0.164824120603015,0.055482413922441264,0.06524782398890741,0.09743359202266078,12.056895738284238,319.4124420955384,0.271512430113593,0.31973302294616013,0.9456703376821257,0.7182817182817183,0.07843522528531974,-0.45346193415549085,0.025962806219406873,,0.07623453029469456,144.01988512898126,,0.4310664927747227,0.4944327984293558,0.6745540371515604,0.7582417582417582,0.04215449543698238,-0.1733807833265834,48.03701060930297
950907225,SCig,721123822,6.36516029455017,3.77531853049988,0.164824120603015,0.01688532880308174,0.018169388959097275,0.032484955877507445,7.571163815044736,326.5846535575272,6.284880741663769,6.834306976492936,0.46760240023001565,0.2917082917082917,0.012449185910221053,-0.01582608868814568,0.005526019970398492,,0.02978985998388608,31.48803065431025,,6.9348910276034506,7.264035872871841,0.19236229599495833,0.7152847152847153,0.00812910142150091,0.3147422016295661,23.916866839265516
950907229,SCig,721123822,8.04130761997667,2.8509799998777,0.32964824120603,0.007760776008531676,0.004463182991525148,0.01547748287149896,177.9852165616678,326.8576580320246,7.891397541324419,8.074329059473966,0.9640219588424965,0.6113886113886113,0.009343910511314439,-0.46990585848260025,0.006116789611489709,,0.00546970208877593,161.61708626601103,,8.66129218832626,8.818556209432082,0.7158902147372644,0.5634365634365635,0.0067694617274687615,-0.2021548258602983,16.368130295656783
950907233,SCig,721123822,14.5322503153768,1.27516055794521,0.302177554438861,0.00667362145888895,0.015907383280128064,0.012950318132807219,172.7527466081138,141.5040597660556,15.332500294461768,15.973309171934359,0.3652729104964154,0.6083916083916084,0.007789356467389165,0.18315168486677094,0.0010356146841310465,,0.004137825613941377,175.43653186662638,,13.959977598661238,14.108668726780856,0.9681634080714904,0.989010989010989,0.005951093793836463,-0.6132642856376714,2.683785258512586
950907235,SCig,721123822,11.0638566737879,3.30984292696531,0.274706867671692,0.015535125950000174,0.013880228912520056,0.023677739170728195,25.24124001138635,79.0544399312588,10.536341838700643,11.117336431584725,0.6379912147814958,0.2777222777222777,0.011545080692945055,-0.10034190104585808,0.015410155298829243,,0.03779119346629422,162.93556813807928,,11.660743471351642,12.023142440173679,0.10879099261407792,0.029970029970029972,0.007126816474981236,0.40371631282691794,42.30567187330706
950907242,SCig,721123822,6.91130462498286,3.15143515346452,0.274706867671692,0.018847532283803713,0.008869334102375483,0.0381536728706153,177.40305699046914,103.45289485795091,6.4394338471061,6.634431008590646,0.3216897248185899,0.16683316683316685,0.012064137483849706,0.16418906979862058,0.00960502831145923,,0.016831900109073913,171.79229243817295,,7.157404576755205,7.292657253351729,0.8231764793015175,0.35664335664335667,0.007924286132982615,-0.2122854748408551,5.610764552296189
950907248,SCig,721123822,14.1700907771111,3.46827368608244,0.206030150753769,0.01873949275784192,0.003859727140563797,0.023739930536593824,20.040736856572998,199.65037399067657,14.269008997726726,15.047371233678586,0.32181633270346743,0.04795204795204795,0.009069801639366305,0.10039907492434899,0.00752526815844422,,0.013789362640011432,6.762707976049225,,14.226532376365522,14.680521299681118,0.4499087647626103,0.3986013986013986,0.006464139426134584,0.17381766955082528,13.278028880523774
