unit,cell_type,location,n_spikes,rate,mrl,pref_phase,rayleigh_p,mrl_shuffle
1,excitatory,lCA1,686,0.6568689378558761,0.04842279698704014,0.8365026170452748,0.20018559937519942,0.06004743345818924
2,inhibitory,lCA1,26668,25.535540575423475,0.11958054457909649,2.974872794558694,2.4348430840795075e-166,0.002609807714283208
6,excitatory,lCA1,148,0.14171516443537852,0.5597267930425059,0.17316654001885545,7.291889412631444e-21,0.1341696542057593
7,excitatory,lCA1,3018,2.8898403126079213,0.08453291517962042,-2.0012050512386725,4.30503400226539e-10,0.02101538800899733
9,excitatory,lCA1,1168,1.1184007571656898,0.1434861687211815,-2.477839409686428,3.601405786367779e-11,0.018456543226749826
11,excitatory,lCA1,906,0.8675266147192765,0.16153976260435043,-2.4315835985197745,5.3993579128785776e-11,0.03200624134769453
12,excitatory,lCA1,2126,2.0357191864163156,0.066935808500883,0.14432918553909427,7.297923354647599e-05,0.031336102959135505
13,excitatory,lCA1,890,0.8522060564019384,0.22614545988468068,-2.076622533775298,1.7083490329559062e-20,0.026031450365441956
16,excitatory,lCA1,2272,2.175519281062027,0.11850338482318536,-2.38326369758959,1.3914921637491569e-14,0.012227035733031561
18,inhibitory,lCA1,31407,30.073298442040088,0.32448555384444,1.772363122311048,0.0,0.004308630015616974
20,inhibitory,lCA1,12379,11.853324463145611,0.048692737724658645,0.455601460037487,1.791783114645742e-13,0.0041669266933561004
21,excitatory,lCA1,802,0.7679429856565781,0.0792360892720407,-2.1843081506480924,0.006504617366532929,0.05722568895638652
22,excitatory,lCA1,214,0.20491246749439865,0.18096743412270985,-0.4602182498917915,0.0009043162600434292,0.08186272355439074
23,excitatory,lCA1,1378,1.319483085080754,0.07900347042760374,-2.677130784397513,0.0001839487058128207,0.0076957261266498685
27,excitatory,lCA1,2430,2.3268097944457415,0.16579347300490777,-2.5879954497676647,9.805925645224626e-30,0.010798343269946437
28,excitatory,lCA1,172,0.16469600191138584,0.0803251824533652,-1.2020305848646813,0.3296356883588637,0.1819022782728943
29,excitatory,lCA1,1989,1.904536905824107,0.10821157159711507,-0.08430678854635136,7.673361262602079e-11,0.029858400840508403
33,excitatory,lCA1,2850,2.72897445027587,0.16635951748824973,-2.383244724633972,5.558534180259584e-35,0.009174969352380238
39,excitatory,lCA1,3203,3.066984268152144,0.12053869984338798,2.735337113182387,6.1475160541982875e-21,0.013327910476563776
41,excitatory,lCA1,673,0.6444209842230387,0.08075002480529309,-2.5685832777612716,0.012421315892960657,0.03761292877349804
43,excitatory,lCA1,391,0.3743961438799527,0.24737436487451916,-2.054996336214192,4.061499139654904e-11,0.05881400223649771
48,inhibitory,lCA1,18701,17.906860068283876,0.28409211396990663,1.6396491528408665,0.0,0.011045028609349868
49,inhibitory,lCA1,11825,11.322850131407776,0.15914346491676357,1.6494363731575086,8.594311218516358e-131,0.015564650846472818
50,excitatory,lCA1,2027,1.9409232318277854,0.09286718716287162,-2.7108153988606323,2.557922359525185e-08,0.013152721601416771
51,excitatory,lCA1,1732,1.658450437851862,0.06347081115670666,-2.461981601433733,0.0009326897136007535,0.03691193708413079
52,excitatory,lCA1,2254,2.1582836529550216,0.01965106037852527,1.8955374659340447,0.4187781190207547,0.029592653165925655
53,excitatory,lCA1,417,0.39929205114562727,0.19367606052752018,-2.818148466434202,1.610028697239118e-07,0.028437114456557316
