,session,area,gosi,osi,gdsi,dsi,p,pref_ori,pref_dir,waveform_duration,sg_gosi,sg_pref_ori,pref_tf,pref_sf,peak_rate,blank_rate,group,responsive
950911873,715093703,VISam,0.48587078593905253,0.6603526165503647,0.6606850179193254,0.9178074474421539,0.03396603396603397,172.78874758194013,179.13809269236717,0.920268006700168,0.36348851738812676,173.5537840315604,4.0,0.02,2.4979147410460762,1.6319834500403267,HVA,False
950911880,715093703,VISam,0.1965972530207013,0.34675342743876464,0.07416742085611794,0.15489154453958565,0.001998001998001998,178.11302897955707,38.6678990545805,0.274706867671692,0.09466839611362025,166.06518280781748,8.0,0.02,14.154857520211529,5.395491351212117,HVA,True
950911932,715093703,VISam,0.4174951586810507,0.6644314784774312,0.09292846996728836,0.16129190209059863,0.000999000999000999,1.9262589262669096,172.28147011505982,0.727973199329983,0.17749373013888936,3.6185745627952777,2.0,0.02,7.19402280004925,4.313056522054945,HVA,True
950911986,715093703,VISam,0.5155393018072487,0.7575764732189713,0.1083573049420849,0.310344560228922,0.07392607392607392,153.97714494459984,303.2804476898532,0.590619765494137,0.2060380972683438,8.934179317159629,15.0,0.02,1.265607552991521,2.3813427476520044,HVA,False
950912018,715093703,VISam,0.11823408095565291,0.1728945177628858,0.035927417095034324,0.1042852094579253,0.004995004995004995,66.41073685054032,144.2911480659947,0.65929648241206,0.12043566227774967,99.14131811820978,4.0,0.02,16.75261695085407,14.004955460946489,HVA,True
950912065,715093703,VISam,0.05872418383608189,0.007741123576707908,0.11093624952812865,0.24934577095508834,0.5874125874125874,132.6435296833836,98.26257453449578,0.425795644891122,0.09583144833737184,112.64338720518614,4.0,0.04,15.85337414674796,2.8642710871772628,HVA,True
950912109,715093703,VISam,0.4174400525330094,0.6808554212930854,0.13568682586660158,0.22200518791584192,0.000999000999000999,86.40630766157102,105.83086922908647,1.31859296482412,0.24271797236270967,86.02903384608449,4.0,0.04,10.357984777905761,2.697740476026479,HVA,True
950912164,715093703,VISam,0.6933898999073426,0.7749584550074836,0.22869680060792388,0.25454320166279987,0.000999000999000999,46.41550438168841,223.7646582466129,0.645561139028476,0.2569185864841014,169.26521614311287,1.0,0.02,9.192231399521619,1.2989165705525034,HVA,True
950912190,715093703,VISam,0.22659080241569424,0.41613430046761163,0.05667934226853463,0.13200668757183487,0.000999000999000999,104.34711235230166,255.9177564252504,0.590619765494137,0.09849389990217901,119.16590832405538,15.0,0.02,10.424637588115141,3.680260648949877,HVA,True
950912214,715093703,VISam,0.2694302223144221,0.3005084432079585,0.06907007483132804,0.13093126200630606,0.000999000999000999,160.82667428358403,290.3339183300549,0.563149078726968,0.3258599538913875,168.63188619201537,15.0,0.02,9.925056569657425,0.8326399940820416,HVA,True
950912226,715093703,VISam,0.4412491476672831,0.7558453086168517,0.07103522368345873,0.031952511962314877,0.000999000999000999,9.464764930807746,69.37354991800969,0.604355108877722,0.37736789723114716,9.240716977883626,8.0,0.04,29.042457682495133,3.4970772763128832,HVA,True
