session,subject,unit,cell_type,location,n_spikes_run,rate_track,mrl,pref_phase,p_rayleigh,lfp_channel,direction,spatial_info,peak_rate,peak_pos,field_width,n_field_spikes,prec_slope,prec_phi0,prec_rho,prec_p,prec_p_shuffle,shuf_rho95,is_place_cell
Achilles-10252013,Achilles,0,excitatory,lCA1,27,0.13139294542744218,0.15733127220877285,4.702275897763035,0.5167765571471705,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,1,inhibitory,lCA1,6757,32.88230119456396,0.07145249009538308,2.4286099648237243,9.996125638635179e-16,117,-1.0,0.012133862869064108,39.66351682384208,0.20800000000000002,1.6,3365.0,-1.7538856435248675,3.4292439646306923,0.03610253158887223,0.03677979274669041,0.014925373134328358,0.027222418797880735,False
Achilles-10252013,Achilles,2,excitatory,lCA1,45,0.2189882423790703,0.7981546081669131,0.33833039261382514,5.508410921478179e-16,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,3,excitatory,lCA1,916,4.457627333760631,0.07866372084273639,4.892591915527847,0.0034345143236567703,117,-1.0,0.567982028053406,6.078752600133733,0.272,0.672,187.0,-8.090504742711484,3.3522591245963174,0.16423720701202368,0.023389690651216544,0.05970149253731343,0.16905761156820043,True
Achilles-10252013,Achilles,4,excitatory,lCA1,235,1.1436052657573672,0.20855981797915846,4.649444721244912,3.3197147664640126e-05,117,-1.0,1.883111579793657,9.703026443754968,1.584,0.1280000000000001,72.0,-0.01885898541424602,1.1891382855201296,0.002803430162916494,0.9799241638482952,0.9850746268656716,0.22357520334283804,True
Achilles-10252013,Achilles,5,excitatory,lCA1,315,1.532917696653492,0.32579646880016994,4.012590873213622,1.2504973353081545e-15,117,1.0,0.6199522962719008,7.738941859034235,0.24,0.448,207.0,-2.7974161697798063,5.22316113427765,0.2773030636860991,4.894317502635026e-05,0.004975124378109453,0.1351989811568698,True
Achilles-10252013,Achilles,6,excitatory,lCA1,1031,5.017263953173811,0.14212081325108045,0.19967862706195033,8.210358224810286e-10,117,1.0,0.40422940923962564,19.630483133011342,0.8480000000000001,1.024,794.0,2.3825184906663956,5.237863125595949,0.19450635486498244,4.771208739207111e-08,0.004975124378109453,0.06950947934748046,False
Achilles-10252013,Achilles,7,excitatory,lCA1,99,0.4817741332339547,0.24683679870860561,3.9592727659471603,0.002254249066936912,117,1.0,0.5105111659820101,1.8011434421076138,0.048,0.8,69.0,1.1629707672118297,3.495466096106362,0.10900117221147376,0.38679369131555985,0.5970149253731343,0.28617873284895484,True
Achilles-10252013,Achilles,8,excitatory,lCA1,790,3.8444602550992344,0.14115199341944604,3.9763641223277477,1.3622563628042976e-07,117,1.0,0.9639853772616207,6.813224584961693,0.112,0.352,181.0,-6.456059340143507,5.546417817293987,0.08290475330466737,0.26876018616047004,0.35323383084577115,0.18509114196813936,True
Achilles-10252013,Achilles,9,inhibitory,lCA1,9914,48.245542998802286,0.3489821207517011,1.6363648758338212,0.0,117,-1.0,0.006813830829734074,56.309618365156076,0.656,1.6,5027.0,-0.28288478121368854,1.7745473673445893,0.040113305961719574,0.00479889073677664,0.004975124378109453,0.02630591986739016,False
Achilles-10252013,Achilles,10,inhibitory,lCA1,1158,5.635297437221409,0.09184649626351916,4.158305490158747,5.6285259477053126e-05,117,1.0,0.41778180479644617,16.684125409027608,0.20800000000000002,0.512,501.0,-5.513110069431213,5.728603448032808,0.18226548111099147,6.201502049307805e-05,0.004975124378109453,0.08862853494513798,False
Achilles-10252013,Achilles,11,excitatory,lCA1,137,0.6666975379096141,0.05747174318836662,4.333262503210158,0.6368406032516148,117,-1.0,0.5565016305310623,1.300560395710177,0.56,0.5439999999999999,29.0,1.766458300467697,3.957993116728185,0.23997309260146296,0.17310295286671185,0.2835820895522388,0.38997040459765586,False
Achilles-10252013,Achilles,12,excitatory,lCA1,7,0.034064837703410934,0.19863088150758265,5.12808900863655,0.7710351472584729,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,13,excitatory,lCA1,707,3.4405486080445047,0.14218253941630288,4.097905122801423,5.828471896301125e-07,117,1.0,1.597735513500042,27.13029059066633,1.36,0.5760000000000001,511.0,-4.331280316805138,5.822867834776395,0.2275573517979825,1.991315319305187e-07,0.004975124378109453,0.09132747739742594,True
Achilles-10252013,Achilles,14,excitatory,lCA1,952,4.632817927663887,0.1791883340483965,3.7176459730434304,4.203821587714015e-14,117,1.0,0.8115634279329015,14.987899138067053,0.33599999999999997,0.5760000000000001,544.0,-4.708460025090055,5.808425336009841,0.1591994458067585,0.00034153578292661635,0.004975124378109453,0.08144792070403103,True
Achilles-10252013,Achilles,15,excitatory,lCA1,9,0.04379764847581406,0.4179584998621184,4.614458554040143,0.21162950071291456,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,16,excitatory,lCA1,1327,6.4577199474894735,0.09667316211341635,0.651030352812835,4.012275070686409e-06,117,1.0,0.09917540995358634,21.657507874625836,1.392,1.6,1315.0,-11.145660379819317,4.989161988135588,-0.17158106334310474,1.1588909831772298e-09,0.004975124378109453,0.05418670440019938,False
Achilles-10252013,Achilles,17,excitatory,lCA1,804,3.9125899305060563,0.3376675949000436,4.1494713338742475,1.0234150218460942e-41,117,-1.0,0.6942628708341027,15.214556768200522,0.048,0.28800000000000003,250.0,-1.5024325046682545,4.898847843613362,0.2550285206664185,4.169558819988595e-05,0.004975124378109453,0.11559572541322523,True
Achilles-10252013,Achilles,18,excitatory,lCA1,1762,8.574606290487154,0.18373526215112468,3.115641005460761,8.968382839126683e-27,117,1.0,0.913300057454875,22.549372854453814,0.272,0.384,483.0,-4.871904565346853,5.40807558554,0.5652532475407887,0.0,0.004975124378109453,0.0920147129522281,False
Achilles-10252013,Achilles,19,excitatory,lCA1,198,0.9635482664679094,0.1410578438060746,4.257370649647957,0.01926646500701476,117,-1.0,0.23562184344371753,3.7524238762071653,0.016,0.608,66.0,-0.6977824603270975,4.864275229638697,0.11907936673139026,0.3461229266717547,0.38308457711442784,0.26758684109232983,False
Achilles-10252013,Achilles,20,excitatory,lCA1,7,0.034064837703410934,0.5919663367599364,4.539020252155093,0.08230482270387839,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,21,inhibitory,lCA1,3534,17.197876634836323,0.3161955303989753,1.7519523398390897,3.4281147064438095e-158,117,-1.0,0.05232099089958207,24.366099336474544,1.584,1.6,1720.0,0.1823035256710437,1.6606622755442622,0.024325707140327293,0.31863331483495605,0.31840796019900497,0.04454714574646886,False
Achilles-10252013,Achilles,22,inhibitory,lCA1,2995,14.574884131673679,0.1675209773356409,1.236974204298917,1.7548168530865785e-37,117,-1.0,0.02507045258757078,19.88612298261242,1.488,1.6,1575.0,-1.0875348255548456,1.833463559874271,0.07289683390031197,0.003639010858640157,0.004975124378109453,0.046390876541626894,False
Achilles-10252013,Achilles,23,excitatory,lCA1,1543,7.508863510909011,0.1499150605899208,3.4748974205579404,7.224879797544732e-16,117,-1.0,0.23533592069285966,28.367189199678275,0.72,1.312,1336.0,-3.3631857322071816,4.697212765967936,0.24493488991118,0.0,0.004975124378109453,0.05396019180105399,False
Achilles-10252013,Achilles,24,excitatory,lCA1,858,4.175375821360941,0.1575448592510205,2.1900866789697084,4.996773221925039e-10,117,-1.0,1.5226416049871034,16.159972163595445,0.72,0.384,230.0,-2.5585356878660246,3.3814697354742593,0.2932288327962009,1.7396705638494936e-05,0.004975124378109453,0.12629315306863675,True
Achilles-10252013,Achilles,25,excitatory,lCA1,902,4.389497658353809,0.05439720626645645,0.5451563781883194,0.06928242807986629,117,1.0,0.7983028877720193,12.826079785483417,0.8480000000000001,0.64,274.0,-6.870957019256916,6.191557682787075,0.05245081888912581,0.36420320253268734,0.5970149253731343,0.14796616221187772,True
Achilles-10252013,Achilles,26,excitatory,lCA1,105,0.510972565551164,0.26652282579485487,3.6516468599521796,0.0005215780479267646,117,1.0,0.8218792625990528,1.3175812703592127,0.30400000000000005,0.448,35.0,-2.0556294101528003,4.080133645257053,0.23484969060058783,0.19341183621315494,0.16417910447761194,0.3614889622351638,False
Achilles-10252013,Achilles,27,excitatory,lCA1,552,2.6862557731832624,0.12359567031250206,2.795421979252226,0.00021240353170103856,117,1.0,0.48639281469055834,8.533468056421615,0.048,0.28800000000000003,228.0,-3.350613075264352,4.237880831326882,0.22301284476034908,0.0007877153967876804,0.004975124378109453,0.11930364115182586,False
Achilles-10252013,Achilles,28,excitatory,lCA1,1534,7.465065862433197,0.04878584891787706,1.7572371719630249,0.02593935889708812,117,1.0,0.2694253692705781,24.473761189504273,0.20800000000000002,1.216,1218.0,-10.793625985420059,5.146938744345712,0.1434337451285037,5.363500146238209e-07,0.004975124378109453,0.06536886538839672,False
Achilles-10252013,Achilles,29,excitatory,lCA1,613,2.983106501741558,0.19939286677243478,1.3761539737317814,2.075867581957537e-11,117,1.0,1.3691373770142885,19.70431573331682,0.112,0.384,591.0,-3.375758389150013,3.0275807609675947,0.26592455219638034,9.731460082207377e-11,0.004975124378109453,0.09202377710532288,True
Achilles-10252013,Achilles,30,excitatory,lCA1,1323,6.4382543259446665,0.1372551124416892,2.3971093181023164,1.3438396299682911e-11,117,-1.0,0.9076032486574913,38.69593965843347,1.456,0.44799999999999995,811.0,-4.1678357765483405,4.147809283811627,0.41712298965916117,0.0,0.004975124378109453,0.061479329560509,True
Achilles-10252013,Achilles,31,excitatory,lCA1,253,1.2312005627089952,0.30951225264658894,3.2592962933473277,1.7041500498771873e-11,117,-1.0,1.0012452567946863,8.429123345257937,0.5920000000000001,0.512,170.0,-4.142690462662678,5.224395722632289,0.6030210673802987,8.064660050877137e-13,0.004975124378109453,0.16229059240732424,True
Achilles-10252013,Achilles,32,excitatory,lCA1,13,0.06326327002062031,0.4156805465401695,2.2544080368044073,0.10461684481554699,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,33,excitatory,lCA1,20,0.09732810772403125,0.42016994385696504,3.487438345047068,0.027240395487676292,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,34,excitatory,lCA1,59,0.2871179177858922,0.08307413346506143,3.244161497241336,0.667348410386013,117,1.0,1.8774269060508915,2.9002597147715665,0.016,0.16,38.0,7.1475554719991905,0.040496009481636036,0.2131792585228338,0.1773808121373439,0.38308457711442784,0.38871742842195683,False
Achilles-10252013,Achilles,35,excitatory,lCA1,76,0.36984680935131875,0.08911994954955647,3.2676190834372982,0.5483429496997785,117,-1.0,0.8814520519325343,2.2022493874552014,0.624,0.44800000000000006,39.0,12.566370614359172,3.0604991107366666,0.21853174670911268,0.1493078063616855,0.31343283582089554,0.3549769066522213,False
Achilles-10252013,Achilles,36,excitatory,lCA1,198,0.9635482664679094,0.06089549506299415,3.052820499042735,0.4804351209490407,117,-1.0,0.774548062963478,4.581090294596817,1.584,0.19200000000000017,53.0,-3.51405761552115,3.1152567540252947,0.11407519723404136,0.441436716178885,0.527363184079602,0.28702649494226445,True
Achilles-10252013,Achilles,37,excitatory,lCA1,24,0.11679372926883749,0.31085935473131726,4.6795441387361585,0.09757489926958175,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,38,excitatory,lCA1,68,0.33091556626170626,0.326113456533673,4.100734190317173,0.0006250609093625646,117,1.0,0.6452654862130857,1.6314871653995882,0.944,0.544,27.0,-4.507297514004765,5.564625437378921,0.6988748800642756,0.0011211059504936394,0.004975124378109453,0.4029293682751911,False
Achilles-10252013,Achilles,39,excitatory,lCA1,526,2.5597292331420216,0.28650815882281305,4.184771535387665,7.339435622515104e-20,117,-1.0,1.07072229416514,9.394107411316195,0.688,0.672,243.0,-2.88542476837962,5.568063003457163,0.3080964180987439,2.5426999983313436e-06,0.004975124378109453,0.1310758591471545,True
Achilles-10252013,Achilles,40,inhibitory,lCA1,277,1.3479942919778327,0.558984614662184,4.321645997456911,9.76418551265708e-42,117,1.0,0.20166074675206516,2.7805755415107996,1.584,1.12,76.0,0.4589019784133157,4.226492531567548,0.1378319033285807,0.2271181220794598,0.23880597014925373,0.24730844126677878,False
Achilles-10252013,Achilles,41,excitatory,lCA1,43,0.20925543160666718,0.09581870965452197,5.425561923991369,0.6762894850340672,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,42,excitatory,lCA1,105,0.510972565551164,0.12837110176449887,1.8455505666730492,0.17742722837870492,117,-1.0,0.6109159599258374,2.601535926859946,1.552,0.32000000000000006,45.0,-3.1243052502934017,2.92572972158056,0.2746559200514646,0.05761882385981543,0.1691542288557214,0.3791593527901728,False
Achilles-10252013,Achilles,43,excitatory,lCA1,27,0.13139294542744218,0.3214968983804145,3.2762799273911396,0.06009284908709838,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,44,excitatory,lCA1,14,0.06812967540682187,0.6267964383407211,3.1127288551498267,0.002702738809092479,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,45,excitatory,lCA1,0,0.0,,,,117,,,,,,,,,,,,,False
Achilles-10252013,Achilles,46,excitatory,lCA1,756,3.679002471968381,0.12206438150071072,1.993010854419381,1.2386196587547398e-05,117,1.0,1.5947906093566564,27.66917266990224,0.016,0.28800000000000003,699.0,-3.9792459224058803,3.7695440099231154,0.3207068912589024,0.0,0.004975124378109453,0.07812605344700316,True
Achilles-10252013,Achilles,47,excitatory,lCA1,85,0.41364445782713277,0.2176352985141563,5.343851223779129,0.017414311834130492,117,1.0,0.993599045748005,3.3505431049986503,0.08,0.192,60.0,4.809041280632698,3.2094092194427155,0.1517535664601268,0.2227216824690741,0.3333333333333333,0.2662670050256302,True
Achilles-10252013,Achilles,48,excitatory,lCA1,97,0.47204132246155156,0.25404103574720655,4.1232683219505555,0.0017807227515221516,117,-1.0,0.8472669019850793,2.4430264329610245,0.752,0.48000000000000004,45.0,-2.0682020670956316,4.94822537941576,0.3406762866352868,0.037147208718104174,0.05970149253731343,0.34342486334100575,False
Achilles-10252013,Achilles,49,excitatory,lCA1,190,0.9246170233782969,0.2300425687077773,2.4377585686317516,3.853663443890058e-05,117,1.0,2.2312593701731194,11.891055213582998,0.016,0.128,142.0,-2.1687833226382764,2.880004223257528,0.3216201833101261,0.00020201448093537522,0.004975124378109453,0.15930763415442115,True
Achilles-10252013,Achilles,50,excitatory,lCA1,82,0.3990452416685281,0.2164808778805164,1.8655603456955479,0.020966723175513412,117,1.0,1.090156958429489,3.2022598922932173,0.016,0.128,41.0,-3.840946696034745,1.890868032965902,0.21259964072702264,0.1706826660380938,0.3582089552238806,0.37127205624487286,False
Achilles-10252013,Achilles,51,inhibitory,lCA1,10840,52.75183438642494,0.22309716917147052,1.3093086832122323,5.068080963494718e-238,117,-1.0,0.010476057269022227,62.70856556392811,0.112,1.6,5457.0,-0.23259415344236523,1.3904127792753052,0.0180658203812885,0.18091515265368674,0.1890547263681592,0.0273481991546787,False
Achilles-10252013,Achilles,52,excitatory,lCA1,103,0.5012397547787609,0.2615008481323415,2.7028704605774503,0.0007989088526637702,117,-1.0,1.6479185143005637,4.860027341911054,1.584,0.28800000000000003,72.0,-3.451194330806997,3.7488512728608376,0.4949113946131608,2.2116824919038436e-05,0.004975124378109453,0.26474230089001105,True
