stim_on,signed_contrast,abs_contrast,choice_right,block_right,probability_left,is_mouse_rewarded,gabor_stimulus_side,prev_choice_right,prev_rewarded,prev_stim_right,quiescence_period,wheel_movement_onset_time,feedback_time,block_index,wheel_abs_vel,wheel_range,motion_energy,pupil
697.1866743606972,1.0,1.0,1,0,0.8,True,right,0.0,1.0,0.0,0.4549863557879827,697.3469207626699,697.8242439306978,1,0.034573719523687034,0.0076694488525390625,,
700.6033993207006,-0.0625,0.0625,1,0,0.8,False,left,1.0,1.0,1.0,0.4651442235496877,700.706920762686,700.8591737407008,1,0.022179043515643572,0.0046024322509765625,,
704.5364393107045,-0.25,0.25,0,0,0.8,True,left,1.0,0.0,0.0,0.6652012638672258,704.6739207627049,704.7836812507048,1,0.027011367391460227,0.0076694488525390625,,
707.4863109607074,0.0,0.0,1,0,0.8,False,left,0.0,1.0,0.0,0.6711556864106456,707.6239207627191,707.7701159107078,1,0.002025014744722284,,,
711.4229505907115,-0.0625,0.0625,0,0,0.8,True,left,1.0,0.0,0.0,0.6351035087270187,711.4909207627375,711.6481947307117,1,0.031377981747937156,0.0046024322509765625,,
714.0893839207141,-0.25,0.25,0,0,0.8,True,left,0.0,1.0,0.0,0.41851304316640203,714.1519207627503,714.2952966607143,1,0.0022923115795128977,,,
717.4863441907175,0.0625,0.0625,0,0,0.8,False,right,0.0,1.0,0.0,0.6639986535571899,717.4889207627662,717.7843143907178,1,0.019537784044296132,0.006137847900390625,,
721.986260820722,-0.25,0.25,0,0,0.8,True,left,0.0,0.0,1.0,0.5560808039403312,722.1249207627884,722.2615999507223,1,0.008901718656125013,0.0015354156494140625,,
724.8561404707249,-1.0,1.0,0,0,0.8,True,left,0.0,1.0,0.0,0.5187648655708105,724.9639207628018,725.1174143407251,1,0.058868652597884645,0.007671356201171875,,
727.6528607707277,-0.0625,0.0625,0,0,0.8,True,left,0.0,1.0,0.0,0.47912416404092273,727.9059207628159,728.1502110307282,1,0.03522866751649417,0.007671356201171875,,
731.5695024007316,-1.0,1.0,0,0,0.8,True,left,0.0,1.0,0.0,0.5189175916669901,731.7029207628341,731.8014458707318,1,0.02947225114097819,0.010738372802734375,,
735.3223604107353,-1.0,1.0,0,0,0.8,True,left,0.0,1.0,0.0,0.6143920301229235,735.1489207628506,735.5538372607356,1,0.04919543504227477,0.016872406005859375,,
738.1727420107381,-0.25,0.25,0,0,0.8,True,left,0.0,1.0,0.0,0.48255347238371105,738.2449207628654,738.4461480007385,1,0.04294954644370591,0.010738372802734375,,
742.4058853207424,-0.125,0.125,0,0,0.8,True,left,0.0,1.0,0.0,0.526107689256966,742.3979207628852,742.6248634207426,1,0.028367429926292972,0.009204864501953125,,
745.1026156207452,-0.125,0.125,0,0,0.8,True,left,0.0,1.0,0.0,0.42711892423307907,745.2089207628985,745.4053520107454,1,0.01750180218667083,0.0030670166015625,,
748.8023456107488,0.0625,0.0625,0,0,0.8,False,right,0.0,1.0,0.0,0.607712863906301,748.883920762916,749.0205904507491,1,0.018077890186687,0.006134033203125,,
752.6053652707526,-0.0625,0.0625,0,0,0.8,True,left,0.0,0.0,1.0,0.562011508510144,752.7409207629346,753.0378886807531,1,0.011766607859099167,0.003070831298828125,,
755.4720785707555,-0.0625,0.0625,0,0,0.8,True,left,0.0,1.0,0.0,0.4229698052665254,755.5709207629479,755.7183872707557,1,0.001813767910352908,,,
