stim_on,signed_contrast,abs_contrast,choice_right,block_right,probability_left,is_mouse_rewarded,gabor_stimulus_side,prev_choice_right,prev_rewarded,prev_stim_right,quiescence_period,wheel_movement_onset_time,feedback_time,block_index,wheel_abs_vel,wheel_range,motion_energy,pupil
432.41128788043244,1.0,1.0,1,1,0.2,True,right,0.0,1.0,0.0,0.6527738987025311,432.84498980977423,433.0949861704331,1,0.002326430296525359,,1.484989342590173,13.591956557880621
435.962432730436,0.0625,0.0625,0,1,0.2,False,right,1.0,1.0,1.0,0.42293479197411266,438.3239898097712,438.6984591004387,1,0.005536805461742915,0.0015339851379394531,1.6261109014352162,11.864113160210158
442.4940128404425,0.0625,0.0625,0,1,0.2,False,right,0.0,0.0,1.0,0.48846433458557525,442.75698980976875,443.0871201904431,1,0.000958144028991228,,1.3662015746037166,11.652320028954515
446.995129350447,0.0625,0.0625,1,1,0.2,True,right,0.0,0.0,1.0,0.5789512074491527,447.2749898097662,447.6178337404476,1,0.00047039369012054523,,1.1884109551707904,11.096423877677202
450.36155934045036,-0.125,0.125,0,1,0.2,True,left,1.0,1.0,1.0,0.44350824230754765,452.9609898097631,453.4090212304534,1,0.0011123620389844292,,1.7662934114535649,11.56107247678301
456.2934327604563,0.25,0.25,1,1,0.2,True,right,0.0,1.0,0.0,0.5278438063993562,456.5029898097611,456.95673309045696,1,0.0020509012130787594,,1.745956261952718,14.739344295415018
459.7095244504597,-1.0,1.0,0,1,0.2,True,left,1.0,1.0,1.0,0.4446353846069788,460.42098980975896,460.73358870046076,1,0.0019496056874049828,,2.0893085598945618,12.66495939304635
463.65949608046367,0.125,0.125,1,1,0.2,True,right,0.0,1.0,0.0,0.5920048797630624,463.91598980975704,464.33932809046433,1,0.004134418306057342,0.0015339851379394531,2.3297280396024385,14.2352079564104
467.1939092704672,1.0,1.0,1,1,0.2,True,right,1.0,1.0,1.0,0.47923236392270646,467.40598980975506,467.82637935046785,1,0.003201279820059426,0.0,1.9290200223525364,15.067305648883726
470.6936592604707,1.0,1.0,1,1,0.2,True,right,1.0,1.0,1.0,0.5146078103878482,470.86798980975317,471.1118174404711,1,0.0020818731907638723,,1.6540792907277744,13.13371068106062
473.975264400474,0.0,0.0,1,1,0.2,True,right,1.0,1.0,1.0,0.4046858049176478,476.2199898097502,476.7584527204768,1,0.001208705344615737,0.0,1.8403780112663906,12.511110338222352
479.84184435047985,0.125,0.125,1,1,0.2,True,right,1.0,1.0,1.0,0.6648264160693305,480.10698980974803,480.33529500048036,1,0.003608863728586584,0.0,2.035016010204951,11.872466439136284
