subject,session,regions,epochs,ref_min,alt_min,n_units,n_hd,frac_hd,n_hd_dataset,agreement,median_mvl_hd,median_split_half_r,decode_err_within_deg,decode_frac30_within,decode_err_across_deg,decode_signed_err_across_deg,rotation_med_deg,rotation_iqr_deg,decode_err_across_derotated_deg
A3701,A3701,Postsubiculum,"wake_square,wake_triangle",42.352199983333335,40.24316666666667,102,69,0.6764705882352942,71,0.803921568627451,0.8186175065233142,0.940540243247166,11.174247430183295,0.8822501191800414,39.14047895035576,-37.8958651808966,37.22172873965894,8.250581230314197,13.514484883514879
A3702,A3702,Postsubiculum,"wake_square,wake_triangle",42.538199983333335,40.13166666666667,90,60,0.6666666666666666,61,0.8777777777777778,0.8388324952912969,0.9731802845363944,7.721249470506444,0.9489503816793893,12.643629414407753,-4.989084664287355,3.3200512259335344,11.215330561629207,11.468652765396019
A3703,A3703,Postsubiculum,"wake_square,wake_triangle",40.27679998333333,35.62616666666667,103,63,0.6116504854368932,65,0.8252427184466019,0.7935631741253831,0.948688678757572,8.890986093912938,0.8940607273940607,27.420068205717094,25.700731572280887,-25.377273114166016,10.713160181210217,9.96231636572449
A3705,A3705,Postsubiculum,"wake_square,wake_triangle",43.97819998333333,41.464166666666664,117,63,0.5384615384615384,66,0.8717948717948718,0.772600047087706,0.9648826170712027,8.559594401122498,0.9512343797622677,13.61044183718734,-10.722761838973364,10.236755647404213,7.173263774316299,9.66719926569265
A3706,A3706,Postsubiculum,"wake_square,wake_triangle",40.11239998333333,40.11536666666667,126,88,0.6984126984126984,86,0.9206349206349206,0.7859702517564144,0.974635146715447,6.969329716483952,0.9464375104288336,164.4239750638503,-159.16689884771537,166.2459545662758,10.234918185123632,10.339113391163695
A5505,A5505,Postsubiculum,"wake_square,wake_triangle",30.14999998333333,30.113433333333333,55,24,0.43636363636363634,30,0.8545454545454545,0.6550426119283763,0.9612780142312737,9.917567486333365,0.855935971542908,12.371059128730963,-4.689868774304028,4.560578405686077,7.933927514143543,12.085006255489896
