session,mouse,n_units,n_hd,wake_dur,rem_dur,nrem_dur,r_rem,r_nrem,p_rem,p_nrem,npairs
Mouse17-130128,Mouse17,36,7,8138.0,1168.0,9441.0,0.9454613990437684,0.9520191484512938,0.004975124378109453,0.004975124378109453,21
Mouse17-130125,Mouse17,12,6,8060.0,1862.0,11556.0,0.4265040257225421,0.5488783844572106,0.0945273631840796,0.024875621890547265,10
Mouse20-130514,Mouse20,12,7,6642.0,988.0,7916.0,0.8212224334570271,0.7102826692379834,0.004975124378109453,0.004975124378109453,21
Mouse20-130515,Mouse20,43,7,13460.0,1578.0,12615.0,0.9805731521572082,0.9759239143897963,0.004975124378109453,0.004975124378109453,21
Mouse24-131213,Mouse24,21,4,4631.0,728.0,5357.0,0.9048690524286317,0.41707276428640866,0.07462686567164178,0.16417910447761194,6
Mouse24-131217,Mouse24,32,18,6343.0,1289.0,10551.0,0.895311336176356,0.946183129579982,0.004975124378109453,0.004975124378109453,153
Mouse25-140123,Mouse25,33,13,8670.0,1143.0,11177.0,0.9653373710003631,0.9158384912121311,0.004975124378109453,0.004975124378109453,78
Mouse25-140205,Mouse25,28,14,6442.0,706.0,9770.0,0.8869780214911833,0.9638587412564679,0.004975124378109453,0.004975124378109453,91
Mouse28-140310,Mouse28,45,20,10733.0,960.0,9576.0,0.9259494922008202,0.9186852508806866,0.004975124378109453,0.004975124378109453,171
