session_id,n_blocks,median_block_len,min_run,n_units,n_biased,bias,n_regions,asset_id,path,size_gb
695a6073-eae0-49e0-bb0f-e9e57a9275b9,10,45.5,27,1272,561,0.3412844036697247,4,ff185877-5891-4276-ba18-838f6180b2d5,sub-SWC-043/sub-SWC-043_ses-695a6073-eae0-49e0-bb0f-e9e57a9275b9_desc-processed_behavior+ecephys.nwb,1.392660611
a7eba2cf-427f-4df9-879b-e53e962eae18,668,1.0,1,1032,699,-0.0008554882863911,2,378f1572-6c64-426d-9c5f-fda2b5c2be5b,sub-MFD-08/sub-MFD-08_ses-a7eba2cf-427f-4df9-879b-e53e962eae18_desc-processed_behavior+ecephys.nwb,1.432511239
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,12,39.0,21,1438,582,0.2933884297520661,6,07afb7ec-b2ce-437b-b33a-6d6755a9c93e,sub-CSH-ZAD-019/sub-CSH-ZAD-019_ses-5adab0b7-dfd0-467d-b09d-43cb7ca5d59c_desc-processed_behavior+ecephys.nwb,1.486698862
9eec761e-9762-4897-b308-a3a08c311e69,16,34.5,20,1102,654,0.3395445134575569,3,cd24bcc6-91d4-4986-b490-8c56b76ee7c6,sub-DY-020/sub-DY-020_ses-9eec761e-9762-4897-b308-a3a08c311e69_desc-processed_behavior+ecephys.nwb,1.554821951
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,5,73.0,30,1170,346,0.5938616775278537,4,1de74522-ff3e-443f-9774-43af6341311e,sub-NYU-45/sub-NYU-45_ses-5bcafa14-71cb-42fa-8265-ce5cda1b89e0_desc-processed_behavior+ecephys.nwb,1.60844675
7939711b-8b4d-4251-b698-b97c1eaa846e,20,43.0,20,1052,929,0.2728207044753807,2,b816bcd5-0cbc-4b6d-879e-0c3cdf13d8a7,sub-CSHL045/sub-CSHL045_ses-7939711b-8b4d-4251-b698-b97c1eaa846e_desc-processed_behavior+ecephys.nwb,1.693422231
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,10,56.0,22,1934,546,0.1382067390062822,3,4ffe4a8c-1f3d-4997-8fe3-055afd433315,sub-CSH-ZAD-025/sub-CSH-ZAD-025_ses-20c112a1-8a42-44e0-a4cd-e5b932f7bda9_desc-processed_behavior+ecephys.nwb,1.752132527
1191f865-b10a-45c8-9c48-24a980fd9402,16,56.0,25,1605,875,0.3880918220946915,8,ab359d13-4f4d-4c4e-9a5a-91c599f03742,sub-CSHL060/sub-CSHL060_ses-1191f865-b10a-45c8-9c48-24a980fd9402_desc-processed_behavior+ecephys.nwb,1.911153218
746d1902-fa59-4cab-b0aa-013be36060d5,11,44.0,8,1980,570,0.3292207107455447,5,2a95ae6f-193c-4a16-88b1-5d8009e5c1c5,sub-ZFM-01592/sub-ZFM-01592_ses-746d1902-fa59-4cab-b0aa-013be36060d5_desc-processed_behavior+ecephys.nwb,2.09258236
8c025071-c4f3-426c-9aed-f149e8f75b7b,9,44.0,27,1465,441,0.322869101978691,2,d00498aa-d977-4905-b143-abdb95f0e39f,sub-NYU-65/sub-NYU-65_ses-8c025071-c4f3-426c-9aed-f149e8f75b7b_desc-processed_behavior+ecephys.nwb,2.964499206
