asset_id,path,size_gb,session_id,n_units,n_trials,n_biased,n_zero,n_regions,top_regions,bias,n_blocks,median_block_len
853fe5c8-f916-4d03-9071-5bc535ffa34a,sub-NYU-46/sub-NYU-46_ses-d32876dd-8303-4720-8e7e-20678dc2fd71_desc-processed_behavior+ecephys.nwb,0.454309174,d32876dd-8303-4720-8e7e-20678dc2fd71,488,424,334,34,3,cortex_other:191;somatosens_ctx:190;olfactory:97,0.31296992481203,7,51.0
8a655f1c-88d4-4baa-b5d5-72d5a0df3742,sub-PL031/sub-PL031_ses-c23b4118-db40-4333-af1d-933154b533c6_desc-processed_behavior+ecephys.nwb,0.495463533,c23b4118-db40-4333-af1d-933154b533c6,317,457,367,47,3,other:185;thalamus:98;somatosens_ctx:34,0.0510204081632653,341,1.0
b6f3c78c-3052-4b0e-a198-c18ae4f421ec,sub-PL030/sub-PL030_ses-233617ec-c5cf-4eda-afc8-3b1d94f36d73_desc-processed_behavior+ecephys.nwb,0.526363917,233617ec-c5cf-4eda-afc8-3b1d94f36d73,391,444,354,44,4,thalamus:216;amygdala:84;hippocampus:61;other:30,0.1370799881058578,323,1.0
e90667f5-b785-4037-904b-aed0f4f323ee,sub-DY-010/sub-DY-010_ses-931a70ae-90ee-448e-bedb-9d41f3eda647_desc-processed_behavior+ecephys.nwb,0.541942506,931a70ae-90ee-448e-bedb-9d41f3eda647,698,501,411,53,5,thalamus:240;cortex_other:169;other:136;hippocampus:125;hypothalamus:22,0.5238095238095237,9,31.0
84fdb807-6d2d-4a7a-b83a-aca7167dc5d0,sub-DY-018/sub-DY-018_ses-cde63527-7f5a-4cc3-8ac2-215d82e7da26_desc-processed_behavior+ecephys.nwb,0.587665568,cde63527-7f5a-4cc3-8ac2-215d82e7da26,829,508,418,47,3,hippocampus:474;somatosens_ctx:312;cortex_other:42,0.058681185722928,11,34.0
9c5c7ce7-51b8-4c1b-b54e-c6ff0ffda07d,sub-PL033/sub-PL033_ses-2ab7d2c2-bcb7-4ae6-9626-f3786c22d970_desc-processed_behavior+ecephys.nwb,0.613305129,2ab7d2c2-bcb7-4ae6-9626-f3786c22d970,357,591,501,55,3,thalamus:152;amygdala:122;other:76,-0.0481927710843373,459,1.0
ea183595-cbfd-4e41-aa1f-3950debad048,sub-UCLA011/sub-UCLA011_ses-824cf03d-4012-4ab1-b499-c83a92c5589e_desc-processed_behavior+ecephys.nwb,0.631742761,824cf03d-4012-4ab1-b499-c83a92c5589e,530,764,674,81,5,thalamus:237;hippocampus:153;cortex_other:74;other:31;hypothalamus:21,0.5170549860205033,13,43.0
8571cb9e-03c3-4c36-a890-1d8fd6d2d397,sub-DY-010/sub-DY-010_ses-02fbb6da-3034-47d6-a61b-7d06c796a830_desc-processed_behavior+ecephys.nwb,0.656264187,02fbb6da-3034-47d6-a61b-7d06c796a830,669,646,556,52,4,thalamus:339;hippocampus:166;cortex_other:129;other:32,0.4293659621802002,12,39.0
105f598f-94be-4803-ab41-b3100f374f60,sub-PL037/sub-PL037_ses-7eeb8423-49e6-4d40-ab6f-703d17af231a_desc-processed_behavior+ecephys.nwb,0.686630351,7eeb8423-49e6-4d40-ab6f-703d17af231a,692,632,542,69,3,midbrain:438;other:192;hippocampus:57,0.0421951219512195,494,1.0
4de0bb49-1766-4e37-97b7-7f80c07a376f,sub-CSH-ZAD-025/sub-CSH-ZAD-025_ses-ff48aa1d-ef30-4903-ac34-8c41b738c1b9_desc-processed_behavior+ecephys.nwb,0.712157082,ff48aa1d-ef30-4903-ac34-8c41b738c1b9,817,945,855,107,2,cortex_other:422;somatosens_ctx:392,0.5204291044776119,17,42.0
671c8f87-dcf8-45c3-a43e-6e2bf730b770,sub-NR-0027/sub-NR-0027_ses-195443eb-08e9-4a18-a7e1-d105b2ce1429_desc-processed_behavior+ecephys.nwb,0.732611332,195443eb-08e9-4a18-a7e1-d105b2ce1429,234,1037,947,113,2,midbrain:211;other:16,0.2857309941520468,18,50.0
801c00e6-74fe-4970-bb42-a2edd35a0d08,sub-PL030/sub-PL030_ses-500a71dd-8768-4211-a1fe-1fafc9fcbf29_desc-processed_behavior+ecephys.nwb,0.7611707,500a71dd-8768-4211-a1fe-1fafc9fcbf29,623,408,318,41,4,thalamus:366;other:168;hippocampus:67;hypothalamus:22,0.1485009806668534,255,1.0
633c5612-5906-491d-bd3c-4589a03c83e8,sub-KS023/sub-KS023_ses-a92c4b1d-46bd-457e-a1f4-414265f0e2d4_desc-processed_behavior+ecephys.nwb,0.794902788,a92c4b1d-46bd-457e-a1f4-414265f0e2d4,786,800,710,89,6,other:287;midbrain:244;frontal_ctx:130;motor_ctx:69;hippocampus:43;thalamus:11,0.4933259176863181,12,61.5
e043a82d-a523-482e-954f-bf5e13b82c1f,sub-ZFM-01936/sub-ZFM-01936_ses-d0ea3148-948d-4817-94f8-dcaf2342bbbe_desc-processed_behavior+ecephys.nwb,0.834111013,d0ea3148-948d-4817-94f8-dcaf2342bbbe,597,560,470,55,4,thalamus:400;hippocampus:107;other:77;midbrain:10,0.2996732026143791,12,34.5
08a5b439-3f20-45ff-8282-1b41274528c8,sub-CSH-ZAD-022/sub-CSH-ZAD-022_ses-8db36de1-8f17-4446-b527-b5d91909b45a_desc-processed_behavior+ecephys.nwb,0.855648906,8db36de1-8f17-4446-b527-b5d91909b45a,1028,1440,1350,148,2,other:855;hindbrain:173,0.3973893095677946,31,38.0
2f41f1bb-4a43-403c-bbd1-1f378bb62319,sub-CSH-ZAD-022/sub-CSH-ZAD-022_ses-90e74228-fd1a-482f-bd56-05dbad132861_desc-processed_behavior+ecephys.nwb,0.874701852,90e74228-fd1a-482f-bd56-05dbad132861,569,971,881,94,4,midbrain:214;other:150;hypothalamus:118;thalamus:83,0.2227012987012987,20,37.0
081f6eda-1355-4d14-ac76-441a5f59b472,sub-ibl-witten-18/sub-ibl-witten-18_ses-25f77e81-c1af-46ab-8686-73ac3d67c4a7_desc-processed_behavior+ecephys.nwb,0.899858579,25f77e81-c1af-46ab-8686-73ac3d67c4a7,739,1014,924,112,5,striatum:265;somatosens_ctx:199;olfactory:191;amygdala:63;other:21,0.2325621546961326,17,51.0
19f704e9-5ce9-4ded-b856-2106c80f9a79,sub-PL037/sub-PL037_ses-fd03d365-91df-41e2-ad81-9e0e4b9f5c7b_desc-processed_behavior+ecephys.nwb,0.917886788,fd03d365-91df-41e2-ad81-9e0e4b9f5c7b,806,601,511,68,5,midbrain:602;other:106;hippocampus:47;hindbrain:30;unknown:13,0.0641724793912491,480,1.0
6429ccee-e7b8-470e-a84d-d74df1fcf773,sub-KS055/sub-KS055_ses-872ce8ff-9fb3-485c-be00-bc5479e0095b_desc-processed_behavior+ecephys.nwb,0.94347774,872ce8ff-9fb3-485c-be00-bc5479e0095b,1623,443,353,37,4,hippocampus:1040;cortex_other:452;visual_ctx:104;other:27,0.3928571428571428,9,33.0
6dfaad1f-848f-4878-9559-111a67cdbb4f,sub-ZFM-01936/sub-ZFM-01936_ses-2c44a360-5a56-4971-8009-f469fb59de98_desc-processed_behavior+ecephys.nwb,0.954443886,2c44a360-5a56-4971-8009-f469fb59de98,1018,602,512,57,8,striatum:265;frontal_ctx:221;thalamus:167;other:156;motor_ctx:103;hippocampus:56;olfactory:29;cortex_other:19,0.3619160260201065,12,33.5
54a0a5cd-c058-482e-9508-863d9bb6a2ee,sub-UCLA033/sub-UCLA033_ses-32d27583-56aa-4510-bc03-669036edad20_desc-processed_behavior+ecephys.nwb,0.975429892,32d27583-56aa-4510-bc03-669036edad20,1034,785,695,93,2,other:974;hindbrain:60,0.5773809523809523,14,42.5
1051bb7b-30b7-43a4-a310-79ec498d6cfb,sub-ZFM-01935/sub-ZFM-01935_ses-71e03be6-b497-4991-a121-9416dcc1a6e7_desc-processed_behavior+ecephys.nwb,1.001054953,71e03be6-b497-4991-a121-9416dcc1a6e7,490,817,727,90,4,thalamus:214;other:205;hypothalamus:52;cortex_other:16,0.3808011407829919,17,35.0
c5ed4631-c501-4249-a16b-0aaa0e6eba39,sub-UCLA044/sub-UCLA044_ses-23c75e0b-05d8-452e-8efb-a3687ab94079_desc-processed_behavior+ecephys.nwb,1.017567968,23c75e0b-05d8-452e-8efb-a3687ab94079,511,562,472,55,2,other:488;unknown:16,0.142156862745098,12,34.5
a71e28e2-1514-4db2-93de-db9fe67c468c,sub-CSHL045/sub-CSHL045_ses-dfd8e7df-dc51-4589-b6ca-7baccfeb94b4_desc-processed_behavior+ecephys.nwb,1.047573396,dfd8e7df-dc51-4589-b6ca-7baccfeb94b4,540,528,438,43,3,other:217;thalamus:199;amygdala:121,0.3742647058823529,9,51.0
524f6c2f-05af-4735-be50-325f3fce6ab2,sub-CSHL052/sub-CSHL052_ses-83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4_desc-processed_behavior+ecephys.nwb,1.070851644,83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,853,907,817,94,7,hippocampus:448;thalamus:210;olfactory:81;hypothalamus:46;other:42;cortex_other:14;visual_ctx:12,0.4912328767123288,14,54.0
2e3f74d0-75f8-47cf-b3b0-2d4e7a5c0e7d,sub-DY-014/sub-DY-014_ses-bd456d8f-d36e-434a-8051-ff3997253802_desc-processed_behavior+ecephys.nwb,1.098887451,bd456d8f-d36e-434a-8051-ff3997253802,943,630,540,55,5,striatum:352;thalamus:276;motor_ctx:170;other:91;cortex_other:53,0.4746384631987912,9,64.0
4e8334a0-8dac-4b32-a61b-7ead4901b5d1,sub-UCLA012/sub-UCLA012_ses-1f095590-6669-46c9-986b-ccaf0620c5e9_desc-processed_behavior+ecephys.nwb,1.115523476,1f095590-6669-46c9-986b-ccaf0620c5e9,1016,719,629,76,3,hippocampus:557;thalamus:340;other:119,0.415575221238938,11,61.0
988fee95-28e5-44af-85cd-c502f853d52c,sub-PL017/sub-PL017_ses-d71e565d-4ddb-42df-849e-f99cfdeced52_desc-processed_behavior+ecephys.nwb,1.150724644,d71e565d-4ddb-42df-849e-f99cfdeced52,1126,600,510,49,4,other:810;hindbrain:247;unknown:37;thalamus:23,0.278216313529982,11,44.0
ab00e1e8-2252-4f91-9417-f695880b74b6,sub-DY-016/sub-DY-016_ses-aa20388b-9ea3-4506-92f1-3c2be84b85db_desc-processed_behavior+ecephys.nwb,1.176045393,aa20388b-9ea3-4506-92f1-3c2be84b85db,982,519,429,49,4,midbrain:427;striatum:324;olfactory:116;other:115,0.0806451612903226,11,34.0
a9d69643-5a2f-4931-a76b-42d722eadaec,sub-ZFM-02372/sub-ZFM-02372_ses-88224abb-5746-431f-9c17-17d7ef806e6a_desc-processed_behavior+ecephys.nwb,1.212777413,88224abb-5746-431f-9c17-17d7ef806e6a,979,452,362,44,5,midbrain:322;thalamus:309;other:184;hippocampus:131;hypothalamus:27,0.5547169811320756,8,42.5
729d63fd-6ae3-4517-a46a-97774855e3a7,sub-DY-020/sub-DY-020_ses-26aa51ff-968c-42e4-85c8-8ff47d19254d_desc-processed_behavior+ecephys.nwb,1.247410489,26aa51ff-968c-42e4-85c8-8ff47d19254d,1413,534,444,43,5,hindbrain:612;midbrain:352;other:247;cortex_other:184;unknown:18,0.3225974025974026,9,53.0
178edc7b-3c87-4826-83fe-ba5da207f359,sub-ZM-2245/sub-ZM-2245_ses-cb2ad999-a6cb-42ff-bf71-1774c57e5308_desc-processed_behavior+ecephys.nwb,1.298213175,cb2ad999-a6cb-42ff-bf71-1774c57e5308,1102,872,782,94,6,thalamus:353;other:308;motor_ctx:204;hippocampus:135;midbrain:55;hypothalamus:43,0.5419000933706817,14,56.0
8e67b62f-7174-43f0-9fef-e04aed98603e,sub-CSHL052/sub-CSHL052_ses-5386aba9-9b97-4557-abcd-abc2da66b863_desc-processed_behavior+ecephys.nwb,1.323623186,5386aba9-9b97-4557-abcd-abc2da66b863,969,1011,921,111,3,thalamus:594;hippocampus:295;other:75,0.5882448647549319,17,51.0
5f968fba-4a9f-496c-83a3-cc7e0343519a,sub-MFD-07/sub-MFD-07_ses-c46b8def-620d-4d70-9397-be5694255f73_desc-processed_behavior+ecephys.nwb,1.372015752,c46b8def-620d-4d70-9397-be5694255f73,702,720,630,79,2,midbrain:373;other:323,0.0569280343716434,598,1.0
ff185877-5891-4276-ba18-838f6180b2d5,sub-SWC-043/sub-SWC-043_ses-695a6073-eae0-49e0-bb0f-e9e57a9275b9_desc-processed_behavior+ecephys.nwb,1.392660611,695a6073-eae0-49e0-bb0f-e9e57a9275b9,1272,651,561,75,4,hippocampus:609;cortex_other:336;amygdala:174;other:152,0.3412844036697247,10,45.5
378f1572-6c64-426d-9c5f-fda2b5c2be5b,sub-MFD-08/sub-MFD-08_ses-a7eba2cf-427f-4df9-879b-e53e962eae18_desc-processed_behavior+ecephys.nwb,1.432511239,a7eba2cf-427f-4df9-879b-e53e962eae18,1032,789,699,93,2,other:1016;hindbrain:16,-0.0008554882863911,668,1.0
07afb7ec-b2ce-437b-b33a-6d6755a9c93e,sub-CSH-ZAD-019/sub-CSH-ZAD-019_ses-5adab0b7-dfd0-467d-b09d-43cb7ca5d59c_desc-processed_behavior+ecephys.nwb,1.486698862,5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,1438,672,582,72,6,thalamus:700;motor_ctx:343;other:165;hippocampus:159;hypothalamus:53;hindbrain:12,0.2933884297520661,12,39.0
cd24bcc6-91d4-4986-b490-8c56b76ee7c6,sub-DY-020/sub-DY-020_ses-9eec761e-9762-4897-b308-a3a08c311e69_desc-processed_behavior+ecephys.nwb,1.554821951,9eec761e-9762-4897-b308-a3a08c311e69,1102,744,654,80,3,midbrain:550;other:493;hippocampus:54,0.3395445134575569,16,34.5
1de74522-ff3e-443f-9774-43af6341311e,sub-NYU-45/sub-NYU-45_ses-5bcafa14-71cb-42fa-8265-ce5cda1b89e0_desc-processed_behavior+ecephys.nwb,1.60844675,5bcafa14-71cb-42fa-8265-ce5cda1b89e0,1170,436,346,43,4,other:695;hindbrain:248;midbrain:182;unknown:45,0.5938616775278537,5,73.0
b816bcd5-0cbc-4b6d-879e-0c3cdf13d8a7,sub-CSHL045/sub-CSHL045_ses-7939711b-8b4d-4251-b698-b97c1eaa846e_desc-processed_behavior+ecephys.nwb,1.693422231,7939711b-8b4d-4251-b698-b97c1eaa846e,1052,1019,929,97,2,other:901;hindbrain:151,0.2728207044753807,20,43.0
4ffe4a8c-1f3d-4997-8fe3-055afd433315,sub-CSH-ZAD-025/sub-CSH-ZAD-025_ses-20c112a1-8a42-44e0-a4cd-e5b932f7bda9_desc-processed_behavior+ecephys.nwb,1.752132527,20c112a1-8a42-44e0-a4cd-e5b932f7bda9,1934,636,546,63,3,other:1787;hindbrain:122;unknown:25,0.1382067390062822,10,56.0
ab359d13-4f4d-4c4e-9a5a-91c599f03742,sub-CSHL060/sub-CSHL060_ses-1191f865-b10a-45c8-9c48-24a980fd9402_desc-processed_behavior+ecephys.nwb,1.911153218,1191f865-b10a-45c8-9c48-24a980fd9402,1605,966,875,104,8,other:718;frontal_ctx:469;cortex_other:127;olfactory:115;hindbrain:109;striatum:28;motor_ctx:27;unknown:12,0.3880918220946915,16,56.0
2a95ae6f-193c-4a16-88b1-5d8009e5c1c5,sub-ZFM-01592/sub-ZFM-01592_ses-746d1902-fa59-4cab-b0aa-013be36060d5_desc-processed_behavior+ecephys.nwb,2.09258236,746d1902-fa59-4cab-b0aa-013be36060d5,1980,660,570,77,5,other:1067;thalamus:687;hippocampus:145;hindbrain:51;hypothalamus:30,0.3292207107455447,11,44.0
d00498aa-d977-4905-b143-abdb95f0e39f,sub-NYU-65/sub-NYU-65_ses-8c025071-c4f3-426c-9aed-f149e8f75b7b_desc-processed_behavior+ecephys.nwb,2.964499206,8c025071-c4f3-426c-9aed-f149e8f75b7b,1465,531,441,49,2,other:1445;unknown:20,0.322869101978691,9,44.0
