asset_id,path,size
4a9e1f83-9132-4aff-b36b-01bb8a2c9e4f,sub-DY-009/sub-DY-009_ses-db4df448-e449-4a6f-a0e7-288711e7a75a_desc-processed_behavior+ecephys.nwb,487811289
42ad43a2-3913-492d-bd1f-51c5cd7b5375,sub-KS096/sub-KS096_ses-a2701b93-d8e1-47e9-a819-f1063046f3e7_desc-processed_behavior+ecephys.nwb,492845223
8a655f1c-88d4-4baa-b5d5-72d5a0df3742,sub-PL031/sub-PL031_ses-c23b4118-db40-4333-af1d-933154b533c6_desc-processed_behavior+ecephys.nwb,495463533
b050ea83-5007-4e81-a990-c0dc1839f0ff,sub-DY-009/sub-DY-009_ses-30e5937e-e86a-47e6-93ae-d2ae3877ff8e_desc-processed_behavior+ecephys.nwb,499039595
5898be11-4f75-4d38-970a-a5627ff40dfa,sub-DY-013/sub-DY-013_ses-9a629642-3a9c-42ed-b70a-532db0e86199_desc-processed_behavior+ecephys.nwb,501344234
161e8276-c26c-44d8-90a7-99dfc342c5fb,sub-NYU-46/sub-NYU-46_ses-6434f2f5-6bce-42b8-8563-d93d493613a2_desc-processed_behavior+ecephys.nwb,505818302
0032161b-d403-46e1-bb2d-d251326a4552,sub-NR-0031/sub-NR-0031_ses-caa5dddc-9290-4e27-9f5e-575ba3598614_desc-processed_behavior+ecephys.nwb,512482150
392b560a-4d2c-4daf-84a8-19f8f95b8856,sub-PL035/sub-PL035_ses-5437ec1f-6535-470c-80b8-4c8806ee085d_desc-processed_behavior+ecephys.nwb,513798620
02a64be5-ab2d-455a-9074-610fb11debeb,sub-NYU-30/sub-NYU-30_ses-5569f363-0934-464e-9a5b-77c8e67791a1_desc-processed_behavior+ecephys.nwb,515840906
24ec2f04-83df-4f6c-a5cb-cb775e0b1657,sub-KS051/sub-KS051_ses-4503697e-af44-47d9-898d-4924be990240_desc-processed_behavior+ecephys.nwb,515946191
24275b91-593a-49c1-bd18-cc9aba8a96c6,sub-KS051/sub-KS051_ses-7082d8ff-255a-47d7-a839-bf093483ec30_desc-processed_behavior+ecephys.nwb,518555308
9c6bc203-47cb-4adc-82ec-2b067df405ea,sub-DY-009/sub-DY-009_ses-413a6825-2144-4a50-b3fc-cf38ddd6fd1a_desc-processed_behavior+ecephys.nwb,523576217
b6f3c78c-3052-4b0e-a198-c18ae4f421ec,sub-PL030/sub-PL030_ses-233617ec-c5cf-4eda-afc8-3b1d94f36d73_desc-processed_behavior+ecephys.nwb,526363917
196aa923-79c8-4524-a1b2-344fc30d8cb2,sub-NYU-46/sub-NYU-46_ses-64e3fb86-928c-4079-865c-b364205b502e_desc-processed_behavior+ecephys.nwb,527169852
c6bfe1cf-21ba-474f-89b6-0a7ddaa95dbb,sub-UCLA015/sub-UCLA015_ses-0c828385-6dd6-4842-a702-c5075f5f5e81_desc-processed_behavior+ecephys.nwb,534111357
452fe9eb-625f-43ac-85d2-7c63fd194a81,sub-ZFM-01936/sub-ZFM-01936_ses-3f6e25ae-c007-4dc3-aa77-450fd5705046_desc-processed_behavior+ecephys.nwb,535915168
882ca278-4d90-4e39-92a9-54c96fd2347c,sub-PL024/sub-PL024_ses-30af8629-7b96-45b7-8778-374720ddbc5e_desc-processed_behavior+ecephys.nwb,539929784
13e608eb-6ef0-48f5-a2b6-3754dc961f56,sub-PL034/sub-PL034_ses-6cbeead9-bb7a-40e1-8ccd-47ae60239654_desc-processed_behavior+ecephys.nwb,540573758
fc8a38b4-42d7-4483-ba0f-bc2bee31a433,sub-KS094/sub-KS094_ses-c8d46ee6-eb68-4535-8756-7c9aa32f10e4_desc-processed_behavior+ecephys.nwb,540711951
ecd5dc4b-9e09-4602-a25a-f9ceb2781610,sub-DY-010/sub-DY-010_ses-4fa70097-8101-4f10-b585-db39429c5ed0_desc-processed_behavior+ecephys.nwb,540933206
e6b744f6-dad7-4185-9603-f5a1895cf1ad,sub-DY-009/sub-DY-009_ses-3c851386-e92d-4533-8d55-89a46f0e7384_desc-processed_behavior+ecephys.nwb,541489746
14013a48-0963-45e2-9013-06ed24fe8504,sub-DY-009/sub-DY-009_ses-a19c7a3a-7261-42ce-95d5-1f4ca46007ed_desc-processed_behavior+ecephys.nwb,541512675
e90667f5-b785-4037-904b-aed0f4f323ee,sub-DY-010/sub-DY-010_ses-931a70ae-90ee-448e-bedb-9d41f3eda647_desc-processed_behavior+ecephys.nwb,541942506
812906bc-2539-482c-a44f-4e4f2e293260,sub-DY-011/sub-DY-011_ses-741979ce-3f10-443a-8526-2275620c8473_desc-processed_behavior+ecephys.nwb,544551252
ea6b40f4-bc44-4ff3-8e16-54ddbf1a0361,sub-PL015/sub-PL015_ses-9a6e127b-bb07-4be2-92e2-53dd858c2762_desc-processed_behavior+ecephys.nwb,545978173
53159db7-34ee-4567-b762-055c877ab7dd,sub-SWC-043/sub-SWC-043_ses-88d24c31-52e4-49cc-9f32-6adbeb9eba87_desc-processed_behavior+ecephys.nwb,549323739
b0de82ba-79da-4e4b-89a8-d3a7bef50719,sub-NYU-30/sub-NYU-30_ses-77e6dc6a-66ed-433c-b1a2-778c914f523c_desc-processed_behavior+ecephys.nwb,550415365
c9cf3c09-94a0-4251-92c5-9593c29d05f2,sub-UCLA037/sub-UCLA037_ses-8d316998-28c3-4265-b029-e2ca82375b2f_desc-processed_behavior+ecephys.nwb,552875372
