session,unit,n_spikes,rate,mrl,mrl_unbiased,pref_phase,rayleigh_z,rayleigh_p,mrl_null_mean,mrl_null_p95,mrl_z,shuffle_p,burst,cell_type,mrl_cooled,pref_phase_cooled,n_spikes_cooled,rate_cooled,mrl_null_cooled,shuffle_p_cooled
Peter-MS21-180628-155921-concat,36,3498,2.7691105089426022,0.03886046875989326,0.03499440635382801,4.841026942155345,5.282455840770763,0.0050736437593876344,0.016090922096476078,0.030881293573731275,2.7555695763207253,0.009950248756218905,1.9074074074074077,pyramidal,0.1452967875780846,4.949931353761164,417.0,1.6917604369853723,0.046900201718897236,0.009950248756218905
Peter-MS21-180628-155921-concat,135,4729,3.743603086560768,0.0576645434165556,0.055806782246201066,4.109138415011559,15.724868754422937,1.4649145412771305e-07,0.016471576335792357,0.030805528279480895,5.10303597019565,0.004975124378109453,1.9012345679012346,pyramidal,0.19886787210576432,4.630234497098728,756.0,3.0670764756857105,0.037774635249918156,0.004975124378109453
Peter-MS21-180628-155921-concat,192,685,0.5422643506648607,0.09542504464097974,0.08750579190640352,4.815224376801267,6.237568314142089,0.0019357495441522684,0.04655300421644748,0.08789868114080363,2.195082235126403,0.024875621890547265,9.777777777777777,pyramidal,,,,,,
Peter-MS21-180628-155921-concat,1305,2340,1.8524066869427356,0.08635289913692734,0.08385987177739389,5.93819918175343,17.44896626308449,2.567155818379088e-08,0.025169606070933125,0.05215419523798942,4.382148721065521,0.004975124378109453,3.8289085545722714,pyramidal,0.10694466188398724,5.474112712728479,244.0,0.9899029895070284,0.0641410129478696,0.11940298507462686
Peter-MS21-180628-155921-concat,1317,1389,1.0995696103262649,0.02978713084580903,0.012940298092389155,5.078408875314614,1.232422424831208,0.2916350498545588,0.024314461967762577,0.045069763060634274,0.4402163813746174,0.30845771144278605,2.880952380952381,pyramidal,,,,,,
Peter-MS21-180628-155921-concat,1323,1008,0.7979598036061015,0.09914411113220903,0.09405459764945241,3.920055982878527,9.908191210373381,4.880259668492298e-05,0.034560278242442594,0.0677044831184077,3.761210246049263,0.004975124378109453,3.384615384615385,pyramidal,0.2644995411072346,3.61499491159539,201.0,0.8154528725037405,0.07833334931468178,0.004975124378109453
Peter-MS21-180628-155921-concat,1329,826,0.6538837279549998,0.12202238466276975,0.117027300147572,5.757343632499133,12.29869590835967,4.384916092559296e-06,0.041253700408716606,0.08708685598463276,3.4636941217902595,0.004975124378109453,7.333333333333335,pyramidal,0.013205058896542518,6.130224232856066,328.0,1.3306892645832185,0.07671089855118611,0.9850746268656716
Peter-MS21-180628-155921-concat,1342,2504,1.9822334803865855,0.0534130513563506,0.04954365038763274,3.095308420494682,7.14379695421115,0.0007868513747441486,0.020120265576344255,0.03838547959871943,3.266119100890011,0.009950248756218905,2.6147540983606556,pyramidal,0.1032145892944191,3.3545899480096586,634.0,2.5721249809321964,0.040940431993336864,0.004975124378109453
Peter-MS21-180628-155921-concat,1344,2021,1.5998777411586618,0.061906244821654896,0.05778607844756673,1.9157460964653055,7.7452463419436395,0.00043041446854747675,0.02191879742379961,0.04170116846197791,3.5700278311477582,0.004975124378109453,2.4444444444444446,pyramidal,0.18531152285393374,4.120467156699412,356.0,1.444284689608615,0.05831126086384122,0.004975124378109453
Peter-MS21-180628-155921-concat,1356,2464,1.950568408814915,0.08378962155850879,0.08134827727683201,4.784863184801555,17.29900647778225,2.988346130998492e-08,0.020762397103283516,0.03932297500282309,5.626439962885654,0.004975124378109453,2.0766961651917404,pyramidal,0.14442670885165618,4.765072643633003,719.0,2.9169682354735795,0.04604553240152822,0.004975124378109453
