session,unit,n_cooled,n_normal,rate_cooled,rate_normal,mrl_cooled_matched,mrl_normal_matched,mrl_cooled,mrl_normal,pref_cooled,pref_normal,rayleigh_p_cooled
Peter-MS21-180628-155921-concat,36,417,3498,1.6917604369853723,2.7691105089426022,0.14529678757808462,0.0762557255141104,0.1452967875780846,0.03886046875989326,4.949931353761164,4.841026942155345,0.0001448710821465368
Peter-MS21-180628-155921-concat,135,756,4729,3.0670764756857105,3.743603086560768,0.20076774328596336,0.08653532672419181,0.19886787210576432,0.0576645434165556,4.630234497098728,4.109138415011559,7.83159273554853e-14
Peter-MS21-180628-155921-concat,1305,244,2340,0.9899029895070284,1.8524066869427356,0.10694466188398724,0.11441852552866902,0.10694466188398724,0.08635289913692734,5.474112712728479,5.93819918175343,0.06124096284135942
Peter-MS21-180628-155921-concat,1323,201,1008,0.8154528725037405,0.7979598036061015,0.25871067763504285,0.11256389256579495,0.2644995411072346,0.09914411113220903,3.61499491159539,3.920055982878527,6.278604238098914e-07
Peter-MS21-180628-155921-concat,1329,328,826,1.3306892645832185,0.6538837279549998,0.04339286126846222,0.15567717442016812,0.013205058896542518,0.12202238466276975,6.130224232856066,5.757343632499133,0.9444902875014554
Peter-MS21-180628-155921-concat,1342,634,2504,2.5721249809321964,1.9822334803865855,0.10923382672191692,0.076226138632625,0.1032145892944191,0.0534130513563506,3.3545899480096586,3.095308420494682,0.0011512651379113543
Peter-MS21-180628-155921-concat,1344,356,2021,1.444284689608615,1.5998777411586618,0.1849058903802989,0.07417041406774924,0.18531152285393374,0.061906244821654896,4.120467156699412,1.9157460964653055,4.485776683041407e-06
Peter-MS21-180628-155921-concat,1356,719,2464,2.9169682354735795,1.950568408814915,0.14459301498649443,0.11577297671760611,0.14442670885165618,0.08378962155850879,4.765072643633003,4.784863184801555,2.863024181362393e-07
Peter-MS21-180628-155921-concat,1364,391,1061,1.5862789708903609,0.8399160234385652,0.13794605935144888,0.0876185297484552,0.13306784304518474,0.05361178803965121,5.346544672090274,4.762604268822176,0.0009630017714389356
Peter-MS21-180628-155921-concat,1382,5238,31736,21.250458438679566,25.123067784963528,0.21037626971949494,0.1219836939265105,0.210376269719495,0.09067678092583753,3.2858554455312405,3.54311277995187,3.400893159114226e-101
Peter-MS21-180628-155921-concat,1392,564,3234,2.2881364183687047,2.560121036569576,0.12740934118724132,0.07935831056044393,0.12983864687121893,0.028719047903037698,4.062770998335943,5.216605338385129,7.192525827730524e-05
Peter-MS21-180628-155921-concat,1393,205,994,0.8316807903645115,0.7868770285560168,0.09457951099374082,0.1303933089657468,0.09228738650756846,0.10968852611852051,5.735535223431944,4.387463994388309,0.1745693580025276
Peter-MS21-180628-155921-concat,1395,418,2566,1.6958174164505648,2.031314341322675,0.31125184059200695,0.21070100256930155,0.31125184059200695,0.13100876874836384,3.0767180944254817,3.2307301879994155,1.1722594139614855e-18
Peter-MS21-180628-155921-concat,1433,212,1380,0.8600796466208607,1.092444969222639,0.06232618620231822,0.07676881062357047,0.0622146273138658,0.06651313510414221,5.803517504212103,5.372705977724174,0.4406797568372383
Peter-MS21-180628-155921-concat,1450,590,2204,2.393617884463716,1.7447454435990553,0.048756656024644004,0.04084997167441329,0.03975210067060387,0.026891982484967793,3.158210749722642,5.5827197569806035,0.3937995186514104
Peter-MS21-180628-155921-concat,1459,274,1357,1.1116123734628105,1.0742375530689283,0.24797116223157611,0.06550876346633977,0.24624700295569105,0.04780003983805264,4.166729123350487,4.77339070762583,4.842675140858315e-08
Peter-MS21-180628-155921-concat,1484,831,4275,3.371349935575166,3.3842045242223056,0.08004766526640847,0.07211416144595977,0.08048764968074307,0.029838746435786493,3.437026867251988,4.358255649487254,0.004566842089159646
