unit,d_ll_per_spike,d_ll_sem,ll_full,ll_red,mrl,shuffle_p,cell_type,n_spikes
1958,0.004587211646139622,0.0004439408108833033,-0.8589868545532227,-0.8614051938056946,0.0968526842018917,0.0049751243781094,interneuron,66342
1695,0.006021611858159304,0.0003135246281964223,-0.8408157229423523,-0.8436049222946167,0.1075730638501342,0.0049751243781094,interneuron,58234
1697,0.005032356362789869,0.0004434549634966314,-0.6491384506225586,-0.650653064250946,0.0954718514978377,0.0049751243781094,interneuron,38067
1528,0.009658044204115868,0.0009773135681743679,-0.6284329295158386,-0.6312215328216553,0.1408446264360846,0.0049751243781094,interneuron,36444
1963,0.005231400020420551,0.0006726557589097366,-0.6325317621231079,-0.6340234875679016,0.0830497909602341,0.0049751243781094,interneuron,36273
1588,0.003947719465941191,0.0003911998956407068,-0.6291242837905884,-0.6302526593208313,0.0819446080052284,0.0049751243781094,interneuron,35827
1382,0.004963768646121025,0.000907958489289354,-0.5588471293449402,-0.5600997805595398,0.0906767809258375,0.0049751243781094,interneuron,31736
1954,0.006210401188582182,0.0004945854550049558,-0.5540323257446289,-0.55545973777771,0.0947317054544321,0.0049751243781094,interneuron,28974
1988,0.005081405863165855,0.0012574565449803244,-0.4638127386569977,-0.46467193961143494,0.0762981220674978,0.0049751243781094,interneuron,21504
1711,0.007632780820131302,0.00046654114849091846,-0.3557048439979553,-0.356656014919281,0.0877428673086483,0.0049751243781094,interneuron,15732
1715,0.015465551987290382,0.0018820088831707706,-0.33875733613967896,-0.3403998911380768,0.1486382631417684,0.0049751243781094,interneuron,13487
2077,0.016834305599331856,0.0007288288173365663,-0.27284231781959534,-0.2744506001472473,0.1137810776707707,0.0049751243781094,interneuron,12089
2074,0.0034099980257451534,0.0005763741036376098,-0.23277565836906433,-0.23301856219768524,0.0820484671945582,0.0049751243781094,pyramidal,8878
1987,-0.0008996898541226983,0.0005029917809947074,-0.2142423689365387,-0.2141868621110916,0.0278018577338571,0.0248756218905472,pyramidal,8120
1970,0.0018530547386035323,0.0011800779037132328,-0.19237585365772247,-0.19248266518115997,0.0664881322042933,0.0049751243781094,pyramidal,7836
2057,-0.0005874429480172694,0.0005508551935214822,-0.2028631716966629,-0.2028317004442215,0.0249337352656182,0.0348258706467661,pyramidal,7693
1752,0.03797725960612297,0.005436659329365986,-0.22048231959342957,-0.2227238416671753,0.2192754550579246,0.0049751243781094,pyramidal,7413
1976,0.00037041091127321124,0.000773722636090476,-0.17150568962097168,-0.17152953147888184,0.028750255505915,0.0547263681592039,pyramidal,6676
2000,0.0018482336308807135,0.0012100311343892624,-0.17241817712783813,-0.1725158393383026,0.0408338188779473,0.0049751243781094,pyramidal,6563
2001,0.0002591407101135701,0.0007569652224390116,-0.16049090027809143,-0.16049824655056,0.0171770710378052,0.2388059701492537,pyramidal,6529
1518,0.003923569805920124,0.0012079877848144556,-0.19452962279319763,-0.19471976161003113,0.0737092199371873,0.0049751243781094,pyramidal,6324
2089,2.5892466510413215e-05,0.0005939507209570213,-0.16396845877170563,-0.16397447884082794,0.0474240988094066,0.0049751243781094,pyramidal,6249
1964,0.00838546548038721,0.0011890449429857166,-0.18570475280284882,-0.1860891878604889,0.0985968001463249,0.0049751243781094,pyramidal,5830
1676,-0.00014997916878201067,0.0013387093662122472,-0.16061754524707794,-0.1606052815914154,0.0247495175522222,0.0796019900497512,pyramidal,5238
1625,-0.001324929646216333,0.00037779947293358477,-0.16130223870277405,-0.16124889254570007,0.0235429704978138,0.0845771144278607,pyramidal,5151
2008,0.0024744649417698383,0.001611037759569913,-0.14364895224571228,-0.14374420046806335,0.0624437400123541,0.0049751243781094,pyramidal,4942
1983,-0.0008503619465045631,0.001075834692513971,-0.13581514358520508,-0.1357790231704712,0.0314488963380784,0.0298507462686567,pyramidal,4885
1985,0.0005181755986995995,0.0017162725534231131,-0.1438908874988556,-0.1439080685377121,0.0281962733768671,0.0746268656716417,pyramidal,4813
2026,-0.0005269895773380995,0.0009736990760325887,-0.14181353151798248,-0.1417914628982544,0.0442750396418265,0.0149253731343283,pyramidal,4800
135,0.0015780751127749681,0.0017728225444559762,-0.14397688210010529,-0.14404192566871643,0.0576645434165556,0.0049751243781094,pyramidal,4729
2011,0.0006762369303032756,0.0008408335602816951,-0.13699491322040558,-0.1370137631893158,0.0317228192044877,0.0348258706467661,pyramidal,4582
1738,0.010843580588698387,0.0012641155488535437,-0.14717353880405426,-0.1475571095943451,0.0792894325877238,0.0049751243781094,pyramidal,4463
1484,-0.000636319920886308,0.0025437621788260765,-0.12856093049049377,-0.12855346500873566,0.0298387464357864,0.0597014925373134,pyramidal,4275
2004,-0.0010474624577909708,0.000942403673728998,-0.12368659675121307,-0.12365033477544785,0.0216125412115314,0.3184079601990049,pyramidal,4141
2012,0.0024578438606113195,0.0019492361670822224,-0.11539505422115326,-0.11547031253576279,0.0562054436212284,0.0049751243781094,pyramidal,4055
1690,0.0016111679142341018,0.0020671817115110354,-0.1261965036392212,-0.1262475550174713,0.0792689869325975,0.0049751243781094,pyramidal,3907
2022,0.003885499434545636,0.0022656900406026596,-0.11487002670764923,-0.1149832233786583,0.1019777363665922,0.0049751243781094,pyramidal,3806
1908,0.0008789990097284317,0.001987073744976168,-0.11379490047693253,-0.11381520330905914,0.0562021978889689,0.0049751243781094,pyramidal,3607
1644,0.000639192177914083,0.0009163929290370141,-0.12253675609827042,-0.12255702167749405,0.0263814625535561,0.1194029850746268,pyramidal,3557
36,-0.0007707680924795568,0.0010403997996709159,-0.12055356800556183,-0.12053047120571136,0.0388604687598932,0.0099502487562189,pyramidal,3498
