unit_id,location,mean_rate_grating,baseline_rate,OSI,DSI,gOSI,gDSI,pref_ori_deg,pref_dir_deg,pref_ori_circ,pref_dir_circ,p_gOSI
950911808,VISp,3.0401093895516524,6.361315668772392,0.10934211705644754,0.13331098137039119,0.05590344901026325,0.04158550925717398,135.0,180.0,144.07843610291593,164.5150289139949,0.625
950911817,VISp,7.6124667539701765,9.025760854274154,0.05179170746191958,0.15514458633784045,0.05624391548134779,0.07123573271874,45.0,225.0,75.40708253520809,214.47351634185497,0.14
950911828,VISp,15.17070678740296,5.495404759529986,0.0021731242121669943,0.03262218458482092,0.0026454754134013535,0.020597794248690012,0.0,0.0,32.49025549916525,173.48324394889406,0.985
950911840,VISp,17.295287851091935,14.920856351270618,0.03147758299278714,0.012521102410216015,0.023814233585884408,0.022166359499034338,0.0,0.0,23.41626999039274,135.05723315330397,0.255
950911873,VISp,0.5647529992427726,1.6319834500401451,0.5913827637672601,0.06987761954893046,0.46134568669344717,0.08408056805707478,0.0,180.0,177.91648137687994,156.95758286124214,0.0
950911880,VISp,8.421097454516431,5.395491351212319,0.32879392283364584,0.08232923819810807,0.19708386416978083,0.03996781825852289,0.0,0.0,164.204081314685,34.34492030398862,0.0
950911901,VISp,8.443079083035016,7.660255283299078,0.00041788579079553946,0.12477070026745765,0.00433562536716854,0.040556110642262486,0.0,90.0,136.48959340841856,173.99102632844344,0.995
950911912,VISp,2.5012669480813874,2.231466395545957,0.404515820116966,0.13260559828575394,0.34010836778983633,0.06375511975233913,135.0,180.0,160.34217378900982,208.61047119784538,0.0
950911922,VISp,1.5238095854344424,2.9974959254419415,0.40086342455539237,0.09031754903050607,0.23799400651457284,0.014801619796438127,0.0,180.0,165.3371208002153,182.519576648248,0.0
950911932,VISp,2.069352855939465,4.313056522055107,0.464143238679735,0.09218840515496807,0.2647019742483788,0.06703950204090152,0.0,180.0,0.061279102552465894,208.11640534233288,0.0
950911941,VISp,0.976657651174514,2.764358843535683,0.23057921126411937,0.046820998499056195,0.1560576374825994,0.03546924063036219,45.0,45.0,28.233140429947554,350.36819063365283,0.0
950911952,VISp,2.357616073558317,2.5312134421612886,0.5327230295588433,0.22513635193939704,0.34846856896015754,0.13122190877295908,0.0,180.0,159.09909321949854,181.86185862933763,0.0
950911965,VISp,1.896420156188378,2.1815113551896004,0.0528654042014533,0.05290023209804132,0.03442251195337699,0.009351563589183114,0.0,0.0,160.69819499035663,225.0903969705348,0.18
950911976,VISp,0.43776062455235687,2.2647693397566218,0.38272030812525193,0.2741786947098504,0.2273566758667842,0.08666338653030477,0.0,180.0,177.4472543388165,173.5276559356324,0.095
950911986,VISp,0.2932335153420136,2.381342747651961,0.6283895496440131,0.006802732937157472,0.3598050330498852,0.09457795468729122,0.0,180.0,167.51610853004354,335.8540537353757,0.005
950911996,VISp,8.076135140047963,0.9991637000589454,0.0785491939560312,0.026495778603971343,0.059379569307729835,0.008728543803571114,90.0,90.0,65.96876528818764,106.19760067242801,0.0
950912007,VISp,2.5530637307775947,0.5828452421200925,0.27705690837687275,0.25942619528905014,0.19321179763489163,0.13516867094007232,0.0,0.0,176.7789372753946,345.3721628028816,0.0
950912018,VISp,11.777919014549132,14.00495546094662,0.12180311573673122,0.04017917008107662,0.07614401411600631,0.04137555984065627,90.0,270.0,71.9587381875176,212.24378797688115,0.0
950912065,VISp,8.877263759895833,2.8642710871774364,0.040630459239745564,0.031285444138503385,0.05192138959775318,0.035545096708134466,0.0,180.0,149.1641719378936,127.75896996642183,0.035
950912076,VISp,3.1713094891275913,1.931719598230608,0.40866057710774695,0.16213310509960355,0.24062053892829532,0.08259624717397995,45.0,225.0,33.303489334341165,219.36986690351267,0.0
950912109,VISp,3.8471464398474686,2.6977404760265973,0.4113515367931194,0.006780170324998294,0.24403951115500733,0.012961265141002333,90.0,270.0,86.33232274946879,206.795275691191,0.0
950912118,VISp,3.0108791362035743,0.6494547078509745,0.40784492585368076,0.07778189818348483,0.19817794334074823,0.04808550710680567,45.0,0.0,34.35699172428898,5.754357182451852,0.0
950912128,VISp,8.175598693113384,17.402099528662976,0.016643146275839554,0.07109435738424692,0.016312155383796628,0.03436863816399431,0.0,180.0,29.207786115333096,169.4612230919287,0.765
950912139,VISp,3.4895868195159654,3.330544917974061,0.22602152089658156,0.2479885969672095,0.130483332948535,0.16838709872667254,90.0,90.0,78.62381797130772,131.7542714843252,0.0
950912152,VISp,9.128002854315389,5.945029988641554,0.2504180288599256,0.12597194396711553,0.12786558433431686,0.035293987095134934,90.0,225.0,78.17268570707807,200.81866774094996,0.0
950912164,VISp,1.6600344726432172,1.2989165705524146,0.6789034706637717,0.1851804997414182,0.562021349288711,0.1554654654303451,45.0,225.0,44.255129228355855,238.74760788081136,0.0
950912190,VISp,5.074436368292825,3.680260648949786,0.54115911054825,0.039279005257991564,0.2957580435114637,0.02851516509880095,90.0,270.0,98.84320149324475,306.1945008137339,0.0
950912203,VISp,1.676711341309075,3.3305519064290876,0.21216627898157972,0.0563627384042337,0.11592256729352378,0.018853092444371364,45.0,225.0,30.674424895191198,289.93474590836746,0.0
950912214,VISp,3.639959375636936,0.832639994081949,0.3807186038677068,0.11982706372304938,0.315271690214115,0.09960595055171732,135.0,315.0,157.81314112976546,307.3326498490493,0.0
950912226,VISp,11.571627150193663,3.4970772763127758,0.7504495344771329,0.035070410064615774,0.4179018663545016,0.040775376047324036,0.0,0.0,9.777100359286772,79.14962425339915,0.0
950912238,VISp,8.675103332591254,22.131477337008484,0.28857883097265924,0.07536706731791502,0.17064792035821566,0.06672267144218397,45.0,225.0,54.71769426376257,183.50561278510102,0.0
950912249,VISp,7.703617186654622,14.10486437661015,0.3639641681805894,0.035465713900055755,0.2551216565779547,0.03394530770832895,45.0,45.0,26.495947698807626,108.86039946587755,0.0
950912260,VISp,8.900701114786838,8.10989332449176,0.24340834105217254,0.014799621647583269,0.14273077793068664,0.06626228600002117,90.0,90.0,74.12081758509473,173.27866613020845,0.0
950912272,VISp,7.021049050715595,4.379670729948627,0.10111485081177642,0.10519259363881367,0.07426289791000376,0.023978946759007087,45.0,225.0,22.857977387728244,213.15041519486365,0.0
950912283,VISp,7.41869038075252,8.392982285130959,0.13297429334751554,0.03950396523925108,0.07564882266350711,0.021972225838360032,45.0,45.0,43.202541480593645,134.1070616485915,0.0
950912293,VISp,2.823790419213179,6.9108854201841545,0.472048426539438,0.008873487329026259,0.3027513102258249,0.03626694795182051,0.0,180.0,172.65814801276704,263.40965818588046,0.0
950912303,VISp,6.106227100770535,11.906709494421216,0.14140881658430585,0.014399903132982974,0.07186513018882457,0.05775239509528364,45.0,225.0,38.47481624246995,106.82709251779131,0.0
950912314,VISp,6.264893105895533,3.7801735581387357,0.10585983528202778,0.04197268227927404,0.05257077108093773,0.024091565325313716,0.0,0.0,5.627371991119306,110.1732808333277,0.0
950912326,VISp,11.155579438920944,7.377168901654716,0.022195054260283894,0.047772612995978625,0.04096969075785976,0.017026844137207956,0.0,0.0,143.45397041433196,164.44341369193808,0.16
950912338,VISp,1.4168887202042018,1.4487910921950526,0.09183623767681287,0.02946192639422829,0.11346677791940177,0.0374238309821,90.0,270.0,119.91261482681549,166.5601583275236,0.0
950912350,VISp,3.365088421313307,2.4146466067887826,0.14320145161139908,0.09702152055354434,0.08975550787535744,0.03898717796750035,90.0,90.0,77.378045392141,120.94747417733882,0.0
950912361,VISp,5.2932427492066365,3.9800081949264006,0.05944099448029865,0.11239934894039581,0.0342633921613472,0.03191621333787932,90.0,270.0,96.2922914042729,11.308052226699647,0.615
950912384,VISp,3.4703937943544614,3.3138940700072923,0.1773440427253201,0.10144803277833712,0.09746703528740637,0.031116482041439325,90.0,270.0,83.26935319904213,238.5946537155615,0.0
950912396,VISp,3.4528260950907623,3.0974142422169004,0.6334190756433191,0.06572873503594197,0.5362025739135754,0.07011123329275545,90.0,270.0,86.93640879036222,265.75700217291046,0.0
950912406,VISp,3.919071850496915,3.0974126616861275,0.3775893658478201,0.008421536903967174,0.2980864541075536,0.04916705917925108,0.0,180.0,12.290935285151232,65.03939742013391,0.0
950912417,VISp,1.2155522788489623,1.4820930380553363,0.24188640041649082,0.07888257826852772,0.14570092185800593,0.10640338813367381,0.0,0.0,16.29569827498245,72.52906248029679,0.0
950912427,VISp,4.915673142250268,6.378002705724177,0.8822962357394915,0.08760557348263638,0.6346083910258828,0.06447271333525299,90.0,90.0,78.83554782060163,101.90594132006129,0.0
950912438,VISp,4.11618840047436,3.663607138695911,0.49269945546341926,0.06455651694974965,0.2697196370997061,0.03391916784396055,45.0,225.0,59.94571169806117,157.17852164674184,0.0
950912448,VISp,3.036800224750746,4.013301987919265,0.21318748410709373,0.09848324503733841,0.14188909539624167,0.09283257055717999,0.0,180.0,19.075854179782798,184.17317504473982,0.0
950912460,VISp,0.7059373153251538,1.4321399112888924,0.17803948845119558,0.3028358905434542,0.24596392527687813,0.16451903632739412,45.0,45.0,12.14643529299431,23.637309048848085,0.0
950912473,VISp,2.1395270584422126,0.2830947011762301,0.23567949804595692,0.20909552389839264,0.12432826425490404,0.134917430390345,45.0,45.0,46.1339091257789,31.51663668891377,0.0
950912511,VISp,0.5631023592035851,0.649458534820551,0.16401260928318423,0.030180812720781602,0.09175277891077097,0.04807966446943771,135.0,135.0,141.6247378043156,326.5938271722505,0.035
950912520,VISp,1.2097096950956485,0.6994154053634745,0.160952022084773,0.09857934260321165,0.09327247861517925,0.07885834406032896,45.0,45.0,51.247005618112055,123.17567953159599,0.035
950912529,VISp,0.01002501127678301,0.0,0.7975684263771827,0.1111192524550836,0.6853177759205825,0.2849997310873835,90.0,270.0,97.02957690633734,315.15919738786636,0.01
