location,n,median_gOSI,median_OSI,median_DSI,frac_sig
VISp,135,0.17064792035821566,0.24436420149812008,0.06572873503594197,0.8444444444444444
VISl,126,0.15956670026549666,0.24795178775027207,0.10157544548001797,0.5873015873015873
VISrl,183,0.10449000441599302,0.14374069780039295,0.12273703970190732,0.6174863387978142
VISam,74,0.12956929643433646,0.2029975099940916,0.10367021695339507,0.7837837837837838
VISpm,119,0.14881622841209496,0.22955832467704426,0.11729067782653368,0.7394957983193278
LGd,173,0.13905826964810664,0.20684450744794694,0.07158607393299145,0.7572254335260116
