unit_id,baseline_rate_hz,peak_zscore,best_freq_hz,responsive,rate_2000Hz,rate_4000Hz,rate_8000Hz,rate_16000Hz,rate_32000Hz
66,8.344299,2.0185406,8000.0,True,25.074821,17.726027,33.730534,27.54869,16.738544
67,8.768632,5.5562563,4000.0,True,74.99024,92.64384,68.083954,47.588985,22.345013
68,4.382973,0.89223486,4000.0,False,4.3070917,12.30137,9.830738,3.935527,4.191375
69,0.50355846,6.700341,2000.0,True,20.117111,7.178082,15.788761,1.7864338,1.347709
70,0.878206,1.1709497,4000.0,False,1.7176317,4.630137,2.3155043,1.5177972,1.1859838
71,1.3643078,6.5081716,8000.0,True,29.74626,7.5753427,39.60731,24.351913,8.328841
72,1.2206258,8.356049,4000.0,True,30.839298,32.657536,0.5687204,0.17461383,0.2425876
73,2.771586,3.2524228,8000.0,True,11.841249,16.534246,22.721733,9.254533,7.102426
74,1.219283,-0.055183325,2000.0,False,0.96291476,0.7671233,0.54163843,0.06715917,0.18867925
75,1.8544381,3.5545032,2000.0,True,25.296032,3.2328768,18.794855,6.339825,1.657682
76,0.59755605,-0.051106676,32000.0,False,0.13012362,0.1369863,0.27081922,0.29550034,0.39083558
77,1.2098832,0.60319614,4000.0,False,0.98893946,4.479452,0.14895058,0.322364,0.43126684
78,19.225191,3.521579,8000.0,True,103.52635,77.57534,111.82126,102.05507,82.39892
79,1.900094,5.1682377,16000.0,True,4.5152893,7.8356166,7.2985783,27.965076,20.09434
80,1.6865852,2.2079875,4000.0,True,3.994795,11.328767,10.3182125,5.8428473,2.3584905
81,0.24305089,1.1819917,2000.0,False,2.1340272,0.91780823,1.2863914,0.5910007,0.35040432
82,0.8768632,-0.1465866,4000.0,False,0.2992843,0.34246576,0.18957347,0.080591,0.04043127
83,5.238351,1.5708781,8000.0,False,6.4541316,17.479452,19.201084,1.5043653,2.9919138
84,2.2156572,2.3195865,4000.0,True,2.2771633,19.41096,1.9363575,0.3626595,0.80862534
85,1.8557808,1.5968169,2000.0,False,11.554977,0.9041096,2.4373732,0.22834116,0.29649594
86,0.36659056,0.06214938,4000.0,False,0.3773585,0.5205479,0.46039268,0.06715917,0.10781671
87,30.991003,2.597713,4000.0,True,95.12036,99.80822,79.67502,29.01276,22.722372
88,0.85134953,0.531177,8000.0,False,0.07807417,0.20547946,2.7081923,1.7327065,0.20215634
89,2.0115483,-0.1444344,2000.0,False,1.0409889,0.60273975,0.1760325,0.322364,0.29649594
90,1.1776555,3.4473166,4000.0,True,3.4092388,14.616438,3.52065,2.1625252,2.722372
91,2.8266416,2.7660127,2000.0,True,21.756668,15.808219,14.299255,12.343855,10.525606
92,7.194844,0.28464618,4000.0,False,2.6284971,9.602739,4.170616,3.5325723,6.3207545
93,2.4399087,0.9558276,4000.0,False,2.407287,9.342465,3.7373054,0.402955,0.3638814
94,1.6328723,11.455913,4000.0,True,20.22121,68.42466,38.98443,20.631296,22.762804
95,1.7067275,3.933556,2000.0,True,19.219257,14.986301,12.890995,8.139691,1.212938
96,0.83926415,0.008271946,8000.0,False,0.28627196,0.4520548,0.86662155,0.53727335,0.16172507
97,25.928562,4.387869,2000.0,True,143.73454,85.31507,63.588356,70.92008,69.353096
98,5.126897,1.1847285,4000.0,False,4.1509433,17.383562,4.0216656,1.7864338,2.291105
99,2.9488385,0.7423014,8000.0,False,2.4593363,6.0958905,8.923493,4.53996,8.1401615
100,5.729824,2.3775375,16000.0,True,10.383864,2.6438355,19.44482,22.793821,11.832884
101,3.3449712,0.3777614,2000.0,False,5.816526,3.2191782,1.9769803,2.0550704,2.2506738
102,0.7170673,0.74754745,16000.0,False,1.5614834,0.6712329,1.6384563,2.820685,1.1859838
103,11.485162,2.7278357,2000.0,True,49.316853,36.876713,26.377792,31.269308,26.80593
104,8.375185,-0.084696986,4000.0,False,3.6044242,7.4246573,6.296547,3.2370718,4.25876
105,2.3741105,0.26448426,4000.0,False,0.5335068,4.0,0.8530806,1.8804567,2.4932613
106,3.695448,0.32562053,32000.0,False,5.8035135,2.2739725,1.3405552,4.754869,5.8894877
107,0.68483955,2.250355,4000.0,True,0.28627196,7.7260275,0.44685173,0.63129616,0.22911051
108,5.9916744,3.000051,2000.0,True,27.1568,13.534246,17.589708,19.395567,19.986523
109,4.0539813,2.4675398,8000.0,True,2.0689654,12.219178,20.934326,1.0611148,2.1832883
110,2.2371426,0.028198224,2000.0,False,2.3812623,0.9726027,0.5280975,0.22834116,0.39083558
111,1.3575937,-0.13785039,4000.0,False,0.5725439,0.8356164,0.43331078,0.3626595,0.28301886
112,0.5881563,-0.07097925,2000.0,False,0.39037085,0.32876712,0.1760325,0.2014775,0.2425876
113,1.021888,0.3205381,16000.0,False,1.4053351,1.1232877,0.98849016,2.095366,1.4959569
114,1.3132805,1.5089316,2000.0,False,7.338972,3.0,4.752877,4.3250504,2.2371967
115,3.422855,0.19310728,2000.0,False,4.68445,1.1232877,0.9478673,1.1148422,1.4016173
116,4.5978246,-0.2264718,2000.0,False,2.6154847,1.3835616,0.40622884,0.96709204,0.99730456
117,2.0504901,-0.1774425,4000.0,False,0.8197788,1.1095891,0.8530806,0.87306917,1.0916442
118,7.487579,1.1193426,8000.0,False,15.70592,13.410959,16.276236,14.304903,12.897574
119,1.4274205,1.5592432,8000.0,False,1.0149642,3.7945206,9.031821,4.204164,1.671159
120,0.86880624,0.9232177,4000.0,False,0.13012362,4.232877,0.16249153,1.0745467,0.22911051
121,2.5231638,1.387185,16000.0,False,2.7065713,8.890411,6.5809073,9.442579,5.485175
122,3.6377065,0.01738666,16000.0,False,3.1359792,2.2739725,2.5727828,3.7609134,2.9245284
123,0.6458977,1.8924316,4000.0,False,0.55953157,5.917808,0.96140826,1.2491605,0.40431267
124,4.278233,2.4393663,4000.0,True,18.269356,23.136986,20.677048,16.145063,5.8355794
125,2.316369,1.1481583,16000.0,False,5.5953155,3.8493152,2.3832092,9.133647,4.568733
126,1.0742581,-0.07181097,4000.0,False,0.74170464,0.79452056,0.2843602,0.25520483,0.39083558
127,4.1681213,-0.18965119,16000.0,False,1.5224463,2.0136986,1.381178,2.4714572,2.3180592
128,1.6463006,-0.05516005,32000.0,False,0.42940792,1.3424658,0.29790115,0.725319,1.347709
129,1.3616221,-0.18222918,4000.0,False,0.5335068,0.63013697,0.37914693,0.26863667,0.53908354
130,2.9488385,-0.11550182,8000.0,False,1.5484711,1.6027397,2.2613406,1.3969107,1.1320754
131,0.4807305,0.70655465,8000.0,False,0.611581,0.32876712,2.3019633,1.1148422,0.53908354
132,3.2120316,-0.25586236,32000.0,False,1.1190631,0.739726,0.7447529,0.5507052,1.4555256
133,9.834833,1.5440812,8000.0,False,22.26415,14.30137,30.209885,20.698456,10.566038
134,3.2818584,0.09764803,4000.0,False,2.121015,3.8219178,1.7197021,1.5849563,1.3072777
135,2.8346984,2.8022916,8000.0,True,5.8555627,6.1232877,19.945837,7.1457353,2.857143
136,0.61098427,-0.006229647,32000.0,False,0.23422252,0.39726028,0.27081922,0.322364,0.5929919
137,0.8204646,0.21628022,2000.0,False,1.7306441,0.23287672,0.108327694,0.14775017,0.3638814
138,0.71169597,0.6497927,2000.0,False,3.0058556,0.34246576,0.36560595,1.0611148,0.4716981
139,2.149859,1.0523307,2000.0,False,8.6011715,0.65753424,0.33852404,0.564137,0.79514825
140,2.1082315,2.105349,2000.0,True,13.285622,4.5616436,9.546378,5.708529,3.625337
141,6.0829864,0.44314933,32000.0,False,9.316851,6.0958905,6.75694,7.5218267,10.700809
142,2.7729287,2.3302093,8000.0,True,4.541314,8.068493,17.846987,9.939557,4.191375
143,1.6986706,-0.05069585,32000.0,False,0.754717,0.9041096,0.33852404,0.79247814,1.3881402
144,1.7322412,1.0696886,32000.0,False,2.7586207,2.7945206,5.253893,5.8428473,6.5498652
145,3.5705652,0.7718521,8000.0,False,9.407938,3.4794521,9.817197,3.1564808,1.2668464
146,0.45521685,0.102344714,8000.0,False,0.7156799,0.28767124,0.7312119,0.24177301,0.16172507
147,0.605613,7.0689926,16000.0,True,4.0858817,0.82191783,2.2071767,22.793821,15.283019
148,1.5321606,0.06640258,2000.0,False,1.8217306,0.5068493,1.0155721,1.1148422,0.45822102
149,2.2290854,0.26076177,8000.0,False,1.184125,1.369863,3.80501,0.9267965,1.967655
150,2.588962,1.25679,8000.0,False,5.100846,7.7534246,16.032497,1.5043653,1.7385445
151,3.8995569,2.8523192,8000.0,True,9.056603,5.3561645,32.633717,2.753526,2.8032346
152,2.1337452,1.0519456,8000.0,False,7.521145,6.4657536,8.530806,2.2834117,1.0916442
153,1.8718947,0.13744068,2000.0,False,2.6415095,0.6438356,0.8530806,1.1148422,0.71428573
154,0.5102726,0.013804553,4000.0,False,0.23422252,0.5479452,0.081245765,0.13431834,0.3773585
155,9.246676,1.1746335,8000.0,False,10.839297,14.232877,27.704807,20.376091,8.746631
156,0.41896066,5.2598443,16000.0,True,7.6122317,2.1369863,8.964116,13.042311,4.6495957
157,2.6695313,-0.12737405,32000.0,False,1.4834093,0.9041096,0.3926879,0.96709204,1.819407
158,1.7550691,3.9699798,2000.0,True,22.784645,2.109589,7.8537574,5.157824,0.90296495
159,6.6120586,1.269086,8000.0,False,14.066363,12.575342,15.287745,12.934855,11.61725
160,2.7031019,0.56724507,4000.0,False,2.732596,6.150685,5.1320243,2.7938213,5.768194
161,0.2793071,-0.061089426,4000.0,False,0.09108653,0.1369863,0.108327694,0.080591,0.10781671
162,12.760843,0.68374914,2000.0,False,26.818478,12.041096,20.13541,19.57018,17.533693
163,1.2045119,0.013494957,4000.0,False,0.93689007,1.2739726,0.13540961,0.725319,0.78167117
164,1.9417214,0.19301707,8000.0,False,1.3402733,1.0,3.0331755,1.3028878,0.9568733
165,0.28064993,0.052836817,2000.0,False,0.39037085,0.05479452,0.33852404,0.34922767,0.08086254
166,15.155096,1.3768702,8000.0,False,24.697462,14.424658,33.744076,18.925453,14.67655
167,3.5839937,0.8311071,8000.0,False,5.67339,3.1369863,8.693297,4.016118,3.4231806
168,0.628441,0.06330386,4000.0,False,0.5985686,0.84931505,0.6364252,0.6178643,0.53908354
169,1.6140728,0.06582291,4000.0,False,1.3793104,2.0,1.7332431,1.4237744,1.7250674
170,0.39076138,0.08157925,2000.0,False,0.611581,0.41095892,0.081245765,0.14775017,0.14824797
171,2.7756143,-0.14224748,4000.0,False,1.4703969,1.7397261,1.5030468,1.3431834,1.4150944
172,0.34241977,-0.015615232,2000.0,False,0.2992843,0.26027396,0.1760325,0.080591,0.053908356
173,1.1615416,-0.121825874,4000.0,False,0.48145738,0.7123288,0.3114421,0.24177301,0.43126684
174,0.2564791,0.04637443,4000.0,False,0.11711126,0.3561644,0.054163847,0.0402955,0.04043127
175,1.0433732,0.0065903584,4000.0,False,0.6636304,1.0684931,0.70413,0.2014775,0.39083558
176,0.16382436,6.59114,2000.0,True,9.64216,3.0136986,2.3019633,0.65815985,0.1212938
177,0.24842219,2.3159726,4000.0,True,2.1340272,5.082192,0.081245765,0.0,0.04043127
178,0.3867329,0.5640465,4000.0,False,0.5074821,2.0821917,0.5958023,0.0402955,0.026954178
179,3.9452128,-0.23390226,8000.0,False,2.407287,2.369863,2.4102912,0.94022834,0.6469003
180,1.2582248,0.13461551,4000.0,False,0.4424203,1.8082192,0.352065,0.053727333,0.013477089
181,1.1628844,3.6996834,8000.0,True,3.4092388,10.260274,16.723087,3.2102082,1.9002695
182,1.1857123,-0.08680636,2000.0,False,0.79375404,0.38356164,0.16249153,0.107454665,0.06738544
183,0.68483955,1.4549253,2000.0,False,5.790501,0.89041096,0.47393364,0.161182,0.3773585
184,0.7184101,1.8464055,4000.0,False,0.45543265,7.4931507,0.21665539,0.161182,0.094339624
185,1.6261582,0.26572776,2000.0,False,2.9017568,2.2739725,1.0968179,0.161182,0.20215634
186,3.7585604,-0.059755,4000.0,False,1.2491868,3.2465754,1.0155721,0.402955,1.1590296
187,1.4126494,-0.09795082,4000.0,False,0.46844503,1.0136986,0.20311442,0.2014775,0.17520216
188,2.1538875,-0.008534094,4000.0,False,1.0019518,2.109589,1.421801,0.42981866,0.606469
189,0.6539546,-0.017454892,32000.0,False,0.5074821,0.53424656,0.54163843,0.6044325,0.606469
190,1.2609104,0.1292848,4000.0,False,0.42940792,1.8082192,0.6093433,0.644728,1.5768194
191,0.25245064,0.12908293,8000.0,False,0.2732596,0.42465752,0.46039268,0.42981866,0.17520216
192,2.5473344,0.08123293,2000.0,False,3.0709174,1.2191781,1.4488828,0.51040965,0.51212937
193,0.878206,0.15825987,32000.0,False,0.2732596,0.5068493,0.46039268,0.3626595,1.4016173
194,0.5720424,0.3960132,8000.0,False,0.89785296,0.7123288,1.5707515,0.89993286,0.6334232
195,0.8298644,0.597526,8000.0,False,0.93689007,1.0273973,2.870684,1.7058429,0.5929919
196,1.7013563,0.55011207,4000.0,False,2.2641509,4.4383564,0.97494924,0.26863667,1.6307278
197,1.7376125,0.14238544,2000.0,False,2.6415095,0.84931505,2.2477996,1.3163197,0.8355795
198,1.9699208,0.039750144,32000.0,False,1.6395576,1.0,1.4759648,0.8327737,2.2102425
199,0.18665235,3.0920684,16000.0,True,0.58555627,0.1369863,2.4779959,5.3593016,4.8921833
200,1.5993017,-0.12541957,2000.0,False,0.9499024,0.79452056,0.5551794,0.5775688,0.45822102
201,1.3575937,-0.13340452,8000.0,False,0.46844503,0.63013697,0.7718348,0.63129616,0.71428573
202,1.4368201,2.875803,4000.0,True,4.2160053,17.068493,0.5551794,0.87306917,1.0512129
203,1.5227609,-0.15165417,2000.0,False,0.74170464,0.6849315,0.20311442,0.24177301,0.35040432
204,0.34913388,0.08174637,8000.0,False,0.46844503,0.30136988,0.5280975,0.33579585,0.3638814
205,8.717605,2.3446763,8000.0,True,21.665583,8.027397,30.968178,13.982538,8.301887
206,3.073721,0.047179013,32000.0,False,2.5634353,2.5479453,1.9228165,3.22364,3.504043
207,0.63381225,0.045389406,4000.0,False,0.40338323,0.8356164,0.16249153,0.5238415,0.4851752
208,0.7022962,0.013395294,32000.0,False,0.5074821,0.47945204,0.36560595,0.38952318,0.7681941
209,1.0245737,0.019642841,32000.0,False,0.72869223,0.9589041,0.690589,0.644728,1.1455525
210,0.95877534,0.2654475,8000.0,False,2.0039036,1.2876712,2.058226,1.1148422,0.61994606
211,0.22290856,3.6160197,2000.0,True,6.0637608,2.4931507,0.3926879,0.3626595,0.61994606
212,0.7063247,0.5714001,32000.0,False,1.5614834,0.6849315,0.93432635,1.5043653,2.291105
213,0.8003223,13.921007,4000.0,True,6.206897,53.328766,12.2274885,1.0208193,0.8625337
214,0.27393582,1.2326425,4000.0,False,0.98893946,2.4794521,1.5436696,0.38952318,0.33692724
215,1.4489056,1.5214359,4000.0,False,5.296031,8.30137,3.3581583,0.5910007,0.3638814
216,0.6230697,0.38260388,4000.0,False,0.41639557,1.8904109,1.8144889,0.18804567,0.053908356
217,0.35719082,-0.018783562,4000.0,False,0.026024723,0.31506848,0.18957347,0.013431833,0.04043127
218,10.432389,0.8123224,8000.0,False,12.166558,18.178082,19.363575,3.935527,7.991914
219,0.7466094,0.0021024891,4000.0,False,0.40338323,0.75342464,0.20311442,0.09402283,0.04043127
220,2.2492278,0.2234674,4000.0,False,1.7436565,3.5205479,2.4373732,1.0342512,1.1994609
221,0.6391836,0.5306204,4000.0,False,1.0019518,2.1917808,1.421801,0.4432505,0.4716981
222,2.967638,2.1783414,4000.0,True,5.139883,20.767124,19.905212,8.86501,4.3261456
223,2.845441,-0.2883206,2000.0,False,1.1450878,1.0410959,0.13540961,0.18804567,0.13477089
224,1.0715724,0.40806705,4000.0,False,1.1190631,2.6027398,0.3926879,0.09402283,1.0916442
225,4.695851,1.0303155,8000.0,False,1.4183475,2.0821917,12.281652,1.7461383,3.4231806
226,9.407815,0.7004113,4000.0,False,11.450878,16.753426,2.1665537,3.707186,2.8975742
227,7.789714,1.2755939,4000.0,False,2.9277813,17.643835,0.90724444,1.0342512,1.1725067
228,2.1324024,-0.03129767,4000.0,False,0.5074821,1.9726027,1.7332431,0.48354602,0.5929919
229,2.0357192,0.22464755,4000.0,False,0.92387766,3.1232877,0.8801625,1.7595701,2.0215633
230,1.1830267,0.9510974,2000.0,False,5.4782043,2.3561645,0.96140826,1.1148422,0.8221024
231,1.7214986,0.2565659,4000.0,False,1.1060507,3.1643836,1.1916046,1.4775016,1.7520216
232,1.8262388,2.0203981,16000.0,True,0.72869223,1.0958904,6.75694,12.975151,0.7681941
233,0.44715992,0.7112785,8000.0,False,0.83279115,0.26027396,2.2342587,0.322364,0.16172507
234,1.892037,0.028733965,32000.0,False,1.5224463,2.0958905,1.5572106,1.9207522,2.1024258
