unit_id,location,gOSI,gDSI,pref_orientation_deg,peak_rate_hz,mean_rate_hz,anova_p,significant
86,VISam,0.04275205443226511,0.05050725489604283,72.06333847214573,6.467571673356761,5.694898450657011,0.8629096861972407,False
87,VISam,0.4966115404610739,0.03955332588826773,19.89287015562471,13.482004321519204,7.56200415704712,9.543949152663054e-42,True
89,VISam,0.6735346919701383,0.012687302479449228,1.7516050291072465,9.77853646124767,3.483279522718273,5.23491969716802e-84,True
90,VISam,0.24665632919456096,0.11447383106625912,12.762485384764675,2.371366398508835,1.3032812665500144,3.902272570066333e-10,True
91,VISam,0.2516336214443034,0.19272332163616684,49.85208670240188,0.15986634508869288,0.08011313174069822,0.3017889683495917,False
92,VISam,0.6705112318994518,0.07196180034504487,135.17584369482648,15.703056874420364,5.206232326219369,3.524011593916523e-59,True
93,VISam,0.19480351796078144,0.007755805456617178,112.82565352288186,2.97048863207009,2.103074384696048,1.1558595711253824e-19,True
94,VISam,0.11888070408562834,0.019706752893570566,4.2492317119402205,20.84933800525196,15.87165711469663,4.057962205307935e-10,True
95,VISam,0.18322426982130255,0.33781134995578205,29.485238282862845,0.7793486777235539,0.3140395689591595,0.003389827626369628,True
96,VISam,0.09028543225563626,0.026762918361697537,175.63544167789485,7.020834578865268,4.9824946190640205,0.0547550928502077,False
97,VISam,0.23939472881716584,0.023096721153498218,131.62173283201037,0.10657747464718506,0.0635167744308514,0.11354447197073647,False
98,VISam,0.17799191649108642,0.10892772148702966,172.23392362825845,2.7776902543830166,1.6922017206179305,4.2937094504827065e-05,True
99,VISam,0.5581979535066289,0.05973219128137386,132.946415143186,9.958350611789395,3.625766238234257,1.7466868068205128e-35,True
100,VISam,0.22994331741623394,0.04400277897256625,177.38337515688914,2.990840012288179,1.2489475108742816,1.3459067326519052e-38,True
101,VISam,0.4922460941432558,0.07498537710183821,50.1933730095863,0.7793445180901954,0.3556250295848839,3.165348124078749e-12,True
102,VISam,0.5688906231656794,0.053161743563279816,48.46166443924941,1.2922469801327339,0.4830521358521468,5.142032259531558e-39,True
103,VISam,0.39196123864421145,0.03425019194205373,178.24489261979258,3.3505530076160825,1.520061379720374,1.9696088269752516e-15,True
104,VISam,0.5207934440790746,0.04276928776829202,0.8042327620109163,16.03998594255232,6.346732558699184,1.051442805694411e-65,True
105,VISam,0.4449774249913009,0.17290712458686636,3.2781557322320096,7.37387701889942,2.803217146157931,4.289776080455879e-12,True
106,VISam,0.036436929660431785,0.02846657735587782,136.80949845707943,5.40881534166768,4.253110965481696,0.06774036788372186,False
107,VISam,0.06736618531465319,0.23032041952651974,7.115135885369034,2.657770470616002,1.651638197411238,2.4179515667711074e-07,True
108,VISam,0.248536415426849,0.017691408175700266,84.06416985908626,1.2489562102565448,0.6863859157121646,1.0523028619493353e-08,True
109,VISam,0.05201336758230702,0.029920017788883244,101.75953263437293,4.5570061498669,3.5985136841568903,6.252628438955421e-06,True
110,VISam,0.39294918045365285,0.12132851453918421,99.9743347570179,1.0124865749288527,0.4024338592495974,1.7095115259613842e-10,True
111,VISam,0.04565459810516238,0.030701363643433,119.20931216896113,6.84760892014142,5.351922230292601,1.052840460051157e-14,True
