session,auc_movement,auc_history,auc_neural,auc_history_neural,delta,delta_null_mean,delta_null_sd,z_delta,p_delta
1191f865-b10a-45c8-9c48-24a980fd9402,0.5413902322574207,0.929869568284913,0.6065096067887555,0.9311085614453728,0.0012389931604598337,0.00017884195679323256,0.0017741861992631937,0.5975422444988434,0.24378109452736318
1f095590-6669-46c9-986b-ccaf0620c5e9,0.47309281712728724,0.9249111604192715,0.5353797746826842,0.9242112081224667,-0.0006999522968047511,-0.0017485651068254743,0.002497851497317209,0.4198059056541091,0.3681592039800995
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.48883783854005675,0.8962327818574193,0.49279612511907317,0.897832613326619,0.0015998314691997306,0.000963930698938324,0.004779245108984653,0.13305464686587362,0.3781094527363184
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.5844187383224269,0.9337002297709265,0.45645505371683653,0.9307490699780657,-0.002951159792860758,-0.0008889912860967863,0.0031930099785696824,-0.6458384159788081,0.7562189054726368
32d27583-56aa-4510-bc03-669036edad20,0.46595385847713094,0.9004212455769878,0.4770035352366156,0.900975796262486,0.0005545506854982563,-0.0006472655535196553,0.003339735290742192,0.35985374120798386,0.3383084577114428
5386aba9-9b97-4557-abcd-abc2da66b863,0.5456460393752786,0.9293460678984828,0.5578447179314459,0.9297398860463796,0.00039381814789674063,0.00018636203508017924,0.0014803323339871654,0.14014158040971364,0.4228855721393035
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,0.5072137900017762,0.9016029053381537,0.5037070838394564,0.9057052194438384,0.0041023141056847345,-0.0018922721545534293,0.003949817232887013,1.5176869983567776,0.05472636815920398
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,0.446135991539076,0.9515345792232471,0.8017886313092303,0.9577865421369879,0.0062519629137407495,-0.004579895937130698,0.007380322143095187,1.467667486710647,0.029850746268656716
695a6073-eae0-49e0-bb0f-e9e57a9275b9,0.5810659173782605,0.8550691823142795,0.3798491248632247,0.8557114626564848,0.0006422803422052592,-0.009751797107844781,0.010943423228440944,0.9498012854914352,0.12935323383084577
746d1902-fa59-4cab-b0aa-013be36060d5,0.5704607091769509,0.8935807468917089,0.5161379276854838,0.8910496881980415,-0.0025310586936673207,-0.0041514471244953974,0.0052380369421363305,0.3093503250794566,0.44776119402985076
7939711b-8b4d-4251-b698-b97c1eaa846e,0.5341841631028942,0.856882752361812,0.5040706292737709,0.8515940003970982,-0.005288751964713789,-0.0007129983140338802,0.004748661887194495,-0.9635880084491044,0.835820895522388
872ce8ff-9fb3-485c-be00-bc5479e0095b,0.5478610360955783,0.9014428064882704,0.46301765340894335,0.8974757379348445,-0.003967068553425879,0.00035584934850039606,0.0035982077448656496,-1.2014086479844661,0.8905472636815921
88224abb-5746-431f-9c17-17d7ef806e6a,0.5210447826561904,0.9258546425405739,0.4893982598834886,0.9245867838241326,-0.0012678587164413058,-0.002161849966408139,0.0046053473173680495,0.194120266802754,0.4079601990049751
8c025071-c4f3-426c-9aed-f149e8f75b7b,0.5128350715087169,0.892606006546141,0.5639289556287084,0.8941246101891448,0.0015186036430038241,0.0021676008322128997,0.00439254516332466,-0.14774969068681315,0.5472636815920398
8db36de1-8f17-4446-b527-b5d91909b45a,0.49145836802173304,0.9068554096714093,0.5038371091096807,0.9062403450762598,-0.0006150645951494838,-4.6586112669880774e-05,0.0017179451118630262,-0.33090607991725435,0.6368159203980099
aa20388b-9ea3-4506-92f1-3c2be84b85db,0.6692258573189992,0.8767036910958913,0.6969494714735673,0.883850696780129,0.007147005684237651,-0.000548461662583944,0.00442471418213504,1.7392010037376766,0.05472636815920398
bd456d8f-d36e-434a-8051-ff3997253802,0.4776951781372237,0.9236241602829222,0.7258766737419183,0.9274604756017212,0.0038363153187990218,-0.0025271032354556894,0.007562978282601797,0.8413905628809479,0.15422885572139303
cb2ad999-a6cb-42ff-bf71-1774c57e5308,0.49120298203330215,0.9326382409640414,0.6097529907599137,0.9326785125830455,4.027161900410636e-05,-6.830211622858406e-05,0.0022311735862711687,0.048662164118814,0.4079601990049751
cde63527-7f5a-4cc3-8ac2-215d82e7da26,0.5069205679226888,0.8960293840241621,0.5807940042045526,0.8943809263592344,-0.001648457664927716,0.0013080608722392739,0.0035181952796448476,-0.8403508907741591,0.8059701492537313
d71e565d-4ddb-42df-849e-f99cfdeced52,0.6278261788195239,0.8967383231665107,0.6144265467452069,0.8991074665285843,0.0023691433620736113,0.0015330586888637548,0.005004875896069104,0.1670540270272293,0.42786069651741293
