session,center,auc,null_mean,z
1191f865-b10a-45c8-9c48-24a980fd9402,-1.1,0.48505781328668696,0.5018001698879513,-0.3634602876954434
1191f865-b10a-45c8-9c48-24a980fd9402,-1.05,0.5013818284611633,0.49069487661743216,0.2494313449803069
1191f865-b10a-45c8-9c48-24a980fd9402,-1.0,0.5245335506088207,0.5014449601540704,0.5570639422332606
1191f865-b10a-45c8-9c48-24a980fd9402,-0.95,0.5545931803042115,0.5041743476200168,1.2474314015600767
1191f865-b10a-45c8-9c48-24a980fd9402,-0.9,0.5140435546281266,0.5035231040490127,0.22026206961195988
1191f865-b10a-45c8-9c48-24a980fd9402,-0.85,0.46357161600496694,0.5045134129920795,-0.9496746052992222
1191f865-b10a-45c8-9c48-24a980fd9402,-0.8,0.4412173232469028,0.49986128453863005,-1.4330119681463305
1191f865-b10a-45c8-9c48-24a980fd9402,-0.75,0.44655336390172085,0.5020263529220697,-1.2999591878956573
1191f865-b10a-45c8-9c48-24a980fd9402,-0.7,0.4743010121894096,0.502302270433085,-0.5548921880263117
1191f865-b10a-45c8-9c48-24a980fd9402,-0.65,0.5274027220380086,0.5010841519206661,0.7471456307135931
1191f865-b10a-45c8-9c48-24a980fd9402,-0.6,0.4937996896310703,0.502744934922832,-0.21379798199335745
1191f865-b10a-45c8-9c48-24a980fd9402,-0.55,0.4889129018665438,0.5040682663764668,-0.39328395296247004
1191f865-b10a-45c8-9c48-24a980fd9402,-0.5,0.5132559541391287,0.500655376163741,0.267169171092209
1191f865-b10a-45c8-9c48-24a980fd9402,-0.45,0.5182458252672585,0.494687213917356,0.5117900458329258
1191f865-b10a-45c8-9c48-24a980fd9402,-0.4,0.5455090417009486,0.49510749064784376,1.1918495826862077
1191f865-b10a-45c8-9c48-24a980fd9402,-0.35,0.5380012298411831,0.49868974056486715,0.9052760753164764
1191f865-b10a-45c8-9c48-24a980fd9402,-0.3,0.5444467965916842,0.4989374844410376,1.1769872770712981
1191f865-b10a-45c8-9c48-24a980fd9402,-0.25,0.5590420852971176,0.5051521158156943,1.4257461104039209
1191f865-b10a-45c8-9c48-24a980fd9402,-0.2,0.6039381498999451,0.4980920719534934,2.4953104791642273
1191f865-b10a-45c8-9c48-24a980fd9402,-0.15,0.5745950320740926,0.5013266509373823,1.9973668435989775
1191f865-b10a-45c8-9c48-24a980fd9402,-0.1,0.5915969210842946,0.5007343356955564,2.3378872099969605
1191f865-b10a-45c8-9c48-24a980fd9402,-0.05,0.5671004973660551,0.5044630773211061,1.5256109564734104
1191f865-b10a-45c8-9c48-24a980fd9402,0.0,0.6053810277599622,0.5066258592655651,2.3038595686291976
1191f865-b10a-45c8-9c48-24a980fd9402,0.05,0.6961693988276441,0.4993335392303528,4.233433297492172
1191f865-b10a-45c8-9c48-24a980fd9402,0.1,0.7523652266221941,0.4984218281751795,6.520250352071152
1191f865-b10a-45c8-9c48-24a980fd9402,0.15,0.7521972366243362,0.5033864137368436,6.793359335407471
