session,auc,null_mean,z,p
1191f865-b10a-45c8-9c48-24a980fd9402,0.4571471935222646,0.5048425112113206,-1.7248824476938072,0.9702970297029703
1f095590-6669-46c9-986b-ccaf0620c5e9,0.5136181564169832,0.4994081648056487,0.5366651054213567,0.3465346534653465
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,0.4922940538307997,0.5018136132541485,-0.34840549582224695,0.6237623762376238
26aa51ff-968c-42e4-85c8-8ff47d19254d,0.5304328734432271,0.5017308730417332,0.8821930436484007,0.2079207920792079
32d27583-56aa-4510-bc03-669036edad20,0.504238244107996,0.5073217720684005,-0.11877919999041578,0.5247524752475248
5386aba9-9b97-4557-abcd-abc2da66b863,0.4840348253457496,0.5020545905428119,-0.5812205779811982,0.6633663366336634
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,0.46267977819197115,0.49722884212463336,-1.2042106183664858,0.9207920792079208
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,0.525244327581292,0.49494105297705837,0.697385248959064,0.2376237623762376
695a6073-eae0-49e0-bb0f-e9e57a9275b9,0.5038537426360861,0.5066318647293009,-0.09284654890583179,0.5247524752475248
746d1902-fa59-4cab-b0aa-013be36060d5,0.44391652373018836,0.5072812393580398,-2.154944537072353,0.9702970297029703
7939711b-8b4d-4251-b698-b97c1eaa846e,0.5043449332549418,0.4993769769718457,0.23944007528713773,0.4752475247524752
872ce8ff-9fb3-485c-be00-bc5479e0095b,0.48324873288311204,0.4966258416513705,-0.33260826300091795,0.6732673267326733
88224abb-5746-431f-9c17-17d7ef806e6a,0.5160009490565541,0.49743216027845427,0.44992293097414754,0.3564356435643564
8c025071-c4f3-426c-9aed-f149e8f75b7b,0.4188928896701577,0.5039628275147366,-2.3421786932432336,0.9900990099009901
8db36de1-8f17-4446-b527-b5d91909b45a,0.5183844544599554,0.4996473023023409,0.8333595751070215,0.1782178217821782
aa20388b-9ea3-4506-92f1-3c2be84b85db,0.5655414156598007,0.49774813201740253,1.7070257635978514,0.04950495049504951
bd456d8f-d36e-434a-8051-ff3997253802,0.518211744587059,0.504927115412813,0.4183944567173095,0.3564356435643564
cb2ad999-a6cb-42ff-bf71-1774c57e5308,0.5468470220416596,0.49322482130661727,1.91308806059044,0.039603960396039604
cde63527-7f5a-4cc3-8ac2-215d82e7da26,0.5051476768725265,0.4980647363449415,0.19066996647280002,0.44554455445544555
d71e565d-4ddb-42df-849e-f99cfdeced52,0.5174095720461683,0.5028943140023674,0.4350047013760417,0.32673267326732675
