session,n_trials,n_units,auc,null_mean,z,p
1191f865-b10a-45c8-9c48-24a980fd9402,104,639,0.5612331178436948,0.492114992102288,0.7754598702597817,0.27692307692307694
1f095590-6669-46c9-986b-ccaf0620c5e9,76,359,0.5808417902680199,0.5363921873125131,0.369380542969418,0.3404255319148936
32d27583-56aa-4510-bc03-669036edad20,93,180,0.4903823178016727,0.4870551240245637,0.039245573240933654,0.5
5386aba9-9b97-4557-abcd-abc2da66b863,111,315,0.5563321563321564,0.4939047959680094,0.8733679383921154,0.2647058823529412
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,72,545,0.725705467372134,0.49717177901363496,2.0963628609447333,0.044444444444444446
695a6073-eae0-49e0-bb0f-e9e57a9275b9,75,480,0.59502997002997,0.46707934781268107,1.0118676410719571,0.17391304347826086
746d1902-fa59-4cab-b0aa-013be36060d5,77,441,0.5289588838290137,0.4995234494405535,0.33313122800748485,0.375
7939711b-8b4d-4251-b698-b97c1eaa846e,97,240,0.6708158679808165,0.47108076964462764,2.142913275620004,0.016666666666666666
8db36de1-8f17-4446-b527-b5d91909b45a,148,240,0.6005479449701417,0.5068300156176337,1.455863003386592,0.07692307692307693
bd456d8f-d36e-434a-8051-ff3997253802,55,504,0.30287698412698416,0.5392664742664743,-1.5941350540228163,0.8823529411764706
cb2ad999-a6cb-42ff-bf71-1774c57e5308,94,582,0.6053045654109485,0.4918147888021329,1.174651145811614,0.11864406779661017
