session,region,location,firing_rate,beta,significant
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,12.384219545472403,-0.13926552,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,13.318027051501264,-0.0034718772,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,2.2846518777511315,0.06377062,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,6.689995396407321,0.095841356,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,1.872140453839035,-0.14700341,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,12.001123493138849,-0.015280275,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,6.734379536954825,-0.11421568,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,7.370030051776334,0.0074097323,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,1.9003374372456845,0.06147708,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,7.980442525894361,0.008357378,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,5.8865554247709335,-0.0312454,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,3.2510077535148283,-0.023803812,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,7.556965608435234,0.030328592,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,2.8141285661648863,0.19494896,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,8.403397276994106,0.09032127,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,8.529239369605264,-0.0052685025,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,1.9781402247936621,0.02186826,False
1191f865-b10a-45c8-9c48-24a980fd9402,olfactory,Taenia tecta dorsal part,11.977103840607258,0.056855034,False
