session,n_trials,n_units,auc,null_mean,z,p
1191f865-b10a-45c8-9c48-24a980fd9402,300,639,0.5117611772486773,0.5026726555270903,0.20175475221651876,0.3812154696132597
1f095590-6669-46c9-986b-ccaf0620c5e9,213,359,0.4026316183146219,0.493416888072189,-1.269238081650057,0.8923076923076924
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,188,240,0.5112424046202786,0.5048465512176958,0.08536884815621769,0.43478260869565216
26aa51ff-968c-42e4-85c8-8ff47d19254d,152,480,0.5843648894964685,0.49124167620473846,1.1970663412505633,0.08602150537634409
32d27583-56aa-4510-bc03-669036edad20,246,180,0.5252713868253772,0.49705786076294645,0.48232740556849174,0.3221476510067114
5386aba9-9b97-4557-abcd-abc2da66b863,314,315,0.49912940680529183,0.503641893462501,-0.10267567031288137,0.5897435897435898
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,187,545,0.636756660169478,0.49560197035854164,2.7853103906519108,0.008771929824561403
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,138,360,0.48972370539876264,0.5520294748108883,-0.7256183863135857,0.8235294117647058
695a6073-eae0-49e0-bb0f-e9e57a9275b9,194,480,0.524395296367285,0.5316946962477361,-0.11139464476739548,0.5126050420168067
746d1902-fa59-4cab-b0aa-013be36060d5,196,441,0.5445351002928241,0.48212894671013595,1.0473481215353821,0.15966386554621848
7939711b-8b4d-4251-b698-b97c1eaa846e,293,240,0.5534614117057698,0.5024526344691489,1.0265344011890771,0.15168539325842698
872ce8ff-9fb3-485c-be00-bc5479e0095b,121,371,0.6005686752514295,0.508570595605736,0.9079343505668003,0.20270270270270271
88224abb-5746-431f-9c17-17d7ef806e6a,118,509,0.511905948820206,0.518192068193298,-0.0723871518003399,0.4931506849315068
8c025071-c4f3-426c-9aed-f149e8f75b7b,145,120,0.5141980241980242,0.4902947537608535,0.3880188617689373,0.4659090909090909
8db36de1-8f17-4446-b527-b5d91909b45a,444,240,0.5299063861217934,0.5083069904360074,0.5378247227932214,0.3169230769230769
bd456d8f-d36e-434a-8051-ff3997253802,195,504,0.6354154515036826,0.5160951450137231,1.354973826610197,0.11864406779661017
cb2ad999-a6cb-42ff-bf71-1774c57e5308,262,582,0.5777204359362688,0.5050190732321042,1.3391128278487094,0.050314465408805034
d71e565d-4ddb-42df-849e-f99cfdeced52,170,272,0.4883316755083997,0.5021710735111683,-0.14756757575227986,0.5825242718446602
