session,n,beta_neural,se_neural,p_neural,beta_block
1191f865-b10a-45c8-9c48-24a980fd9402,300,-0.1575595329379563,0.15493168257190976,0.30917181656054016,0.24028984776382434
1f095590-6669-46c9-986b-ccaf0620c5e9,213,-0.6389236835906815,0.1941782549980787,0.0010004587252427405,1.2973660477752118
20c112a1-8a42-44e0-a4cd-e5b932f7bda9,188,-0.1260027181871846,0.22041914359971063,0.567558761704906,0.16078040724124687
26aa51ff-968c-42e4-85c8-8ff47d19254d,152,-0.08556339983424714,0.2142048380101165,0.6895641440495024,1.415206061057455
32d27583-56aa-4510-bc03-669036edad20,246,0.0775746456533084,0.19372647483664907,0.6888369680518226,1.7390891779264428
5386aba9-9b97-4557-abcd-abc2da66b863,314,0.25486801871114195,0.15300779375397838,0.0957693574006152,1.9858909301894676
5adab0b7-dfd0-467d-b09d-43cb7ca5d59c,187,0.4036879832205684,0.1770032138691279,0.022567291329948152,0.4755248804379209
5bcafa14-71cb-42fa-8265-ce5cda1b89e0,138,-0.44217998247647916,0.2994040467543542,0.13971126892780888,1.0190231398370506
695a6073-eae0-49e0-bb0f-e9e57a9275b9,194,0.26334030240429435,0.17924618910047255,0.14179095319485896,1.2012100790391729
746d1902-fa59-4cab-b0aa-013be36060d5,196,0.005162291050514578,0.1750458558003724,0.9764729342833346,0.5224957126389305
7939711b-8b4d-4251-b698-b97c1eaa846e,293,-0.12472927085419626,0.1379407671842371,0.3658769494352774,0.6558308610956217
872ce8ff-9fb3-485c-be00-bc5479e0095b,121,-0.052129463372951004,0.29592186443400914,0.8601685958093792,2.0598684652024826
88224abb-5746-431f-9c17-17d7ef806e6a,118,-0.03057534159072308,0.2507898633930619,0.9029654031258649,1.397363317522684
8c025071-c4f3-426c-9aed-f149e8f75b7b,145,-0.136738722437768,0.1885585002084143,0.46834203613869363,1.043380841067409
8db36de1-8f17-4446-b527-b5d91909b45a,444,0.08338796444449162,0.1197591146685701,0.486242578759042,0.9835831286150655
bd456d8f-d36e-434a-8051-ff3997253802,195,0.48519601742655716,0.21686218963436302,0.025263655157985943,1.4156027438626833
cb2ad999-a6cb-42ff-bf71-1774c57e5308,262,0.1297802213211153,0.1573734235891912,0.4095622876590277,1.279124825152228
cde63527-7f5a-4cc3-8ac2-215d82e7da26,144,-0.25972003724235954,0.4926880150326421,0.5980900613049447,2.6286443028250908
d71e565d-4ddb-42df-849e-f99cfdeced52,170,0.10690552662156157,0.24398223639436242,0.6612635587630415,1.6965456941971688
