session,unit_id,location,depth,mean_rate,blank_rate,gOSI,gDSI,OSI,DSI,pref_ori,pref_dir,pref_ori_half_a,pref_ori_half_b,p_osi,gOSI_null,gOSI_null95,p_resp,gOSI_sg,pref_ori_sg,glm_r2_dir,glm_r2_ori
sub-699733573_ses-715093703,950933698,VISp,2600.0,1.7853147056728895,1.0824346628756774,0.2623677378615398,0.07428311178059761,0.503446862357108,0.1020404827305607,91.6655703684469,283.71574015156847,87.60071996382851,96.02978632666107,0.000999000999000999,0.04097541123762315,0.08388232175668409,0.00033413580483620153,0.1007696161909269,101.67202537631756,0.09424733652097557,0.10308690572319647
sub-699733573_ses-715093703,950930237,VISp,2600.0,6.62747778567865,0.7493716103342617,0.6619053926048171,0.00491503299321,0.8470853881690237,0.01007991930245822,40.484957576412285,88.43755137945712,41.14421994048038,39.93017371866899,0.000999000999000999,0.05459171729042414,0.11293936982494647,1.4959717584061383e-06,0.438911008828667,51.348843292279106,0.5571925389188677,0.5617892881298754
sub-699733573_ses-715093703,950930215,VISp,2600.0,13.832932045921261,2.5811803792988184,0.07862328432560722,0.025354009557855096,0.12016750727844036,0.0019821656965216348,94.61763718707766,53.81151521109082,97.18495211429268,91.37962688897879,0.000999000999000999,0.02087280021050483,0.042010784537765404,2.222433472022934e-12,0.2864715059165551,98.85320017060617,0.21091236741076383,0.21068637231328763
sub-699733573_ses-715093703,950930437,VISp,2640.0,0.138694254508172,0.499583181148049,0.054259669799318476,0.11716409196079423,0.09500106686853871,0.12029735475674927,12.103577364509125,86.24517673075702,173.54823087684213,30.614323911510546,0.8561438561438561,0.10933378369048743,0.2166453540031653,0.9999428603851632,0.05506375183195065,34.97636129237841,-0.03991732225591294,-0.028466259552135956
sub-699733573_ses-715093703,950933732,VISp,2680.0,0.9055975308242945,0.7993318086815534,0.6276657021291376,0.06976252611468628,0.883830660256526,0.04394141781727818,136.54121977534177,155.69755702840953,141.88483436573955,131.49275500206153,0.000999000999000999,0.0699196539944186,0.1403875687917398,0.10805490192294137,0.15834011764848455,162.6469411963185,0.31119507021174564,0.31958497796747776
sub-699733573_ses-715093703,950930866,VISp,2700.0,7.6800952694938465,0.13322234247918113,0.4690677118033211,0.06606254008582724,0.9245644221061524,0.03802005532926806,9.336286108228958,10.379378305955814,6.105212114211578,12.814012410545583,0.000999000999000999,0.049883739962596665,0.10552084240040603,2.4137647795048933e-07,0.033185657586665654,33.66818191514465,0.3047366722097832,0.30752746435593187
sub-699733573_ses-715093703,950930814,VISp,2700.0,2.80294058533118,0.03330585600213279,0.605118610793634,0.5238227412612213,0.9478077595279579,0.6414675898833668,30.15169956551995,216.69174813012708,30.415809191770688,29.82050015094965,0.000999000999000999,0.07521370288413967,0.15269137728836915,1.919054953113749e-05,0.03727524877601127,29.70186508242147,0.40879726576622516,0.27681206594148455
sub-699733573_ses-715093703,950930795,VISp,2700.0,16.85901803803273,2.697743637386547,0.21627455825277442,0.02970124559034012,0.3355594400763666,0.010289832207128735,107.05006088802699,167.55769107937454,108.63087049834867,105.12699352270535,0.000999000999000999,0.021731857051205106,0.04532882823466403,5.088852803793264e-13,0.02092782394493909,160.7861614072056,0.19174433560747164,0.19694468773102616
sub-699733573_ses-715093703,950931043,VISp,2760.0,6.884765345967059,9.558671022393229,0.04446691656646566,0.01884432159763285,0.14297273544668218,0.11823960175117514,81.71787533222081,228.70238084164436,152.28146730864535,81.09178671650554,0.4485514485514486,0.04124905664422708,0.0876422928573632,0.6327241720436049,0.035824015709246586,107.02569154444595,-0.0143382437417672,-0.004201950196745189
sub-699733573_ses-715093703,950931236,VISp,2780.0,0.10276397340863083,0.03330568961427536,0.1410651468323038,0.05214071454270725,0.35722215955092534,0.22589143030167755,2.9505829692998367,350.9561525657667,174.35632799733685,8.921490329241923,0.1838161838161838,0.08963324895310504,0.18844752422962582,0.09135390092054291,0.17022598036738285,38.77583509634166,-0.027207808722548795,0.0033259408970534032
sub-699733573_ses-715093703,950931181,VISp,2780.0,2.634155118962163,8.809302740006595,0.0859853056231469,0.11656015552041846,0.16336570775297451,0.1062368784782383,111.02361781472601,355.6319457344647,92.08822740171152,128.30510614759203,0.14885114885114886,0.049850462984293936,0.10551262632126691,0.988112099341878,0.04003672977981456,101.07521879584809,0.0016397643913237485,-0.003755388254111275
sub-699733573_ses-715093703,950931164,VISp,2780.0,0.9031039300306832,1.4154829899894323,0.21755588783195035,0.02885199893562266,0.39033104526329865,0.21568580802165427,112.5183710609977,18.216389641318898,125.29272094505257,102.60625155280337,0.000999000999000999,0.05991109709079498,0.11924745550487725,0.8787179445317528,0.10111203715973616,174.48694817508414,0.00935516882367814,0.030403293677469273
sub-699733573_ses-715093703,950933840,VISp,2840.0,4.623221140363913,4.7460367265453005,0.16918642512136692,0.0745102191514442,0.2944440750443887,0.08989734247278951,60.826982124260766,8.409666475513893,62.042648967967516,62.36404353747912,0.000999000999000999,0.03246820638350882,0.069997563587394,0.7441696523456256,0.06633209112748424,79.21600077288498,0.07212722157298436,0.06237140776983067
sub-699733573_ses-715093703,950931565,VISp,2860.0,12.865542910666326,17.768493145968552,0.09085758210472632,0.007560283770509913,0.12915684551005882,0.026854642799852335,67.254667380232,36.24647014721215,70.35240349851865,65.892866625067,0.000999000999000999,0.016756553407769256,0.03374990403429512,0.9999987389336891,0.043373270131233085,57.4048370749414,0.07189571816354065,0.07589308078816394
