session,group,n_units,rep,accuracy,shuffled
715093703,visual cortex,1,0,0.30425770308123246,0.2357843137254902
715093703,visual cortex,1,1,0.28253501400560227,0.23913165266106443
715093703,visual cortex,1,2,0.29426994098610315,0.23394250904245192
715093703,visual cortex,1,3,0.4314005602240896,0.2841736694677871
715093703,visual cortex,1,4,0.3839901008947268,0.2300399771559109
715093703,visual cortex,1,5,0.32957866123003743,0.2634216785592932
715093703,visual cortex,1,6,0.2742016806722689,0.24752100840336136
715093703,visual cortex,1,7,0.2908426775399252,0.2891607203533809
715093703,visual cortex,1,8,0.35280112044817924,0.26589635854341737
715093703,visual cortex,1,9,0.3477310924369748,0.26745098039215687
715093703,visual cortex,1,10,0.45612031220255095,0.24949552636588615
715093703,visual cortex,1,11,0.35624649859943974,0.24417366946778712
715093703,visual cortex,1,12,0.35710159700985394,0.2578831124702684
715093703,visual cortex,1,13,0.2859523809523809,0.23910364145658264
715093703,visual cortex,1,14,0.2860924369747899,0.27250700280112045
715093703,visual cortex,2,0,0.302170188463735,0.253493241956977
715093703,visual cortex,2,1,0.4861875637104995,0.2523615358477744
715093703,visual cortex,2,2,0.3425416241930003,0.23953448861705745
715093703,visual cortex,2,3,0.3149677200135916,0.24128440366972476
715093703,visual cortex,2,4,0.37956582633053226,0.23754901960784314
715093703,visual cortex,2,5,0.5216106442577031,0.25742296918767504
715093703,visual cortex,2,6,0.3555165965404395,0.2585086489013558
715093703,visual cortex,2,7,0.38620448179271716,0.26263305322128855
715093703,visual cortex,2,8,0.5183893557422969,0.24418767507002803
715093703,visual cortex,2,9,0.3578991596638655,0.23413165266106445
715093703,visual cortex,2,10,0.3684198223468911,0.22213651238896684
715093703,visual cortex,2,11,0.5302010285179991,0.2564749883122955
715093703,visual cortex,2,12,0.4930896630496859,0.2144488863506568
715093703,visual cortex,2,13,0.3516649677200136,0.2762147468569487
715093703,visual cortex,2,14,0.539958119169998,0.23771178374262325
715093703,visual cortex,4,0,0.46976965543498955,0.24172853607462405
715093703,visual cortex,4,1,0.5527013251783894,0.22657152565409447
715093703,visual cortex,4,2,0.42478991596638654,0.22239495798319328
715093703,visual cortex,4,3,0.3773360516479783,0.22276588515120627
715093703,visual cortex,4,4,0.4475025484199796,0.2633197417601087
715093703,visual cortex,4,5,0.5021505376344086,0.2629032258064516
715093703,visual cortex,4,6,0.3814866760168303,0.24574567554932214
715093703,visual cortex,4,7,0.4494053686714238,0.2982840638803942
715093703,visual cortex,4,8,0.6164329125759701,0.24130434782608695
715093703,visual cortex,4,9,0.5086489013557738,0.24137447405329593
715093703,visual cortex,4,10,0.4815343613173425,0.23392347230154198
715093703,visual cortex,4,11,0.617818389491719,0.2670093280030459
715093703,visual cortex,4,12,0.43057300590138964,0.2319055777650866
